"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","geoFlag","class","typeStatus","continentOcean","barcode","imagecode","recordNumber"
"1","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","3529","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Coleocephalocereus","buxbaumianus","Coleocephalocereus buxbaumianus","Buining.","Daniela Zappi","2014","09","12","Fernando Campos;","2014","09","12","Brasil","Minas Gerais","Carmo da Mata","Próximo a Fazenda Mata Velha","-44.8706016540527","-20.5578002929688","44º55'12.5","20º36'52.9","15377","900","900","1","254","auto",NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0007675","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Coleocephalocereus","buxbaumianus","Coleocephalocereus buxbaumianus","Buining",NA,NA,NA,NA,"Horst L; Buining AFH","1972","07","09","Brazil","Minas Gerais",NA,"in de omgeving van Teofilo Otoni, Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"op kale, zwarte, schuinlopende rotswanden tussen rotsspleten of op iets vlakke gedeelten waar zich humus verzamelde<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200007675 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliopsidae","holotype","Southern America","NL-U0007675","NL-U0007675",NA
"3","2020-02-08 08:54:42-03","NBC","NL-BOTANY","U 0007678","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Coleocephalocereus","buxbaumianus","Coleocephalocereus buxbaumianus","Buining","Zappi DC; Taylor NP","1991","10","01","Ritter F","1965","01","01","Brazil","Minas Gerais",NA,"Minas Gerais; c. 10 km S of 'Engenheiro Caldas' (N of Caratinga)",NA,NA,NA,NA,NA,NA,NA,NA,"on rocks.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200007678 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliopsidae","type","Southern America","NL-U0007678","NL-U0007678",NA
"4","2020-12-11 11:34:14-03","UFMG","BHCB","167239","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Coleocephalocereus","buxbaumianus","Coleocephalocereus buxbaumianus","Buining",NA,"2012","04","01","Paula, LFA de; Augsten, M","2011","04","16","Brasil","Minas Gerais","Teófilo Otoni","MG-418, Em ilha de vegetacao de afloramento granitico.","-41.260944","-17.855972","-41.260944","-17.855972",NA,"560","560",NA,"Flor branca. Frutos vermelhos. Espinhos dourados.",NA,NA,NA,"Southern America",NA,NA,"320"
"5","2020-12-11 11:34:14-03","UFMG","BHCB","20923","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Coleocephalocereus","buxbaumianus","Coleocephalocereus buxbaumianus","Buining",NA,NA,NA,NA,"Taylor, NP; Zappi, DC","1990","12","15","Brasil","Minas Gerais","Conselheiro Pena",NA,"-41.4721984863281","-19.1721992492676",NA,NA,"46509",NA,NA,NA,NA,"auto",NA,NA,"Southern America",NA,NA,"771"
"6","2020-12-11 11:34:14-03","UFMG","BHCB","20923","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Coleocephalocereus","buxbaumianus","Coleocephalocereus buxbaumianus","Buining",NA,NA,NA,NA,"Taylor, NP; Zappi, DC","1990","12","15","Brasil","Minas Gerais","Conselheiro Pena",NA,"-41.4721984863281","-19.1721992492676",NA,NA,"46509",NA,NA,NA,NA,"auto",NA,NA,"Southern America",NA,NA,"771"
"7","2020-12-11 11:34:14-03","UFMG","BHCB","20963","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Coleocephalocereus","buxbaumianus","Coleocephalocereus buxbaumianus","Buining",NA,NA,NA,NA,"Taylor, NP; Zappi, DC","1990","12","13","Brasil","Minas Gerais","Dom Cavati","São João do Oriente","-42.1063995361328","-19.3738994598389",NA,NA,"8107",NA,NA,NA,NA,"auto",NA,NA,"Southern America",NA,NA,"754"
"8","2020-12-11 11:34:14-03","UFMG","BHCB","20963","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Coleocephalocereus","buxbaumianus","Coleocephalocereus buxbaumianus","Buining",NA,NA,NA,NA,"Taylor, NP; Zappi, DC","1990","12","13","Brasil","Minas Gerais","Dom Cavati","São João do Oriente","-42.1063995361328","-19.3738994598389",NA,NA,"8107",NA,NA,NA,NA,"auto",NA,NA,"Southern America",NA,NA,"754"
"9","2020-07-10 09:44:56-03","MBML","MBML-HERBARIO","34820",NA,"Plantae",NA,NA,"Cactaceae","Coleocephalocereus","buxbaumianus","Coleocephalocereus buxbaumianus","Buining","L. Kollmann/28-04-2008",NA,NA,NA,"L. Kollmann; A.P. Fontana, E. Leme & M. Zanoni","2008","04","28","Brasil","Minas Gerais","Nova Belém","Rio Preto","-41.0167007446289","-18.4750003814697",NA,NA,"17402",NA,NA,NA,"Rupícola no sol, flores cremes claras. Herb./Alcool.","auto",NA,NA,NA,"MBML034820","MBML034820","10987"
"10","2020-07-10 09:44:56-03","MBML","MBML-HERBARIO","39327",NA,"Plantae",NA,NA,"Cactaceae","Coleocephalocereus","buxbaumianus","Coleocephalocereus buxbaumianus","Buining","R.Asprino/10-06-2015",NA,NA,NA,"L. Kollmann; & E. Leme","2009","09","11","Brasil","Espírito Santo","Ecoporanga","Catoxé, afloramento rochoso na saida da cidade","-40.748611","-18.292778","40W44'55","18S17'34",NA,NA,NA,NA,"Arbusto 1 m rupícola ao sol, flores verdes.",NA,NA,NA,NA,"MBML039327","MBML039327","11835"
"11","2020-06-15 15:29:44-03","UNESP-RC","HRCB","13465","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Coleocephalocereus","buxbaumianus","Coleocephalocereus buxbaumianus","Buining",NA,NA,NA,NA,"Taylor, N. P.","1990","12","13","Brasil","Minas Gerais","São João do oriente/Dom Cavati",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ramos simples quando não danificados, até 1,5m alt., clavados, muito lenhosos na porção inferior, mucilaginosos apenas nos tecidos imediatamente inferiores à epiderme, cefálio iniciando a 30-40 cm do",NA,NA,NA,NA,NA,NA,"754"
"12","2020-06-15 15:29:44-03","UNESP-RC","HRCB","13485","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Coleocephalocereus","buxbaumianus","Coleocephalocereus buxbaumianus","Buining",NA,NA,NA,NA,"Taylor, N. P.","1990","12","15","Brasil","Minas Gerais","Galiléia",NA,"-41.5374984741211","-18.9993991851807",NA,NA,"32192","125","125",NA,"Plantas ramificadas na base, até 1 m alt., crescimento indeterminado dos espinhos na base das plantas muito expressivo. Frutos vermelhos a magenta com poro basal, sementes e polpa transportadas por fo","auto",NA,NA,NA,NA,NA,"771"
"13","2021-03-04 11:15:45-03","UEFS","HUEFS","176667","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Coleocephalocereus","buxbaumianus","Coleocephalocereus buxbaumianus","Buining",NA,NA,NA,NA,"Queiroz, L.P.de","2011","05","30","Brasil","Espírito Santo","Teófilo Otoni","42 Km E de Teófilo Otoni na rodovia Br-418, 15 km a leste do entroncamento para Pedro Versiani.","-41.191667","-17.9125","41W11'30''","17S54'45''",NA,"280","280",NA,"Mata atlântica. Floresta estacional semidecidual e afloramento de gnaiss.",NA,"Caryophyllanae",NA,NA,"HUEFS0176667","HUEFS0176667","15297"
"14","2019-10-03 10:03:30-03","UFSCar","SORO","6309","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Coleocephalocereus","buxbaumianus","Coleocephalocereus buxbaumianus",NA,NA,NA,NA,NA,"Moraes, E.M.; Leite, F.M.; Telhe, M.C.; Franco, F.F.","2018","08","21","Brasil","Minas Gerais","Teófilo Otoni","575m.","-41.278278","-17.909139","41°16'41,8W","17°54'32,9S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
