"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","infraspecificEpithet","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","397157","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Diodella","sarmentosa","Diodella sarmentosa","(Sw.) Bacigalupo & Cabral","P. G. Delprete","D. J. N. Hind","50925","1992","01","21","South America","Brazil","Bahia","Abaíra","Campo de Ouro Fino (alto)","-41.9","-13.25","1700","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=637116' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397157","NY00397157_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","397160","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Diodella","sarmentosa","Diodella sarmentosa","(Sw.) Bacigalupo & E.L.Cabral","P. G. Delprete","J. J. Pipoly","8235","1986","08","09","South America","Guyana",NA,NA,"Barima-Waini Region: barima River head; small rapids 1.5 mi W Eclipse Falls; W of Arakaka","-60.08","7.63","1","10","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=637117' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397160",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","397158","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Diodella","sarmentosa","Diodella sarmentosa","(Sw.) Bacigalupo & E.L.Cabral","P. G. Delprete","W. E. Broadway","403","1921","06","03","South America","French Guiana","Cayenne",NA,"Vicinity of Cayenne",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=637119' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397158",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","397161","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Diodella","sarmentosa","Diodella sarmentosa","(Sw.) Bacigalupo & E.L.Cabral","P. G. Delprete","J. A. Steyermark","87343","1960","11","07","South America","Venezuela","Delta Amacuro",NA,"Sierra Imataca. Between Amacuro and mouth of Deadwater Creek Moat (Agua Muerto)",NA,NA,"65","80","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=637118' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00750321","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Diodia","sarmentosa","Diodia sarmentosa","Sw.","P. G. Delprete","P. G. Delprete","7160","1999","02","07","South America","French Guiana",NA,NA,"Route Cayenne - Brazil (Rt. de Regina). Bridge over the Orapu River, near Auberge des Orpailleurs.","-52.33","4.5",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=112560' target='other'> <mi>dwc_moreinfo</mi></a>","NY00750321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","397159","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Diodia","sarmentosa","Diodia sarmentosa","Sw.","J. Bruza","W. H. Camp","E3728","1945","06","08","South America","Ecuador","Guayas",NA,"Cañar, Chimborazo & Bolivar: foothills of the western cordillera near the village of Bucay",NA,NA,"304.8","381.0","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=637120' target='other'> <mi>dwc_moreinfo</mi></a>","NY00397159",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-18 09:30:35-03","UNESP-IBB","BOTU","12026","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Diodella","sarmentosa","Diodella sarmentosa","(Sw.) Bacigalupo & Cabral ex Borhidi",NA,"Gemtchújnicov, I.D.",NA,"1953","07","25",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTU012026",NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-30 12:47:44-03","EAO","IAN","113920","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rubiaceae","Diodia","sarmentosa","Diodia sarmentosa","Sw.","Bacigalupo, NM","Pires, JM; Rodrigues, WA","51344","1961","09","30","Southern America","Brasil","Amapá",NA,"Floating island margin, vicinity camp 12.","-52.133333","1.183333",NA,NA,NA,"2m high; flowers white.","IAN113920",NA,"-52.133333","1.183333","2005","03","16",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:23:33-03","UFBA","ALCB","115941","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rubiaceae","Diodella","sarmentosa","Diodella sarmentosa","(Sw.) Bacigalupo & E.L. Cabral","Borges, RL","Borges, RL","35","2012","04",NA,"Southern America","Brasil","Bahia","Iguaí",NA,"-40.0891990661621","-14.7564001083374",NA,NA,NA,"Folhas discolores. Flores alvas, dispostas em glomérulos.",NA,NA,NA,NA,"2014","10",NA,"32961","auto",NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:23:30-03","NBC","NL-BOTANY","U.1566383","PreservedSpecimen","Plantae",NA,"Gentianales","Rubiaceae","Diodella","sarmentosa","Diodella sarmentosa","(Sw.) Bacigalupo & Cabral","Delprete PG","Granville J-J de",NA,"1988","04","12","Southern America","French Guiana","Bassin de l'Oyapock",NA,"Guyane Francaise. Crique Gabaret - Bassin de l' Oyapock. Entre l' embouchure et la crique Mérignan.","-51.8","3.916667",NA,NA,NA,"Forêt ripicole. Végétation héliophile inondée.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1566383 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1566383","NL-U1566383","-51.8","3.916667",NA,NA,NA,NA,NA,"Magnoliopsidae","U 0164505",NA,NA,NA,NA
"11","2020-02-08 09:23:30-03","NBC","NL-BOTANY","U.1566385","PreservedSpecimen","Plantae",NA,"Gentianales","Rubiaceae","Diodella","sarmentosa","Diodella sarmentosa","(Sw.) Bacigalupo & Cabral","Delprete PG","Fanshawe DB",NA,"1942","08","01","Southern America","Guyana",NA,NA,"Mazaruni Station.",NA,NA,NA,NA,NA,"In shrubby swamp area.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1566385 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1566385","NL-U1566385",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0164511",NA,NA,NA,NA
"12","2020-02-08 09:23:30-03","NBC","NL-BOTANY","U 0005988","PreservedSpecimen","Plantae",NA,"Gentianales","Rubiaceae","Diodella","sarmentosa","Diodella sarmentosa","(Sw.) Bacigalupo & Cabral","Delprete PG","Focke HC",NA,NA,NA,NA,"Southern America","Surinam",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200005988 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0005988","NL-U0005988",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","62384","holotype",NA,NA,NA
"13","2020-02-08 09:23:30-03","NBC","NL-BOTANY","U 0164502","PreservedSpecimen","Plantae",NA,"Gentianales","Rubiaceae","Diodella","sarmentosa","Diodella sarmentosa","(Sw.) Bacigalupo & Cabral",NA,"Pons TL",NA,"1970","09","13","Southern America","Surinam",NA,NA,"Suriname, Wia Wia naturereserve, S. of camp Krofajapasi.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200164502 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0164502",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
