"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","coordinatePrecision","occurrenceRemarks","geoFlag","phylum","order","individualCount","infraspecificEpithet","continentOcean","preparationType","class","typeStatus","relationshipType","relatedCatalogItem","fieldNumber"
"1","2021-04-05 14:33:22-03","UNESC","CRI","8732","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","recurvata","Aechmea recurvata","(Klotzsch) L.B.Sm.","Telma Elyta V. Azeredo","2009","10","28","Emilaine Biava Dalmolim; Lislaine Cardoso de Oliveira, Peterson T. Padilha, Telma Elyta Vilhaba Azevedo","2009","10","28","Brasil","Santa Catarina","Criciúma","Parque Municipal José Milanese.","-49.37","-28.678056","49º22'12''W","28º40'41''S","58","58","CRI001775","CRI001775",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:04-03","UNESC","CRI","8110","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","recurvata","Aechmea recurvata","(Klotzsch) L.B.Sm.","Telma Elyta V. Azeredo","2009","06","22","Telma Elyta V. Azeredo","2009","06","22","Brasil","Santa Catarina","Criciúma","Mata da SATC.","-49.37","-28.678056","49º22'12''W","28º40'41''S",NA,NA,"CRI001776","CRI001776",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:22-03","UNESC","CRI","4883","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","recurvata","Aechmea recurvata","(Klotzsch) L.B.Sm.","Jorge Waechter","1995","12","07","C. M. Martinello; Z. P. Topanotti","1995","09","07","Brasil","Santa Catarina","Forquilhinha","São Pedro.","-49.4725","-28.748056","49º28'21''W","28º44'53''S","28","28","CRI001773","CRI001773",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:04-03","UNESC","CRI","13760","PreservedSpecimen","Plantae","Bromeliaceae","Aechmea","recurvata","Aechmea recurvata","(Klotzsch) L.B.Sm.","Alexandre Medeiros","2018","07","09","Alexandre Medeiros","2018","07","09","Brasil","Santa Catarina","Balneário Camboriú","Barra","-48.6347007751465","-26.9906005859375",NA,NA,NA,NA,"CRI012367",NA,"923","8793","Flor Lilás Habito: Epífita","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","232","S","Plantae","Bromeliaceae","Aechmea","recurvata","Aechmea recurvata","(Klotzsch) L.B.Sm.","Elton. C. M. Leme","2011","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,"Magnoliophyta","Poales","1",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","279","S","Plantae","Bromeliaceae","Aechmea","recurvata","Aechmea recurvata","(Klotzsch) L.B.Sm.","Elton. C. M. Leme","2009","05",NA,"Jones Caldas da Silva;","1994","11","04","Brasil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Silvan1161",NA,"254",NA,"Magnoliophyta","Poales","1",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","162","S","Plantae","Bromeliaceae","Aechmea","recurvata","Aechmea recurvata","(Klotzsch) L.B.Sm.","Elton. C. M. Leme","2011","08",NA,"Jones Caldas da Silva;",NA,NA,NA,"Brasil","Rio Grande do Sul","Porto Alegre","Parque Estadual de Itapuã (Viamão)","-51.2299995422363","-30.0331001281738",NA,NA,NA,NA,NA,NA,NA,"29946","254","auto","Magnoliophyta","Poales","1",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","534","S","Plantae","Bromeliaceae","Aechmea","recurvata","Aechmea recurvata","(Klotzsch) L.B.Sm.","Elton. C. M. Leme","2009","05",NA,"Elton M. C. Leme; Jones Caldas da Silva; Manuel de Mello","1999","09",NA,"Brasil","Rio Grande do Sul","São Francisco do Sul","Mata úmida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,"Magnoliophyta","Poales","1",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","275","S","Plantae","Bromeliaceae","Aechmea","recurvata","Aechmea recurvata","(Klotzsch) L.B.Sm.","Elton. C. M. Leme","2011","08",NA,"Jones Caldas da Silva;",NA,NA,NA,"Brasil","Santa Catarina","Picarras","A beira mar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,"Magnoliophyta","Poales","1",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","1842","S","Plantae","Bromeliaceae","Aechmea","recurvata","Aechmea recurvata","(Klotzsch) L.B.Sm.","Sergio Gurken",NA,NA,NA,NA,NA,NA,NA,"Brasil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"254",NA,"Magnoliophyta","Poales","1",NA,NA,NA,NA,NA,NA,NA,NA
