"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","minimumElevationInMeters","individualCount","identifiedBy","year","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag"
"1","2019-04-06 04:34:00-03","MO","MOBOT","100539294","PreservedSpecimen","Plantae","Orchidaceae","Dryadella","susanae","Dryadella susanae","(Pabst) Luer","A. L. V. Toscano","Toscano de Brito s.n.","South America","Brazil","Espírito Santo","Munic. Nova Almeida, km 64 of highway BR 262.","800.00000000","1",NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-07-10 09:48:15-03","MBML","MBML-HERBARIO","43031",NA,"Plantae","Orchidaceae","Dryadella","susanae","Dryadella susanae","(Pabst) Luer","R. Barbosa da Silva","11240",NA,"Brasil","Espírito Santo","Biriricas",NA,NA,"G. Chiron","2011","Marechal Floriano","-40.6831016540527","-20.4127998352051","23038","MBML043031","auto"
