"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","400684","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.","P. J. M. Maas","G. F. J. Pabst","8939","1966","07","17","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Serra da Carioca. Estr. do Redentor","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92594' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400684","NY00400684_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","400683","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.","P. J. M. Maas","R. Reitz","4027","1956","10","26","South America","Brazil","Santa Catarina","Palhoça","Piloes, Palhoça","-48.694057","-27.77489","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92599' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400683","NY00400683_01","200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01806210","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.","P. J. M. Maas","W. W. Thomas","13773","2004","02","01","South America","Brazil","Bahia","Mun. Camacan","Fazenda Serra Bonita, Reserva Serra Bonita, 9.7 km W of Camacan on road to Jacarecí, then 6 km SW on road to RPPN Serra Bonita and Embratel tower.","-39.5652778","-15.3918056","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=797093' target='other'> <mi>dwc_moreinfo</mi></a>","NY01806210","NY01806210_01","835","835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","400689","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.","L. B. Smith","E. P. Heringer","23498","1962","10","05","South America","Brazil","Distrito Federal","Brasília","Fundaçao Zoobotânica","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92598' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400689","NY00400689_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","400685","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.","A. C. Cervi","A. C. Cervi","6301","1997","09","03","South America","Brazil","Paraná","Quatro Barras",NA,"-49.05","-25.38","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92597' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400685","NY00400685_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01091219","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.","J. A. Kallunki","M. M. M. Lopes","375","2005","11","22","South America","Brazil","Bahia","Almadina","Serra do Corcovado, 13,8 km ao SW de Coaraci, na estrada para Almadina. Fazenda São José. Propietário Senhor Francisco.","-39.6033","-14.7058","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1229792' target='other'> <mi>dwc_moreinfo</mi></a>","NY01091219","NY01091219_01","650","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","684921","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.","H. Maas-van de Kamer","R. de Mello-Silva","1230","1996","08","10","South America","Brazil","Rio de Janeiro","Paratí","Cairiçu. Trilha para a Praia do Sono a partir do Condomínio Laranjeiras.","-44.7131","-23.2181","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=882888' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684921","NY00684921_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","400686","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.",NA,"P. J. M. Maas","3291","1977","10","18","South America","Brazil","Rio de Janeiro","Nova Friburgo","Km 3 of road from Mury to Lumiar, Serra de Sao Bernardo","-42.5308","-22.2819","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92603' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400686","NY00400686_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","519516","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.","P. J. M. Maas","W. W. Thomas","12308","2000","10","15","South America","Brazil","Bahia","Boa Nova","Fazenda Riacháo, 7.8 km east of Boa Nova","-40.158317","-14.398617","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92602' target='other'> <mi>dwc_moreinfo</mi></a>","NY00519516","NY00519516_01","780","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","822546","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.","P. J. M. Maas","L. A. Mattos Silva","3673","1997","12","11","South America","Brazil","Bahia","Una","Fazenda São Rafael (antiga Fazenda Dendhevea). Coletas na mata Os Gonçalves.","-39.2481074","-15.2189248","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=912966' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822546","NY00822546_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
