"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","phylum","class","continentOcean","identifiedBy","yearIdentified"
"1","2021-03-04 11:04:40-03","UFRB","HURB","24545","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","macrocalyx","Billbergia macrocalyx","Hook.","Leodegario, M.M.; Conceição, J.Q.; Costa, T.F. & Sousa, N.X.M.","47","2019","05","24","Brasil","Bahia","Santa Terezinha","Serra da Jibóia; Morro da Pioneira","-39.466667","-12.85","39º28'W","12º51'S","800","800","erva terrícola, ca. 30cm, flores alvas com margens azuis, fruto arroxeado.","HURB000024545","HURB000024545",NA,NA,NA,NA,NA,NA,NA
"2","2021-03-04 11:04:40-03","UFRB","HURB","5242","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","macrocalyx","Billbergia macrocalyx","Hook.","Simões, S.S.; Silva, L.R.O.","111","2012","07","30","Brasil","Bahia","Cruz das Almas","Mata da Cazuzinha;","-39.106389","-12.6775","39°06'23 W","12°40'39 S",NA,NA,NA,"HURB000005242",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-04 11:04:40-03","UFRB","HURB","10100","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","macrocalyx","Billbergia macrocalyx","Hook.","Simões, S.S.; et al","124","2012","07","30","Brasil","Bahia","Cruz das Almas","Mata da Cazuzinha;","-39.1018981933594","-12.6700000762939",NA,NA,NA,NA,NA,"HURB000010100",NA,"14660","auto",NA,NA,NA,NA,NA
"4","2019-07-09 12:55:53-03","F","FMNH-SEEDPLANTS","V0402624F","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","macrocalyx","Billbergia macrocalyx",NA,NA,"68732",NA,NA,NA,"Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,"V0402624F","V0402624F_01",NA,NA,"Spermatophyta","Monocotyledoneae","South America",NA,NA
"5","2020-07-23 12:00:48-03","CEPLAC","CEPEC","147995","PreservedSpecimen","Plantae","Bromeliaceae","Billbergia","macrocalyx","Billbergia macrocalyx",NA,"Simões, S.S.","124","2012","07","30","Brasil","Bahia","CRUZ DAS ALMAS","Mata do cazuzinha.","-39.1018981933594","-12.6700000762939",NA,NA,NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,"14660","auto",NA,NA,NA,NA,NA
"6","2017-09-11 17:09:03-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Bromeliaceae","Billbergia","macrocalyx","Billbergia macrocalyx","Hook.","?","s.n.",NA,NA,NA,"?",NA,NA,"Habitat in Brasiliae orientalis provinciis Bahia, unde a Wetherill in caldaria Europaea translata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-19 09:28:48-03","IBt","SP","350183","S","Plantae","Bromeliaceae","Billbergia","macrocalyx","Billbergia macrocalyx","Hook.","Queiroz, LP; et al.","6293","2000","06","16","Brasil","Bahia","Santa Terezinha","Serra da Jibóia. Cerca de 4km de Pedra Branca.","-39.475278","-12.253056","-39.475278","-12.253056","760","760",NA,"SP051129","SP051129",NA,NA,NA,NA,NA,"Forzza, RC","2005"
