"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","fieldNumber","individualCount","relatedCatalogItem"
"1","2020-09-23 10:40:40-03","E","E","69094","PreservedSpecimen","Plantae","Leguminosae","Enterolobium","gummiferum","Enterolobium gummiferum","Harley, R.M.; Hind, D.J.N.; Simao, R. & Fothergill, J.M.","25718","1988","10","28","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:76910","<a href=http://data.rbge.org.uk/herb/E00069094 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00069094",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00924191","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","ellipticum","Enterolobium ellipticum","H. S. Irwin","15644","1966","05","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998799' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924191","Magnoliophyta","Fabales","Benth.","R. C. Barneby","Distrito Federal","Brasília","Universidade de Brasília","-47.875","-15.758","975","975","NY00924191_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01198076","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","ellipticum","Enterolobium ellipticum","S. C. de Sant'Ana","1276","2006","09","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1411064' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198076","Magnoliophyta","Fabales","Benth.","B. M. Torke","Bahia","Caetité","Coletas a 18 km de Caetité na estrada para Guananbi","-42.6139","-14.1231","961","961","NY01198076_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00408746","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","ellipticum","Enterolobium ellipticum","A. M. V. de Carvalho","6157","1995","10","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=491857' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408746","Magnoliophyta","Fabales","Benth.","R. C. Barneby","Bahia","Jacobina","28km SW da sede do município, na estrada para Morro do Chapéu, na estrada velha que inicia no Km 24 partindo de Jacobina","-40.5181","-11.1808",NA,NA,"NY00408746_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00408747","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","ellipticum","Enterolobium ellipticum","A. M. V. de Carvalho","6157","1995","10","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=491858' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408747","Magnoliophyta","Fabales","Benth.","R. C. Barneby","Bahia","Jacobina","28km SW da sede do município, na estrada para Morro do Chapéu, na estrada velha que inicia no Km 24 partindo de Jacobina","-40.5181","-11.1808",NA,NA,"NY00408747_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01198086","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","ellipticum","Enterolobium ellipticum","S. C. de Sant'Ana","1288","2006","09","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1411078' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198086","Magnoliophyta","Fabales","Benth.","B. M. Torke","Bahia","Caetité","Coletas a 18 km de Caetité na estrada para Guananbi","-42.6139","-14.1231","961","961","NY01198086_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2031","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","ellipticum","Enterolobium ellipticum","P. Clausen","824",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=491859' target='other'> <mi>dwc_moreinfo</mi></a>","NY00002031","Magnoliophyta","Fabales","Benth.",NA,"Minas Gerais",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,NA,NA,"NY00002031_01","probable syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00924168","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","gummiferum","Enterolobium gummiferum","E. P. Heringer","2462","1979","10","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998800' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924168","Magnoliophyta","Fabales","(Mart.) J.F.Macbr.","J. E. de Paula","Goiás",NA,"Estrada Alto Paraiso, Terezinha",NA,NA,NA,NA,"NY00924168_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00924162","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","gummiferum","Enterolobium gummiferum","R. Goodland","881","1967",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998788' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924162","Magnoliophyta","Fabales","(Mart.) J.F.Macbr.","R. C. Barneby; J. W. Grimes","Minas Gerais",NA,"Triángulo region.",NA,NA,NA,NA,"NY00924162_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00924176","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","gummiferum","Enterolobium gummiferum","M. Haridasan","MH36","1981","08","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998769' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924176","Magnoliophyta","Fabales","(Mart.) J.F.Macbr.",NA,"Distrito Federal","Brasília","Fazenda Agua Limpa","-47.9294","-15.7797",NA,NA,"NY00924176_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
