"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","locality","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","dayIdentified","fieldNumber","infraspecificEpithet","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","565258","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Campanulaceae","Lobelia","nummularioides","Lobelia nummularioides","Cham.","A. O. S. Vieira","P. K. H. Dusén","9744","1909","10","19","South America","Brazil","Paraná","Curitiba","-49.2731","-25.4281","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=160429' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565258","NY00565258_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","565259","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Campanulaceae","Lobelia","nummularioides","Lobelia nummularioides","Cham.","A. O. S. Vieira","J. F. Widgren","s.n.",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=160430' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565259","NY00565259_01","Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","565257","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Campanulaceae","Lobelia","nummularioides","Lobelia nummularioides","Cham.","A. O. S. Vieira","L. B. Smith","8937","1956","12","21","South America","Brazil","Santa Catarina","Caçador","-51.001528","-26.7096209","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=160431' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565257","NY00565257_01","8 km N of Caçador","950","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2013-07-03 10:37:48-03","EBDA","BAH","1391","S","Plantae",NA,NA,"Campanulaceae","Lobelia","nummularioides","Lobelia nummularioides","Cham.","Costa, C.F. da","Antonio Rocha Dias",NA,"1960","10","31",NA,"Brasil","Bahia","Alagoinhas","-38.4192","-12.1356",NA,NA,NA,NA,"Fazenda Jacaré",NA,NA,"1967","11","24621","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2013-07-03 10:37:48-03","EBDA","BAH","3586","S","Plantae",NA,NA,"Campanulaceae","Lobelia","nummularioides","Lobelia nummularioides","Cham.","Oliveira, E.L.P.G. de","Jaime Oliveira do Amor",NA,"1981","08","27",NA,"Brasil","Bahia","Teodoro Sampaio","-38.6283","-12.2933",NA,"IMPORT. PLANTA: Planta tóxica",NA,NA,"Faz. Boa Vista.",NA,NA,"1981","08","16217","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2013-07-03 10:37:48-03","EBDA","BAH","4325","S","Plantae",NA,NA,"Campanulaceae","Lobelia","nummularioides","Lobelia nummularioides","Cham.","Oliveira, E.L.P.G. de","Armando Andrade",NA,"1982","09","24",NA,"Brasil","Bahia","Alagoinhas","-38.4192","-12.1356",NA,"IMPORT. PLANTA: Segundo F. C. Hoehne, plantas desse gênero devem ser nocivas ao gado.",NA,NA,"Faz. Cinipapo",NA,NA,"1982","22","24621","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2013-07-03 10:37:48-03","EBDA","BAH","3583","S","Plantae",NA,NA,"Campanulaceae","Lobelia","nummularioides","Lobelia nummularioides","Cham.","Oliveira, E.L.P.G. de","Jaime Oliveira do Amor",NA,"1981","08","26",NA,"Brasil","Bahia","Alagoinhas","-38.4192","-12.1356",NA,"Erva com flores roseas.IMPORT. PLANTA: flora de Agosto a Outubro. Suspeita de causar intoxicação no gado, o envenenamento vai aos 3 dias a 3 semanas.",NA,NA,"Faz. Buracica - Boa Vista",NA,NA,"1981","10","24621","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2013-07-03 10:37:48-03","EBDA","BAH","5050","S","Plantae",NA,NA,"Campanulaceae","Lobelia","nummularioides","Lobelia nummularioides","Cham.","Oliveira, E.L.P.G. de","Antonio Jorge Del Rei Moura","1","1984","09","28",NA,"Brasil","Bahia","São Sebastião do Passé","-38.4953","-12.5125",NA,"IMPORT. PLANTA: madeira de lei",NA,NA,NA,NA,NA,"1984","09","18909","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:47:08-03","NBC","NL-BOTANY","L.3001780","PreservedSpecimen","Plantae",NA,"Asterales","Campanulaceae","Lobelia","nummularioides","Lobelia nummularioides","Cham.",NA,"Hatschbach GG",NA,"1968","11","28","Southern America","Brazil",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3001780 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3001780","NL-L3001780","Est. Parana (Brasil) Mun. Arapoti, Fda. do Lobo.",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:47:08-03","NBC","NL-BOTANY","L.3001781","PreservedSpecimen","Plantae",NA,"Asterales","Campanulaceae","Lobelia","nummularioides","Lobelia nummularioides","Cham.",NA,"Hatschbach GG",NA,"1961","12","10","Southern America","Brazil",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3001781 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3001781","NL-L3001781","Est. Parana (Brasil), Mun. Palmeira, Fda. Pe. Inacio.",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
