"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","class","typeStatus","recordNumber","continentOcean","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","relatedCatalogItem","imagecode","preparationType","previousCatalogNumber"
"1","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","3587","S","Plantae","Magnoliophyta","Solanales","Solanaceae","Petunia","mantiqueirensis","Petunia mantiqueirensis","T.Ando & Hashim.","Clemens","2014","10","14","Clemens;","2014","10","10","Brasil","Minas gerais","Gonçalves","-45.8558006286621","-22.658899307251","15843","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","3234","S","Plantae","Magnoliophyta","Solanales","Solanaceae","Petunia","mantiqueirensis","Petunia mantiqueirensis","T.Ando & Hashim.","Clemens","2012","11","22","Clemens;","2012","11","18","Brasil","Minas Gerais","Gonçalves","-45.8558006286621","-22.658899307251","15843","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-02-10 11:45:53-02","BM","SOLANACEAE_SOURCE_BR","47518","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Petunia","mantiqueirensis","Petunia mantiqueirensis","T.Ando & Hashim.","Stehmann, J.R.",NA,NA,NA,"Hashimoto, G.; Ando, T.; Iida, S.","1991","12","07","Brazil","Minas Gerais","Camanducaia","-46.079444","-22.808056",NA,NA,NA,NA,"Dicotyledoneae","isotype","B357","Southern America","22 km SE of Camanducaia to Monte Verde.","-46.079444","-22.808056","1300","1300","BM000992204",NA,NA,NA,NA
"4","2015-02-10 11:45:53-02","BM","SOLANACEAE_SOURCE_BR","37664","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Petunia","mantiqueirensis","Petunia mantiqueirensis","T.Ando & Hashim.",NA,NA,NA,NA,"Hashimoto, G.; Ando, T.; Shibata, K.; Kurata, M.","1992","11","16","Brazil","Minas Gerais","Camanducaia","-45.932222","-22.751667",NA,NA,"Pollen sample taken for BM(NH) collection",NA,"Dicotyledoneae","paratype","B361","Southern America","3km W of Fazenda Mantiqueira, along the river Jaguari.","-45.932222","-22.751667",NA,NA,"BM000941587",NA,NA,NA,NA
"5","2020-02-08 10:35:37-03","NBC","NL-BOTANY","L 0247321","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Petunia","mantiqueirensis","Petunia mantiqueirensis","T.Ando & Hashim.",NA,NA,NA,NA,"Hashimoto G","1992","11","12","Brazil","Minas Gerais",NA,"-45.932222","-22.751667",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200247321 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliopsidae","paratype",NA,"Southern America","Mun. Camanducaia, 3 km W. of Fazenda Mantiqueira, along the river Jaguari.","-45.932222","-22.751667",NA,NA,"NL-L0247321",NA,NA,NA,NA
"6","2020-02-08 10:35:37-03","NBC","NL-BOTANY","U 0006792","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Petunia","mantiqueirensis","Petunia mantiqueirensis","T.Ando & Hashim.",NA,NA,NA,NA,"Hashimoto G; Ando T; Lida S","1991","12","07","Brazil","Minas Gerais",NA,"-46.083333","-22.8",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200006792 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliopsidae","isotype",NA,"Southern America","Minas Gerais, mun. Camanducaia, 22 km S.E. of Camanducaia to Monte Verde","-46.083333","-22.8",NA,NA,"NL-U0006792","46245","NL-U0006792",NA,NA
"7","2020-02-08 10:35:37-03","NBC","NL-BOTANY","U.1745954","PreservedSpecimen","Plantae",NA,"Solanales","Solanaceae","Petunia","mantiqueirensis","Petunia mantiqueirensis","T.Ando & Hashim.",NA,NA,NA,NA,"Hashimoto G; Ando T; Shibata K; Kurata M","1992","11","16","Brazil",NA,NA,"-45.932222","-22.751667",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1745954 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliopsidae",NA,NA,"Southern America","Minas Gerais, Mun. Camanducaia, 3 km W. of Fazenda Mantiqeira, along the river Jaguari.","-45.932222","-22.751667",NA,NA,"NL-U1745954",NA,"NL-U1745954",NA,NA
"8","2020-11-04 11:20:00-03","ESALQ","ESA","85795","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Solanaceae","Petunia","mantiqueirensis","Petunia mantiqueirensis","T. Ando & Hashim.",NA,NA,NA,NA,"Stehmann, J.R. ; França, G.S.","2003","03","12","Brasil","Minas Gerais","Gonçalves","-45.8558006286621","-22.658899307251","15843",NA,NA,"auto",NA,NA,"3424.0",NA,NA,NA,NA,NA,NA,"ESA085795",NA,"ESA085795",NA,NA
"9","2020-11-04 11:20:00-03","ESALQ","ESA","101033","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Solanaceae","Petunia","mantiqueirensis","Petunia mantiqueirensis",NA,"Stehmann, J.R.",NA,NA,NA,"Stehmann, J.R.","2006","11","23","Brasil","Minas Gerais","Gonçalves","-45.8558006286621","-22.658899307251","15843",NA,NA,"auto",NA,NA,"4524.0",NA,NA,NA,NA,NA,NA,"ESA101033",NA,"ESA101033",NA,NA
"10","2019-11-21 14:46:06-03","UFJF","CESJ","45863","PreservedSpecimen","Plantae","Angiosperma",NA,"Solanaceae","Petunia","mantiqueirensis","Petunia mantiqueirensis","T.Ando & Hashim.",NA,NA,NA,NA,"J.R. Stehmann; G.S. França","2003","03","12","Brasil","Minas Gerais","Camanducaia","-46.1446990966797","-22.7553005218506","22140",NA,"Erva, em barranco; flores púrpuras, tubo externemente reticulado-venoso, anteras arroxeadas.","auto",NA,NA,"3420","América do Sul","antes da divisa com Gonçalves, próximo à Fazenda do Zé Maria.",NA,NA,NA,NA,"CESJ045863",NA,NA,NA,NA
"11","2019-11-21 14:46:06-03","UFJF","CESJ","45626","PreservedSpecimen","Plantae","Angiosperma",NA,"Solanaceae","Petunia","mantiqueirensis","Petunia mantiqueirensis","T.Ando & Hashim.",NA,NA,NA,NA,"J.R. Stehmann; G.S. França","2003","03","12","Brasil","Minas Gerais","Gonçalves","-45.8558006286621","-22.658899307251","15843",NA,"Lat: 22°40'31,13417 S, Lon: 45°52'32,94850 W. Alt: 1421 m.","auto",NA,NA,"3424","América do Sul","estrada para Camanducaia, antes do Canta Galo",NA,NA,NA,NA,"CESJ045626",NA,NA,NA,NA
"12","2019-08-20 10:26:34-03","UNICAMP","UEC","128370","S","Plantae","Magnoliopsida",NA,"Solanaceae","Petunia","mantiqueirensis","Petunia mantiqueirensis","T.Ando & Hashim.","Dutilh, JHA","2003",NA,NA,"Meireles, LD","2002","10","22","Brazil","Minas Gerais","Camanducaia","-46.1446990966797","-22.7553005218506","22140",NA,"Arbusto escandente, flor com fauce arroxeada","auto",NA,NA,"1195",NA,"Monte Verde, Campo de Altitude Impactado",NA,NA,NA,NA,"UEC038951",NA,"UEC038951",NA,NA
"13","2020-12-11 11:41:56-03","UFMG","BHCB","170882","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Petunia","mantiqueirensis","Petunia mantiqueirensis","T.Ando & Hashim.",NA,NA,NA,NA,"Kamino, LHY; Giacomin, LL; Almeida, TE","2008","10","28","Brasil","Minas Gerais","Gonçalves","-46.5175","-23.158333",NA,NA,"Herbáceo, flores liláses.",NA,NA,NA,"1239","Southern America","estrada de terra Gonçalves/Camanducaia.","-46.5175","-23.158333",NA,NA,"BHCB036725",NA,NA,NA,NA
"14","2020-12-11 11:41:56-03","UFMG","BHCB","170880","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Petunia","mantiqueirensis","Petunia mantiqueirensis","T.Ando & Hashim.",NA,NA,NA,NA,"Kamino, LHY; Giacomin, LL; Almeida, TE","2008","10","28","Brasil","Minas Gerais","Gonçalves","-46.486111","-23.153889",NA,NA,"Herbáceo, flores liláses.",NA,NA,NA,"1237","Southern America","estrada de terra Gonçalves/Camanducaia.","-46.486111","-23.153889",NA,NA,"BHCB036724",NA,NA,NA,NA
"15","2020-12-11 11:41:56-03","UFMG","BHCB","170864","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Petunia","mantiqueirensis","Petunia mantiqueirensis","T.Ando & Hashim.",NA,NA,NA,NA,"Kamino, LHY; Giacomin, LL; Almeida, TE","2008","10","28","Brasil","Minas Gerais","Gonçalves","-46.463333","-23.131111",NA,NA,"Herbáceo, flores liláses.",NA,NA,NA,"1221","Southern America","estrada de terra Gonçalves/Camanducaia.","-46.463333","-23.131111",NA,NA,"BHCB036726",NA,NA,NA,NA
"16","2020-12-11 11:41:56-03","UFMG","BHCB","188660","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Petunia","mantiqueirensis","Petunia mantiqueirensis","T.Ando & Hashim.",NA,"2017","11","20","Stehmann, JR","2017","11","20","Brasil","Minas Gerais","Camanducaia","-45.944389","-22.7095",NA,NA,"Planta com ramos longos, com flores pêndulas, corola com tubo reticulado, com venação púrpura-escura, limbo magenta, pólen azulado (foto CK391); em barranco na beira da estrada, em vegetação perturbada, junto à Floresta Ombrófila Mist",NA,NA,NA,"6424","Southern America","nas proximidades do pesqueiro Lago Azul","-45.944389","-22.7095","1733","1733","BHCB188660",NA,NA,NA,NA
"17","2020-12-11 11:41:56-03","UFMG","BHCB","188664","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Petunia","mantiqueirensis","Petunia mantiqueirensis","T.Ando & Hashim.",NA,"2017","11","20","Stehmann, JR","2017","11","20","Brasil","Minas Gerais","Camanducaia","-45.944389","-22.7095",NA,NA,"Planta com ramos longos, com flores pêndulas, corola com tubo reticulado, com venação púrpura-escura, limbo magenta, pólen azulado (foto CK406); em barranco na beira da estrada, em vegetação perturbada, junto à Floresta Ombrófila Mist",NA,NA,NA,"6425","Southern America","nas proximidades do pesqueiro Lago Azul","-45.944389","-22.7095","1733","1733","BHCB188664",NA,NA,NA,NA
"18","2020-12-11 11:41:56-03","UFMG","BHCB","188749","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Petunia","mantiqueirensis","Petunia mantiqueirensis","T.Ando & Hashim.",NA,"2017","11","20","Stehmann, JR","2017","11","20","Brasil","Minas Gerais","Camanducaia","-45.939708","-22.709328",NA,NA,"Planta com ramos longos, com flores patentes, corola com tubo reticulado, com venação púrpura-escura, limbo magenta, pólen azulado; população crescendo na borda de brejo",NA,NA,NA,"6429","Southern America","nas proximidades do pesqueiro Lago Azul","-45.939708","-22.709328","1699","1699","BHCB188749",NA,NA,NA,NA
