"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","day","county","decimalLongitude","decimalLatitude","infraspecificEpithet","typeStatus","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","485260","PreservedSpecimen","Plantae","Magnoliophyta","Brassicales","Cleomaceae","Cleome","diffusa","Cleome diffusa","Banks ex DC.","C. Grey-Wilson","R. M. Harley","17276","1974","01","South America","Brazil","Bahia","Coastal zone","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=300852' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485260","NY00485260_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","485259","PreservedSpecimen","Plantae","Magnoliophyta","Brassicales","Cleomaceae","Cleome","diffusa","Cleome diffusa","Banks ex DC.","H. H. Iltis","A. P. Duarte","3667","1953","11","South America","Brazil","Espírito Santo","Guarapary","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=300856' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485259","NY00485259_01","26","Guarapari","-40.5108","-20.6581",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","215154","PreservedSpecimen","Plantae","Magnoliophyta","Brassicales","Cleomaceae","Cleome","diffusa","Cleome diffusa macrocarpa","Chodat",NA,"E. Hassler","3725",NA,NA,"South America","Paraguay",NA,"[In arvis San Bernardino.]","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355672' target='other'> <mi>dwc_moreinfo</mi></a>","NY00215154","NY00215154_01",NA,NA,NA,NA,"macrocarpa","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","485257","PreservedSpecimen","Plantae","Magnoliophyta","Brassicales","Cleomaceae","Cleome","diffusa","Cleome diffusa","Banks ex DC.","M. B. C. e. Silva; H. H. Iltis","L. P. de Queiroz","1523","1987","05","South America","Brazil","Bahia","BR. 116 53 km SW de Feira de Santana","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=300855' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485257","NY00485257_01","27","Santo Estevao","-39.3742","-12.5111",NA,NA,"200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","485261","PreservedSpecimen","Plantae","Magnoliophyta","Brassicales","Cleomaceae","Cleome","diffusa","Cleome diffusa","Banks ex DC.","H. H. Iltis","J. S. Blanchet","447","1831",NA,"South America","Brazil","Bahia","Circa Bahia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=300851' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485261","NY00485261_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","485256","PreservedSpecimen","Plantae","Magnoliophyta","Brassicales","Cleomaceae","Cleome","diffusa","Cleome diffusa","Banks ex DC.","H. H. Iltis","G. G. Hatschbach","45133","1982","07","South America","Brazil","Bahia","Tartaruga, arredores","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=300849' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485256","NY00485256_01","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","485262","PreservedSpecimen","Plantae","Magnoliophyta","Brassicales","Cleomaceae","Cleome","diffusa","Cleome diffusa","Banks ex DC.","H. H. Iltis","C. E. F. von Glocker",NA,"1842",NA,"South America","Brazil","Bahia",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=300854' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485262","NY00485262_01",NA,NA,"-39.039072","-15.159747",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","485258","PreservedSpecimen","Plantae","Magnoliophyta","Brassicales","Cleomaceae","Cleome","diffusa","Cleome diffusa","Banks ex DC.","H. H. Iltis","L. Riedel",NA,"1824",NA,"South America","Brazil",NA,"Iter Brasiliense","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=300853' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485258","NY00485258_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02576577","PreservedSpecimen","Plantae","Magnoliophyta","Brassicales","Cleomaceae","Hemiscola","diffusa","Hemiscola diffusa","(Banks ex DC.) Iltis",NA,"D. B. O. S. Cardoso","506","2005","04","South America","Brazil","Bahia","Serra do Bizamum, na estrada depois da Igreja em direção a fazenda do Zé de Isaías.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2826006' target='other'> <mi>dwc_moreinfo</mi></a>","NY02576577","NY02576577_01","21","Tucano","-38.9847","-10.8594",NA,NA,"300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-01-06 11:42:02-03","UFPI-MRV","HDELTA","6154","PreservedSpecimen","Plantae",NA,NA,"Cleomaceae","Tarenaya","diffusa","Tarenaya diffusa","(Banks ex DC.) Soares Neto & Roalson",NA,"Araújo, L.S.; Lemos, J.R.","158","2017","11",NA,"Brasil","Piauí",NA,NA,NA,"HDELTA006154",NA,"11","Brasileira","-41.7811012268066","-4.13166999816895",NA,NA,NA,NA,"51782","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
