"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","monthIdentified","coordinatePrecision","geoFlag","individualCount","phylum","class","order","typeStatus","relatedCatalogItem"
"1","2020-12-21 16:47:51-03","MBM","MBM","426431","PreservedSpecimen","Plantae","Xyridaceae","Xyris","retrorsifimbriata","Xyris retrorsifimbriata","Kral & L.B. Sm.","Wanderley, M.G.L.","2014","Wanderley, M.G.L.; Sano, P.T.; Aiona, A.; Scatena, V.L.; Sano, P.T.; Aiona, A.; Scatena, V.L.","2894","2010","04","22","Southern America","Brazil","Minas Gerais","Milho Verde","Serro Capivari, Nascente do Rio Jequitinhonha","-43.453889","-18.460278","-43.453889","-18.460278","1226","1226","Campo rupestre. Brejo.","MBM426431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:47:51-03","MBM","MBM","387573","PreservedSpecimen","Plantae","Xyridaceae","Xyris","retrorsifimbriata","Xyris retrorsifimbriata","Kral & L.B. Sm.","Wanderley, M.G.L.","2013","Lozano, E.D.; Felitto, G.; Roher, D.; Oliveira, E.A.; Felitto, G.; Roher, D.; Oliveira, E.A.","1397","2013","08","11","Southern America","Brazil","Bahia","Correntina","Fazenda São Francisco","-48.968889","-13.633056","-48.968889","-13.633056",NA,NA,"Herbácea, cespitosa, 80 cm, campo limpo.; Vereda","MBM387573","MBM387573",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:47:51-03","MBM","MBM","426427","PreservedSpecimen","Plantae","Xyridaceae","Xyris","retrorsifimbriata","Xyris retrorsifimbriata","Kral & L.B. Sm.","Kral, R.","2011","Wanderley, M.G.L.; Kral, R.; Cerati, T.M.; Kral, R.; Cerati, T.M.","928","1985","07","19","Southern America","Brazil","Bahia",NA,"Serra da Larguinha, Emtre as cidades Palmeira de Capão",NA,NA,NA,NA,"1300","1300","Folhas achatadas, indivíduos isolados. Escapo cilíndrico verde áspero, espiga globosa, brácteas basais carenadas, brácteas amareladas.","MBM426427",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:47:51-03","MBM","MBM","426429","PreservedSpecimen","Plantae","Xyridaceae","Xyris","retrorsifimbriata","Xyris retrorsifimbriata","Kral & L.B. Sm.","Kral, R.","1988","Graças, M.; Wanderley, L.; Kral, R.; Cerati, T.M.; Wanderley, L.; Kral, R.; Cerati, T.M.","898","1985","07","14","Southern America","Brazil","Bahia","Rio de Contas","Estrada para o Pico das Imas, KM 23","-41.8114013671875","-13.5789003372192",NA,NA,"900","900",NA,"MBM426429",NA,"10","49773","auto",NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:47:51-03","MBM","MBM","136055","PreservedSpecimen","Plantae","Xyridaceae","Xyris","retrorsifimbriata","Xyris retrorsifimbriata","Kral & L.B. Sm.","Kral, R.",NA,"Hatschbach, G.; Hatschbach, M.; Nicolack, V.; Hatschbach, M.; Nicolack, V.","54304","1990","06","14","Southern America","Brazil","Minas Gerais","Grão Mogol","Trilha dos Garimpeiros","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,NA,"MBM136055","MBM136055",NA,"67219","auto",NA,NA,NA,NA,NA,NA
"6","2009-12-04 16:29:00-02","MO","MOBOT","2999700","PreservedSpecimen","Plantae","Xyridaceae","Xyris","retrorsifimbriata","Xyris retrorsifimbriata","Kral & L.B. Sm.","R. Kral",NA,"Gert G. Hatschbach|Maria M. Hatschbach|V. Nicolack","Hatschbach 54304","1990",NA,NA,"South America","Brazil","Minas Gerais",NA,"Trijha dos Garimpeiros (mun. Grão Mogol).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2012-11-09 11:10:00-02","MO","MOBOT","3000497","PreservedSpecimen","Plantae","Xyridaceae","Xyris","retrorsifimbriata","Xyris retrorsifimbriata","Kral & L.B. Sm.","N. F. O. Mota",NA,"Gert G. Hatschbach|Maria M. Hatschbach|E.L. Barbosa","Hatschbach 59338","1993",NA,NA,"South America","Brazil","Goiás",NA,"Rod. GO-118, 5-8 km S de Alto Paraíso. Campo rupestre, solo arenoso, úmido.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"8","2019-10-07 09:22:49-03","UEFS","HUEFS","113474","PreservedSpecimen","Plantae","Xyridaceae","Xyris","retrorsifimbriata","Xyris retrorsifimbriata","Kral & L.B.Sm.","M.G.L.Wanderley","2011","Neves, S.P.S.","127","2006","10","16",NA,"Brasil","Bahia","Lençóis","Próximo ao rio Mucugezinho.","-41.419167","-12.464444","41W25'9''","12S27'52''","759","759",NA,"HUEFS0113474","HUEFS0113474","01",NA,NA,NA,"Angiospermae","Lilianae","Poales",NA,NA
"9","2019-10-07 09:22:49-03","UEFS","HUEFS","123074","PreservedSpecimen","Plantae","Xyridaceae","Xyris","retrorsifimbriata","Xyris retrorsifimbriata","Kral & L.B.Sm.","M.G.L.Wanderley","2011","Funch, R.","463","2005","01","12",NA,"Brasil","Bahia","Ibicoara","Pau Ferrada (Batava) Baixão.","-41.266667","-13.308333","41W16'0''","13S18'30''",NA,NA,"Campo rupestre.","HUEFS0123074","HUEFS0123074","01",NA,NA,NA,"Angiospermae","Lilianae","Poales",NA,NA
"10","2020-07-23 12:24:45-03","CEPLAC","CEPEC","29227","PreservedSpecimen","Plantae","Xyridaceae","Xyris","retrorsifimbriata","Xyris retrorsifimbriata",NA,"R. Kral",NA,"R. M. Harley","19778","1977","03","20",NA,"Brasil","Bahia","RIO DE CONTAS","A NE da rampa baixa Pico das Almas, ca. 25Km ao WNW Vila do Rio de Contas.","-41.95","-13.55","41W57'","13S33'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holótipo","30/07/1980"
"11","2020-07-23 12:24:45-03","CEPLAC","CEPEC","38103","PreservedSpecimen","Plantae","Xyridaceae","Xyris","retrorsifimbriata","Xyris retrorsifimbriata",NA,"R. Kral",NA,"R. Kral","72781","1985","07","14",NA,"Brasil","Bahia","RIO DE CONTAS","23Km a W cidade, prox. Rod. p/ Pico das Almas.","-41.8114013671875","-13.5789003372192",NA,NA,NA,NA,NA,NA,NA,NA,"49773","auto",NA,NA,NA,NA,NA,"30/12/1995"
"12","2019-11-21 10:19:59-03","IBt","SP","203866","S","Plantae","Xyridaceae","Xyris","retrorsifimbriata","Xyris retrorsifimbriata","Kral & L.B.Sm.",NA,NA,"Wanderley, MGL; Kral, R; Cerati, TM","928","1985","07","19",NA,"Brasil","Bahia",NA,"Serra da Larguinha, entre as cidades de Palmeira e Capão",NA,NA,NA,NA,"1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-11-21 10:19:59-03","IBt","SP","204532","S","Plantae","Xyridaceae","Xyris","retrorsifimbriata","Xyris retrorsifimbriata","Kral & L.B.Sm.",NA,NA,"Kral, R; Wanderley, MGL; Cerati, TM; Lima, E","72821","1985","07","19",NA,"Brasil","Bahia","Palmeiras","Serra da Larguinha","-41.5588989257812","-12.5289001464844",NA,NA,NA,NA,NA,NA,NA,NA,"20767","auto",NA,NA,NA,NA,NA,NA
"14","2019-11-21 10:19:59-03","IBt","SP","204030","S","Plantae","Xyridaceae","Xyris","retrorsifimbriata","Xyris retrorsifimbriata","Kral & L.B.Sm.",NA,NA,"Wanderley, MGL; Cerati, TM; Kral, R","898","1985","07","14",NA,"Brasil","Bahia","Rio de Contas","Estrada para o Pico das Almas, Km 23","-41.8114013671875","-13.5789003372192",NA,NA,"900","900",NA,NA,NA,NA,"49773","auto",NA,NA,NA,NA,NA,NA
"15","2019-11-21 10:19:59-03","IBt","SP","204540","S","Plantae","Xyridaceae","Xyris","retrorsifimbriata","Xyris retrorsifimbriata","Kral & L.B.Sm.",NA,NA,"Kral, R; Wanderley, MGL; Cerati, TM; Lima, E","72781","1985","07","14",NA,"Brasil","Bahia","Rio de Contas","Pico das Almas","-41.8114013671875","-13.5789003372192",NA,NA,NA,NA,NA,NA,NA,NA,"49773","auto",NA,NA,NA,NA,NA,NA
