"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","393567","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Rourea","gracilis","Rourea gracilis","G.Schellenb.","E. Forero","R. Reitz","3621","1956","09","06","South America","Brazil","Santa Catarina","Palhoça","Piloes","-48.694057","-27.77489","350","350","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=227177' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393567","NY00393567_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","393570","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Rourea","gracilis","Rourea gracilis","G.Schellenb.","E. Forero","R. Reitz","5781","1957","12","20","South America","Brazil","Santa Catarina","Garuva","Mina velha, Garuva. Sao Francisco do Sul","-48.8547","-26.0269","10","10","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=227180' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393570","NY00393570_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","393569","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Rourea","gracilis","Rourea gracilis","G.Schellenb.","E. Forero","R. Reitz","4930","1957","10","03","South America","Brazil","Santa Catarina","Sao Francisco do Sul","Pôrto do Palmital, Garuva","-48.6381","-26.2433","10","10","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=227179' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393569","NY00393569_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00922496","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Rourea","gracilis","Rourea gracilis","G.Schellenb.","G. T. Prance","H. S. Irwin","2093","1958","11","15","South America","Brazil","Minas Gerais","Viçosa","State Agricultural School.","-42.868031","-20.7613428",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991416' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922496","NY00922496_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00922500","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Rourea","gracilis","Rourea gracilis","G.Schellenb.","G. T. Prance","H. S. Irwin","2200","1958","12","03","South America","Brazil","Minas Gerais","Viçosa","State Agricultural School, Viçosa","-42.868031","-20.7613428",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991434' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922500","NY00922500_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","393571","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Rourea","gracilis","Rourea gracilis","G.Schellenb.","E. Forero","R. M. Klein","1686","1955","10","14","South America","Brazil","Santa Catarina","Itajaí","Morro da Ressacada","-48.6617","-26.9081","150","150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=227181' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393571","NY00393571_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","393573","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Rourea","gracilis","Rourea gracilis","G.Schellenb.","R. S. Cowan","H. S. Irwin","2736","1959","02","24","South America","Brazil","Minas Gerais","Viçosa","State agricultural School, Viçosa","-42.868031","-20.7613428",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=227183' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393573","NY00393573_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01404474","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Rourea","gracilis","Rourea gracilis","G.Schellenb.","O. Kosovsky","N. A. Rosa","1002","1983","04","05","South America","Brazil","Maranhão","Santa Luzia","Fazenda AGRIPEC-VARIG, caminho para o Rio Mutum, margem esquerda do Rio Pindare.","-45.6583","-3.96333",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1422424' target='other'> <mi>dwc_moreinfo</mi></a>","NY01404474","NY01404474_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","393568","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Rourea","gracilis","Rourea gracilis","G.Schellenb.","E. Forero","R. Reitz","2362","1956","01","10","South America","Brazil","Santa Catarina","Itajaí","Luis Alves","-48.6617","-26.9081","200","200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=227178' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393568","NY00393568_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","393572","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Rourea","gracilis","Rourea gracilis","G.Schellenb.","E. Forero","G. G. Hatschbach","20820","1969","01","18","South America","Brazil","Paraná","Paranaguá","Rio Cachoeirinha, 1 km abaixo do Pico Torto","-48.5092","-25.5203","300","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=227182' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393572","NY00393572_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
