"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","imagecode","typeStatus","year","occurrenceRemarks","identifiedBy","yearIdentified","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","coordinatePrecision","geoFlag","fieldNumber","preparationType","individualCount","class","order"
"1","2021-04-08 17:44:51-03","EAO","IAN","35373","PreservedSpecimen","Plantae","Monocotiledônea","Bromeliaceae","Dyckia","pedicellata","Dyckia pedicellata","Mez","Schwacke, J","8413","Southern America","Brasil","IAN035373","IAN035373_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-02-02 14:37:51-02","BGBM","B","B 10 0157399","S","Plantae",NA,"Bromeliaceae","Dyckia","pedicellata","Dyckia pedicellata",NA,"A. F. M. Glaziou","19918 a","Middle and South America","Brazil","B100157399","B100157399 B100157399_1","syntype","1891","<a href=http://herbarium.bgbm.org/object/B100157399 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-21 14:32:46-03","UFJF","CESJ","48975","PreservedSpecimen","Plantae","Angiosperma","Bromeliaceae","Encholirium","pedicellatum","Encholirium pedicellatum","(Mez) Rauh","L. Menini Neto; F.R.G. Salimena; L.F.Viccini; P.Souza","380","América do Sul","Brasil","CESJ048975",NA,NA,"2007","Erva rupicola ou terrestre sobre solo areno-pedregoso, folhas fortemente carnosas, cinéreas, frutos passados castanhos e jovens esverdeados.","R.C. Forzza","2016","03","30","Minas Gerais","Mendanha","Estrada Mendanha-Inhaí, ca. 5 Km de Mendanha.","-43.533889","-18.078","-43.533889","-18.078","734","734",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-21 14:32:46-03","UFJF","CESJ","47694","PreservedSpecimen","Plantae","Angiosperma","Bromeliaceae","Encholirium","pedicellatum","Encholirium pedicellatum","(Mez) Rauh","L. Menini Neto; P.L. Viana; F.R.G. Salimena; T.U.P. Konno","197","América do Sul","Brasil","CESJ047694",NA,NA,"2006","Erva terrestre em solo areno-pedregoso ou rupícola sobre quartzito, proximo a uma mineração de diamantes. Folhas com densos tricomas cinéreos, frutos maduros castanhos.","L. Menini Neto","2006","06","12","Minas Gerais",NA,"Entre Sopa e São Sebastião da Chapada.",NA,NA,NA,NA,NA,NA,"07",NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:19:25-03","MBM","MBM","33322","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Encholirium","pedicellatum","Encholirium pedicellatum","(Mez) Rauh","Hatschbach, G.; Anderson, W.; Gates, B.; Anderson, W.; Gates, B.","36487","Southern America","Brazil","MBM033322","MBM033322",NA,"1975",NA,"Leme, E.M.C.",NA,"02","25","Minas Gerais","Diamantina","Biri-Biri","-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,NA,"101169","auto",NA,NA,NA,NA,NA
"6","2015-09-03 21:15:35-03","MNHN","RECOLNAT_MNHN_P","P01677801","PreservedSpecimen",NA,NA,"Bromeliaceae","Encholirium","pedicellatum","Encholirium pedicellatum","(Mez) Rauh","Glaziou",NA,NA,"Brasil","P01677801","P01677801_01",NA,NA,". s.d. Herbier de A. Glaziou donné par Mme SIMARD, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01677801' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,"Minas Gerais",NA,"Brésil. Minas. Minas Gerais, Sudeste, Brasil, América do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,"19918 a","hb",NA,NA,NA
"7","2012-05-16 12:57:00-03","MO","MOBOT","3002735","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Dyckia","pedicellata","Dyckia pedicellata","Mez","Carl Schwacke","Schwacke 8413","South America","Brazil",NA,NA,NA,"1892",NA,"Glaziou",NA,"4","4","Minas Gerais",NA,"Serra dos Cristae|6s Cui Diamastina, auf preurjau Zügala.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"8","2020-09-12 05:00:02-03","US","US","3439635","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Encholirium","pedicellatum","Encholirium pedicellatum","(Mez) Rauh","R. C. Forzza & R. Mello-Silva","1504","South America - Neotropics","Brazil","US01935073","US01935073_01",NA,"2000",NA,NA,NA,"1","30","Minas Gerais","Diamantina","Estrada Diamantina-Biri-Biri, 3 Km do trevo para Diamantina","-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,NA,"101169","auto",NA,NA,"1","Monocotyledonae","Bromeliales"
"9","2019-09-04 19:40:26-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Bromeliaceae","Dyckia","pedicellata","Dyckia pedicellata",NA,"C. A. W. Schwacke","8413","South America","Brazil",NA,NA,"Holotype","1892",NA,NA,NA,"4","4",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledoneae",NA
