"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","phylum","identifiedBy","yearIdentified","monthIdentified","dayIdentified","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber","preparationType","recordNumber","minimumElevationInMeters","typeStatus","maximumElevationInMeters"
"1","2020-02-08 08:45:37-03","NBC","NL-BOTANY","AMD.22395","PreservedSpecimen","Plantae","Magnoliopsidae","Asparagales","Amaryllidaceae","Haylockia","pusilla","Haylockia pusilla","Herb.","Herter WG","1931","02","05","Southern America","Uruguay","Plantae Uruguayenses. Dep. de Montevideo. Mignelete.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.22395 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-AMD22395","NL-AMD22395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:45:37-03","NBC","NL-BOTANY","L.1475008","PreservedSpecimen","Plantae","Magnoliopsidae","Asparagales","Amaryllidaceae","Haylockia","pusilla","Haylockia pusilla","Herb.","Vincent D","1905","11","01","Southern America","Brazil","Pu. de Rio. Grande. *.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1475008 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1475008","NL-L1475008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:45:43-03","NBC","NL-BOTANY","U.1065695","PreservedSpecimen","Plantae","Magnoliopsidae","Asparagales","Amaryllidaceae","Zephyranthes","pusilla","Zephyranthes pusilla","(Herb.) D.Dietr.","Heel ALS van","1961","01","12","Southern America","Uruguay","Laguna Negra, Bulbous herb, fls. white (sometime yellow), soon wilting, in pasture.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1065695 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1065695","NL-U1065695",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:45:43-03","NBC","NL-BOTANY","U.1065696","PreservedSpecimen","Plantae","Magnoliopsidae","Asparagales","Amaryllidaceae","Zephyranthes","pusilla","Zephyranthes pusilla","(Herb.) D.Dietr.","Herter WGF","1931","02","05","Southern America","Uruguay","Dep. de Montevideo. Loc. Dict. Muguelete.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1065696 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1065696","NL-U1065696",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:45:43-03","NBC","NL-BOTANY","U.1065697","PreservedSpecimen","Plantae","Magnoliopsidae","Asparagales","Amaryllidaceae","Zephyranthes","pusilla","Zephyranthes pusilla","(Herb.) D.Dietr.","Herter WGF",NA,NA,NA,"Southern America","Uruguay","Dep. de Montevideo, Loc. dict. Miquelete.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1065697 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1065697","NL-U1065697",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-27 13:26:20-03","IAP","PACA-AGP","25009","PreservedSpecimen","Plantae","Liliatae","Liliales","Amaryllidaceae","Zephyranthes","americana","Zephyranthes americana","(Hoffmanns.) Ravenna","Emrich, K.","1943",NA,NA,NA,"Brasil",NA,"sin. Haylockia pusilla Herb Habitat: in siccis graminosis Fenofase: flor","PACA025009",NA,"Magnoliophyta","Candido, R.S.","2016","07","13","RS","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-08-27 13:26:20-03","IAP","PACA-AGP","30008","PreservedSpecimen","Plantae","Liliatae","Liliales","Amaryllidaceae","Zephyranthes","americana","Zephyranthes americana","(Hoffmanns.) Ravenna","Emrich, K.",NA,NA,NA,NA,"Brasil","Montserrat","sin. Haylockia pusilla Herb Habitat: in siccis graminosis Fenofase: flor","PACA030008",NA,"Magnoliophyta","Candido, R.S.","2016","07","13","RS","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-08-27 13:26:20-03","IAP","PACA-AGP","11505","PreservedSpecimen","Plantae","Liliatae","Liliales","Amaryllidaceae","Zephyranthes","americana","Zephyranthes americana","(Hoffmanns.) Ravenna","Emrich, K.","1943","01","25",NA,"Brasil","Montserrat","Habitat: in siccis graminosis Fenofase: flor","PACA011505",NA,"Magnoliophyta","Candido, R.S.","2016","07","13","RS","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-08-27 13:26:19-03","IAP","PACA-AGP","10176","PreservedSpecimen","Plantae","Liliatae","Liliales","Amaryllidaceae","Zephyranthes","americana","Zephyranthes americana","(Hoffmanns.) Ravenna","Emrich, K.","1942","02","17",NA,"Brasil","Montserrat","Habitat: in siccis graminosis Fenofase: flor","PACA010176",NA,"Magnoliophyta","Candido, R.S.","2016","07","13","RS","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-01-17 11:23:59-02","PUCRS","MPUC","12822","S","Plantae","Magnoliopsida","Asparagales","Amaryllidaceae","Haylockia","pusilla","Haylockia pusilla","Herb.",NA,"1992","02","23","South America","Brasil",".",NA,NA,NA,NA,"C. Schlindwein",NA,NA,NA,"RS","Caçapava do Sul","-53.4913888889","-30.5125",NA,NA,"-53.4913888889","-30.5125000000","1",NA,NA,NA,NA,NA,NA
