"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","yearIdentified","class","monthIdentified","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","55160","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","hirsuta","Banisteriopsis hirsuta","B.Gates","isotype","W. R. Anderson","6658","1973","03","08","South America","Brazil","Goiás","Cavalcante","Chapada dos Veadeiros; ca. 25 km by road N of Alto Paraíso","-47.4583015441895","-13.7974996566772","92497","1700","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=392668' target='other'> <mi>dwc_moreinfo</mi></a>","NY00055160","NY00055160_01","auto",NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","55161","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","hirsuta","Banisteriopsis hirsuta","B.Gates","isotype","W. R. Anderson","6658","1973","03","08","South America","Brazil","Goiás","Cavalcante","Chapada dos Veadeiros; ca. 25 km by road N of Alto Paraíso","-47.4583015441895","-13.7974996566772","92497","1700","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=392669' target='other'> <mi>dwc_moreinfo</mi></a>","NY00055161","NY00055161_01","auto",NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00859097","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Banisteriopsis","hirsuta","Banisteriopsis hirsuta","B.Gates",NA,"B. Gates","37","1979","01","25","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, 5 km E of Alto Paraíso.","-47","-14",NA,"1550","1550","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959125' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859097","NY00859097_01",NA,"B. Gates",NA,NA,NA,NA,NA
"4","2020-12-21 16:32:28-03","MBM","MBM","101974","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Banisteriopsis","hirsuta","Banisteriopsis hirsuta","B. Gates","PARATYPE","Anderson, W.R.","11480","1975","02","20","Southern America","Brazil","Goiás","Chapada dos Veadeiros","15-40 km W and N of Alto Paraiso",NA,NA,NA,"1250","1500",NA,"Erect subshrub to 1m; calyx glands reddish-green; petals off-white; rocky campos; sandstone outcrops, rocky campos, and seeping brejos.; Erect subshrub to 1m; calyx glands reddish-green; petals off-white.; Sandstone outcrops, rocky c","MBM101974","MBM101974",NA,"Gates, B.","1979",NA,NA,NA,NA
"5","2020-12-21 16:32:28-03","MBM","MBM","159994","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Banisteriopsis","hirsuta","Banisteriopsis hirsuta","B. Gates",NA,"Hatschbach, G.; Barboza, E.; Barboza, E.","59521",NA,NA,NA,"Southern America","Brazil","Goiás","Alto Paraíso de Goiás","Alto Paraíso, rodovia para Colinas do Sul, Rio das Cobras","-47.5099983215332","-14.1324996948242","44724",NA,NA,NA,NA,"MBM159994",NA,"auto","Anderson, W.R.",NA,NA,NA,NA,NA
"6","2019-10-07 09:31:40-03","UEFS","HUEFS","202035","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Malpighiaceae","Banisteriopsis","hirsuta","Banisteriopsis hirsuta","B.Gates",NA,"Cordeiro, J.","4974","2013","04","19",NA,"Brasil","Goiás","Cavalcante","Serra do Tombador.","-47.529722","-13.539444",NA,"1128","1128",NA,NA,"HUEFS0202035","HUEFS0202035",NA,"A.Francener","2014","Rosanae","09","47W31'47''","13S32'22''"
"7","2019-11-21 10:07:56-03","IBt","SP","470754","S","Plantae",NA,NA,"Malpighiaceae","Banisteriopsis","hirsuta","Banisteriopsis hirsuta","B.Gates",NA,"Cordeiro, J; Barboza, E; Brotto, ML; Vaz, J","4974","2013","04","19",NA,"Brasil","Goiás","Cavalcante","Serra do Tombador","-47.529722","-13.539444",NA,"1128","1128",NA,NA,NA,NA,NA,"Mamede, MCH","2014",NA,"12","-47.529722","-13.539444"
"8","2021-01-21 15:29:18-03","IBt","SP","272762","S","Plantae",NA,NA,"Malpighiaceae","Banisteriopsis","hirsuta","Banisteriopsis hirsuta","B.Gates",NA,"Aparecida da Silva, M; Cardoso, E; Walter, BMT; Munhoz, CBR","2083","1994","05","25",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, 28 km de Alto Paraíso/Teresina de Goiás, Rodovia GO-118, Km 198","-47.5099983215332","-14.1324996948242","44724","1540","1540",NA,"Subarbusto ca. 0,8 m alt., flores esbranquiçadas, folhas discolores pilosas","SP012692","SP012692","auto","Mamede, MCH","1995",NA,NA,NA,NA
