"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","locality","minimumElevationInMeters","maximumElevationInMeters","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","typeStatus","fieldNumber"
"1","2021-04-05 14:34:03-03","UNESC","CRI","3661","PreservedSpecimen","Plantae","Rhizophoraceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","Marcos Sobral","1993","09","25","R. Záchia; V. Stalter","1435","1993","09","25","Brasil","Rio Grande do Sul","Itaqui","-56.553333","-29.125833","56º33'12''W","29º7'33''S","Habitat: orla de mata Habito: arvoreta","CRI010068","CRI010068",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:12-03","UNESC","CRI","2792","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","A. Amaral Jr",NA,NA,NA,"Reitz; Klein","16235","1963","09","13","Brasil","Santa Catarina","Capinzal","-51.612222","-27.344167","51º36'44''W","27º20'39''S","Habitat: beira do rio Habito: arbusto","CRI010070","CRI010070","Lacerdópolis.","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:29-03","UNESC","CRI","5104","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","Zenaide P. Topanotti","1996","11","19","V. Citadini-Zanette; V. P. Boff",NA,"1996","11","19","Brasil","Santa Catarina","Lauro Muller","-49.396944","-28.393333","49º23'49''W","28º23'36''S",NA,"CRI010071","CRI010071","Rio Rocinha.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","376700","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","J. O. Mendonça",NA,NA,NA,"G. G. Hatschbach","61060","1994","09","16","Brazil","Rio Grande do Sul","Marcelino Ramos","-51.9064","-27.4619",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368102' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376700","NY00376700_01","Rio Uruguai, Estreito",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","376705","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","S. F. Smith",NA,NA,NA,"R. A. Wasum","4792","1988","10","30","Brazil","Rio Grande do Sul","Caxias do Sul","-51.1792","-29.1683",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368103' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376705","NY00376705_01","Cruiva - Ilhéus","800","800","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","376707","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","T. C. Plowman",NA,NA,NA,"F. Sellow",NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368099' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376707","NY00376707_01",NA,NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","376694","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","T. C. Plowman",NA,NA,NA,"L. B. Smith","11547","1957","02","20","Brazil","Santa Catarina","Chapecó","-52.6181","-27.0967",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368095' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376694","NY00376694_01","Campo, 6-24 km west of Campo Erê","900","1000","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","376695","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","T. C. Plowman",NA,NA,NA,"L. B. Smith","12884","1964","10","23","Brazil","Santa Catarina","Abelardo Luz","-52.33","-26.57",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368090' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376695","NY00376695_01","4 km north of Abelardo Luz","900","1000","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","376697","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","T. C. Plowman",NA,NA,NA,"G. G. Hatschbach","40527","1977","12","08","Brazil","Paraná","Santa Helena","-54.3328","-24.8606",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368092' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376697","NY00376697_01","Rio S. Francisco Chico",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","376696","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","T. C. Plowman",NA,NA,NA,"G. G. Hatschbach","24833","1970","09","27","Brazil","Paraná","Sao Jerônimo da Serra","-50.7408","-23.7278",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368091' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376696","NY00376696_01","Rio Jeronimo",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
