"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","recordNumber","class","order","continentOcean","phylum","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","preparationType","individualCount","typeStatus","previousCatalogNumber"
"1","2021-04-05 14:33:50-03","UNESC","CRI","12943","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","cornigera","Gomesa cornigera","(Lindl.) M.W.Chase & N.H.Williams","Alexandre Medeiros","2018","01","13","Alexandre Medeiros","2018","01","13","Brasil","Santa Catarina","Balneário Camboriú","Pinhonat.","-48.637778","-27.001389","48º38'16''W","27º0'5''S","Coleta 832. Árvore tombada com diversos exemplares. Flores amarelas. Arquivo fotos 436. Habito: Epífita","CRI011551","CRI011551",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:50-03","UNESC","CRI","4902","PreservedSpecimen","Plantae","Orchidaceae","Oncidium","cornigerum","Oncidium cornigerum","Lindl.","Jorge Waechter","1996","08","07","Vanilde Citadini-Zanette; G. Oecksler e J. Vesnon","1995","01","16","Brasil","Santa Catarina","Meleiro",NA,"-49.588889","-28.856389","49º35'20''W","28º51'23''S",NA,"CRI005817","CRI005817",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","9216","PreservedSpecimen","Plantae","Orchidaceae","Baptistonia","cornigera","Baptistonia cornigera","(Lindl.) Chiron & V.P.Castro",NA,"1973","02","11","Amaral Jr., A.","1972","12","29","Brasil","São Paulo","São Manuel","Pavuna, próximo ao limite do município de Botucatu com São Manuel, pela Rodovia Marechal Rondon",NA,NA,"9999","9999",NA,"BOTU009216",NA,"1334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","9252","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","cornigera","Gomesa cornigera","(Lindl.) M.W.Chase & N.H.Williams","Helfstein, E.A.","1998","04","09","Amaral Jr., A.","1972","09","08","Brasil","São Paulo","Botucatu","Bairro Faxinal",NA,NA,"9999","9999",NA,"BOTU009252",NA,"1074",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:46:37-03","NBC","NL-BOTANY","U.1458894","PreservedSpecimen","Plantae","Orchidaceae","Oncidium","cornigerum","Oncidium cornigerum","Lindl.",NA,NA,NA,NA,"Lindeman JC; Haas JH de","1965","12","15","Brazil",NA,NA,"Brasiliae Australis. Est. Paraná. Foz do Iguaçu, no mato.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1458894 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1458894","NL-U1458894",NA,"Magnoliopsidae","Asparagales","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-31 13:40:42-03","MN","R","3416","PreservedSpecimen","Plantae","Orchidaceae","Baptistonia","cornigera","Baptistonia cornigera","(Lindl.) Chiron & V.P. Castro","Chiron, G.","2008","02","14","Lange, C.",NA,NA,NA,"Brasil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-29 22:07:08-03","FPS","FPS","1108","MachineObservation","Plantae","Orchidaceae","Gomesa","cornigera","Gomesa cornigera","(Lindl.) M.W.Chase & N.H.Williams","Schwirkowski, P.","2020","09","27","Schwirkowski, P.","2020","09","27","Brasil","Santa Catarina","São Bento do Sul","Centro. Trilha do Ginásio","-49.383008","-26.242288","-49.383008","-26.242288","<ll>dwc_commonname:</ll> Orquídea","FPS01108","FPS01108_v01 FPS01108_v02 FPS01108_v03 FPS01108_v04 FPS01108_v05 FPS01108_v06 FPS01108_v07 FPS01108_v08 FPS01108_v09 FPS01108_v10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-08-27 13:26:31-03","IAP","PACA-AGP","71123","PreservedSpecimen","Plantae","Orchidaceae","Baptistonia","cornigera","Baptistonia cornigera","(Lindl.) Chiron & V. P. Castro","Castro, J. B.","2016","06","16","V. F. Nunes et al.","1991","01","20","Brasil","RS","Sapiranga","Recanto da Cascata - Picada Verão","-51.0069007873535","-29.6380996704102",NA,NA,"Inflorescência pendente, com flores amarelas com pintas castanhas. Habitat: Epífita, higrófita, ombrófita ou luz difusa Fenofase: flor","PACA071123",NA,"1233","Liliatae","Orchidales",NA,"Magnoliophyta","11711","auto",NA,NA,NA,NA,NA,NA,NA
"9","2019-08-27 13:26:31-03","IAP","PACA-AGP","103240","PreservedSpecimen","Plantae","Orchidaceae","Baptistonia","cornigera","Baptistonia cornigera","(Lindl.) Chiron & V. P. Castro","Castro, J. B.","2016","06","16","J. Brustulin","2007","03","26","Brasil","RS","Farroupilha","Parque dos Pinheiros.","-51.438889","-29.241667","51°26'20W","29°14'30S","Hábito: epífita","PACA103240",NA,"9","Liliatae","Orchidales",NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-08-27 13:26:31-03","IAP","PACA-AGP","114277","PreservedSpecimen","Plantae","Orchidaceae","Baptistonia","cornigera","Baptistonia cornigera","(Lindl.) Chiron & V. P. Castro","Castro, J. B.","2016","06","16","Cunha, Simone","2011","03","05","Brasil","RS","Caraá","Alto Vila Nova.","-50.366889","-29.728361","50°22'00,8W","29°43'42,1S","Habitat: epifítico","PACA114277",NA,"24","Liliatae","Orchidales",NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA
