"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","continentOcean","preparationType","barcode","imagecode","dayIdentified","typeStatus","class"
"1","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","715","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","sucrei","Vriesea sucrei","L.B.Sm. & Read","Elton. C. M. Leme","2011","08","Elton M. C. Leme; Ricardo Moura; Rafael de Oliveira","2009","01","23","Brasil","Rio de Janeiro","Arraial do Cabo","Ilha do Cabo, próximo ao farol","-42.0278015136719","-22.966100692749","25964","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","247388","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","sucrei","Vriesea sucrei","L.B.Sm. & Read","T. S. Coser",NA,NA,"B. D. Sucre","1968","10","08","Brazil","Rio de Janeiro","Cabo Frio","Restinga de Cabo Frio.","-42.032149","-22.874703",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=314263' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"3808","South America","sheet","NY00247388","NY00247388_01",NA,NA,NA
"3","2021-02-07 08:35:28-03","MN","R","181355","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","sucrei","Vriesea sucrei","L.B. Sm. & Read",NA,NA,NA,"Vidal, J.","1953","02",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"5992",NA,NA,"R010016909",NA,NA,NA,NA
"4","2021-02-07 08:35:28-03","MN","R","181352","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","sucrei","Vriesea sucrei","L.B. Sm. & Read",NA,NA,NA,NA,"1953","10",NA,"Brasil","Minas Gerais","Jaboticatubas",NA,"-43.7449989318848","-19.513599395752","31264",NA,NA,"auto",NA,NA,NA,"R010016908",NA,NA,NA,NA
"5","2021-02-07 08:35:28-03","MN","R","219199","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","sucrei","Vriesea sucrei","L.B. Sm. & Read","Neves, B.F.S.","2014","03","Neves, B.F.S. 186; Moura, R.; Alves, R.J.V.; Silva, N. & Medeiros, D.","2013","11","07","Brasil","Rio de Janeiro","Cabo Frio",NA,"-42.0186004638672","-22.8794002532959","40069",NA,NA,"auto",NA,NA,NA,"R010016910",NA,"28",NA,NA
"6","2021-02-07 08:35:28-03","MN","R","237797","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","sucrei","Vriesea sucrei","L.B. Sm. & Read","Neves, B.F.S.","2019","08","Neves, B.F.S. 388a; Costa, A.F.","2015","10","14","Brasil","Rio de Janeiro","Arraial do Cabo","Ilha do Cabo Frio","-42.0278015136719","-22.966100692749","25964",NA,NA,"auto",NA,NA,NA,"R010066752","R010066752","21",NA,NA
"7","2021-02-07 08:35:28-03","MN","R","227467","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","sucrei","Vriesea sucrei","L.B. Sm. & Read",NA,NA,NA,NA,"2002",NA,NA,"Brasil","Rio de Janeiro","Arraial do Cabo","Ilha do Cabo Frio","-42.0278015136719","-22.966100692749","25964",NA,NA,"auto",NA,NA,NA,"R010002000","R010002000",NA,NA,NA
"8","2021-02-07 08:35:28-03","MN","R","225675","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","sucrei","Vriesea sucrei","L.B. Sm. & Read",NA,NA,NA,"Ghizi, A.C.","2000","05","20","Brasil","Rio de Janeiro","Arraial do Cabo","Ilha do Cabo Frio","-42.0278015136719","-22.966100692749","25964",NA,NA,"auto","318",NA,NA,"R010001991,R010001992","R010001991 R010001992",NA,NA,NA
"9","2021-02-07 08:35:28-03","MN","R","225674","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","sucrei","Vriesea sucrei","L.B. Sm. & Read",NA,NA,NA,"Alves, R.J.V.","1998","11","29","Brasil","Rio de Janeiro","Arraial do Cabo","Ilha do Cabo Frio","-42.0278015136719","-22.966100692749","25964",NA,NA,"auto","6466",NA,NA,"R010002654","R010002654",NA,NA,NA
"10","2021-02-07 08:35:28-03","MN","R","225673","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","sucrei","Vriesea sucrei","L.B. Sm. & Read",NA,NA,NA,"Alves, R.J.V.","1999","03","23","Brasil","Rio de Janeiro","Arraial do Cabo","Ilha do Cabo Frio","-42.0278015136719","-22.966100692749","25964",NA,NA,"auto","6580",NA,NA,"R010002738","R010002738",NA,NA,NA
