"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","coordinatePrecision","geoFlag","class","typeStatus","eventTime","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-04-05 14:25:04-03","UNESC","CRI","3587","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.","Marcos Sobral","1995","11","03","V. Citadini-Zanette; et al.","1995","01","16","Brasil","Santa Catarina","Morro Grande","Pingador, Três Barras.","-49.721111","-28.801111","49º43'16''W","28º48'4''S","Habitat: Floresta Ombrófila Densa","CRI001800","CRI001800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1075733","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.","O. Kosovsky",NA,NA,NA,"P. G. Delprete","2002","04","19","Brazil","Acre","Tarauacá","Basin of Rio Muru, Colocaçao Igarapé Pau Caido","-70.77","-8.33",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=715390' target='other'> <mi>dwc_moreinfo</mi></a>","NY01075733",NA,"Magnoliophyta","Boraginales","8620","South America","180","180","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","448518","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","1966","01","18","Brazil","Paraná","Antonina","Above Antonia","-48.7117","-25.4286",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=230633' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448518","NY00448518_01","Magnoliophyta","Boraginales","Ha.13533","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","2147893","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.",NA,NA,NA,NA,"G. T. Prance","1966","09","02","Brazil","Amazonas","Manaus","Manaus-Itacoatiara Highway. Reserva Florestal Ducke, km 26. Forest on terra firme.","-59.9281883","-2.9548699",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2297727' target='other'> <mi>dwc_moreinfo</mi></a>","NY02147893","NY02147893_01","Magnoliophyta","Boraginales","2172","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","2147892","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.",NA,NA,NA,NA,"R. T. P. Vasconcelos","1986","10","21","Brazil","Pará","Altamira","À direita do Rio Xingu, no largo do murici.","-52.5854588","-7.2040035",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2297725' target='other'> <mi>dwc_moreinfo</mi></a>","NY02147892","NY02147892_01","Magnoliophyta","Boraginales","397","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","448654","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.","J. S. Miller",NA,NA,NA,"M. Silveira","1993","04","12","Brazil","Acre","Marechal Thaumaturgo","Rio Alto Juruá, Reserva Extrativista do Alto Juruá","-72.7917","-8.9411",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=230636' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448654","NY00448654_01","Magnoliophyta","Boraginales","534","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","448504","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.","L. B. Smith",NA,NA,NA,"R. M. Klein","1956","01","24","Brazil","Santa Catarina","Itajaí","Morro da Ressacada","-48.6617","-26.9081",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=230627' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448504","NY00448504_01","Magnoliophyta","Boraginales","1818","South America","50","50","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-27 16:52:00-03","NY","NYBG","448655","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris",NA,NA,NA,NA,NA,"G. Tessmann",NA,NA,NA,"Peru",NA,NA,"Middle Ucayali, Yarina cocha",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=230640' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448655",NA,"Magnoliophyta","Boraginales","3483","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","448508","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","1972","05","10","Brazil","Paraná","Antonina","Serrinha","-48.7117","-25.4286",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=230632' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448508","NY00448508_01","Magnoliophyta","Boraginales","29658","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","448507","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","1979","01","04","Brazil","Paraná","Antonina","Manduira","-48.800146","-25.465922",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=230631' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448507","NY00448507_01","Magnoliophyta","Boraginales","41828","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","448516","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.","I. M. Johnston",NA,NA,NA,"R. Reitz","1959","01","15","Brazil","Santa Catarina","Lauro Muller","Novo Horizonte, Lauro Müller","-49.483071","-28.387264",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=230635' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448516","NY00448516_01","Magnoliophyta","Boraginales","8256","South America","450","450","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","448656","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.","J. A. Kallunki",NA,NA,NA,"L. Riedel",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=230626' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448656","NY00448656_01","Magnoliophyta","Boraginales","s.n.","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","448515","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.",NA,NA,NA,NA,"P. von Luetzelburg","1911","08",NA,"Brazil","Bahia",NA,NA,"-39.039072","-15.159747",NA,NA,"see specimen for a separate label with information which does not match specimen <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=230639' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448515","NY00448515_01","Magnoliophyta","Boraginales","2520","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","448505","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","1972","01","09","Brazil","Paraná","Antonina","Sapitanduvas","-48.7117","-25.4286",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=230630' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448505","NY00448505_01","Magnoliophyta","Boraginales","28622","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA
