"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","355706","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Oreodaphne","venulosa","Oreodaphne venulosa","Meisn.","probable syntype","L. Riedel","s.n.","South America","Brazil","Brasilia","sheet","Ex Herbario horti Petropolitani. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=517313' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355706","NY00355706_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-01-20 14:40:34-03","UPM","MACK","858","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Ness) Baitello",NA,"Camila; Eduardo; Rodrigo","s/n",NA,"Brasil","Restinga alta.",NA,NA,NA,NA,"2010","07","27","SP","Peruíbe","-46.9900016784668","-24.3199996948242","21922","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-01-20 14:40:34-03","UPM","MACK","857","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Ness) Baitello",NA,"Camila; Eduardo; Rodrigo","s/n",NA,"Brasil","Restinga alta.",NA,NA,NA,NA,"2010","07","19","SP","Peruíbe","-46.9900016784668","-24.3199996948242","21922","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-01-20 14:40:34-03","UPM","MACK","2828","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello.",NA,"R. Costa","168",NA,"Brasil","Parque Tizo",NA,NA,NA,NA,"2005","08","23","SP","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto","J. B. Baitello","2006",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:12:10-03","ESALQ","ESA","128525","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa",NA,NA,"Delfini, C.","902.0",NA,"Brasil","Região da UHE Fumaça, trilha do Chagas. Floresta Ombrófila Densa, à margem esquerda do rio Juquiá.",NA,"Indivíduo jovem, ca. 2m alt.","ESA128525",NA,"2013","03","30","São Paulo","Tapiraí","-47.29359","-24.01321",NA,NA,NA,NA,"-47.29359","-24.01321","514","514",NA,NA,NA,NA
"6","2020-11-04 10:56:02-03","ESALQ","ESA","134447","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Benth. & Hook",NA,NA,"807.0",NA,NA,NA,NA,"Floresta de Restinga Alta, fragmento no Bairro Gaivotas. Árvore da fitossociologia placa no. 19523. Altura: 5m","ESA134447",NA,"2013","03","26",NA,NA,NA,NA,NA,NA,"Lima, R.A.F.","2014","23.38.25",NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:12:10-03","ESALQ","ESA","70696","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Moraes, P.L.R.","2431.0",NA,"Brasil",NA,NA,NA,"ESA070696","ESA070696","2001","05","08","São Paulo","Iguape","-47.5499992370605","-24.7000007629395","55628","auto","Baitello, J.B.","2003",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:12:10-03","ESALQ","ESA","29382","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Ivanauskas, N.M.","937.0",NA,"Brasil",NA,NA,NA,"ESA029382",NA,"1996","01","07","São Paulo","Pariquera-Açu","-47.8800010681152","-24.7099990844727","17990","auto","Baitello, J.B.","2003",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:12:10-03","ESALQ","ESA","29387","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Ivanauskas, N.M.","942.0",NA,"Brasil",NA,NA,NA,"ESA029387",NA,"1996","04","10","São Paulo","Pariquera-Açu","-47.8800010681152","-24.7099990844727","17990","auto","Baitello, J.B.","2003",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:12:10-03","ESALQ","ESA","123694","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa",NA,NA,"Colletta, G.D. ; Souza, V.C.","1082.0",NA,"Brasil","Reserva Particular da Votorantim (CBA), Trilha da Serraria.",NA,"Árvore, 4m","ESA123694",NA,"2013","04","30","São Paulo","Tapiraí","-47.5","-23.9599990844727","41034","auto","Ivanauskas, N.M.","2013",NA,NA,NA,NA,"04","30",NA,NA
