"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","geoFlag","monthIdentified","continentOcean","verbatimLongitude","verbatimLatitude","dayIdentified","typeStatus"
"1","2020-11-04 12:17:38-03","ESALQ","ESA","75792","PreservedSpecimen","Plantae","Magnoliophyta","Orchidaceae","Octomeria","rotundiglossa","Octomeria rotundiglossa","Hoehne","Forster, W.","2008","Meireles, L.D.; Gonçalves, A.P.S.; Soares Jr., F.J.; Meneghetti, G.I.P.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Oliveira, A.A.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","225.0","2001","04","17","Brasil","São Paulo","Itanhaém","BLOQUEADO","-46.7799987792969","-24.1800003051758","26998","30","30","Epífita, flores amarelas.","ESA075792","ESA075792","auto",NA,NA,NA,NA,NA,NA
"2","2020-11-04 12:17:38-03","ESALQ","ESA","103499","PreservedSpecimen","Plantae","Magnoliophyta","Orchidaceae","Octomeria","rotundiglossa","Octomeria rotundiglossa",NA,NA,NA,"Gonçaves, S.B.","290.0","2001","11","16","Brasil","Rio de Janeiro","Angra dos Reis",NA,"-44.3180999755859","-23.0067005157471","32988",NA,NA,NA,"ESA103499","ESA103499","auto",NA,NA,NA,NA,NA,NA
"3","2020-11-04 12:17:38-03","ESALQ","ESA","85954","PreservedSpecimen","Plantae","Magnoliophyta","Orchidaceae","Octomeria","rotundiglossa","Octomeria rotundiglossa",NA,"Forster, W.","2008","Forster, W.; Mazine, F.F.; Sampaio, D.; Salmazo, P.B.; Ribeiro Jr., E.","976.0","2002","12","08","Brasil","São Paulo","Cananéia","BLOQUEADO","-47.9199981689453","-25.0100002288818","37574",NA,NA,"Erva epífita. Flores amarelas. Parcela 0.","ESA085954","ESA085954","auto",NA,NA,NA,NA,NA,NA
"4","2020-11-04 12:17:38-03","ESALQ","ESA","85982","PreservedSpecimen","Plantae","Magnoliophyta","Orchidaceae","Octomeria","rotundiglossa","Octomeria rotundiglossa",NA,"Forster, W.","2008","Forster, W.; Mazine, F.F.; Udulutsch, R.G.; Lucas, E.J.; Souza, V.C.","1006.0","2003","01","23","Brasil","São Paulo","Cananéia","BLOQUEADO","-47.9199981689453","-25.0100002288818","37574",NA,NA,"Erva epífita. Flores amarelas.","ESA085982","ESA085982","auto",NA,NA,NA,NA,NA,NA
"5","2020-11-04 12:17:38-03","ESALQ","ESA","85943","PreservedSpecimen","Plantae","Magnoliophyta","Orchidaceae","Octomeria","rotundiglossa","Octomeria rotundiglossa",NA,"Forster, W.","2008","Forster, W.; Mazine, F.F.; Sampaio, D.; Salmazo, P.B.; Ribeiro Jr., E.","965.0","2002","12","07","Brasil","São Paulo","Cananéia","BLOQUEADO","-47.9199981689453","-25.0100002288818","37574",NA,NA,"Erva epífita. Flores amarelas.","ESA085943","ESA085943","auto",NA,NA,NA,NA,NA,NA
"6","2020-11-04 12:17:38-03","ESALQ","ESA","75796","PreservedSpecimen","Plantae","Magnoliophyta","Orchidaceae","Octomeria","rotundiglossa","Octomeria rotundiglossa",NA,"Forster, W.","2008","Meireles, L.D.; Gonçalves, A.P.S.; Soares Jr., F.J.; Meneghetti, G.I.P.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Oliveira, A.A.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","229.0","2001","04","17","Brasil","São Paulo","Itanhaém","BLOQUEADO","-46.7799987792969","-24.1800003051758","26998","30","30","Epífita, flores creme-amareladas.","ESA075796","ESA075796","auto",NA,NA,NA,NA,NA,NA
"7","2019-02-15 11:46:57-02","IPA","IPA","26381","S","Plantae","Plantae","Orchidaceae","Octomeria","rotundiglossa","Octomeria rotundiglossa","Hoehne","Braga, P.I.S.","1981","Caldasso, A.","6201","1980","04",NA,"Brasil","Pernambuco","Chã Grande","Engenho Manhoso, margem da estrada Pombos - Amaraji. Sobre casca de árvore viva.","-35.5","-8.333333",NA,"450","450","Epífita. Associada a Pleurothallis. Flores amarelas.; Mata de altitude; transição para brejo.","IPA0026381",NA,NA,"01","Southern America","-35.5","-8.333333",NA,NA
"8","2019-08-20 10:00:54-03","UNICAMP","UEC","139920","S","Plantae","Liliopsida","Orchidaceae","Octomeria","margaretae","Octomeria margaretae","Pabst ex Toscano","Breier, TB","2004","Breier, TB","936","2003","03","19","Brazil","São Paulo","Cananéia","Parque Estadual da Ilha do Cardoso, Parcelas permanentes.","-47.9199981689453","-25.0100002288818","37574",NA,NA,NA,"UEC001888","UEC001888","auto","09",NA,NA,NA,NA,NA
"9","2019-08-20 10:00:54-03","UNICAMP","UEC","139919","S","Plantae","Liliopsida","Orchidaceae","Octomeria","margaretae","Octomeria margaretae","Pabst ex Toscano","Udulutsch, RG","2003","Breier, TB; Singer, RB","267","2002","06","25","Brazil","São Paulo","Cananéia","Parque Estadual da Ilha do Cardoso, Parcelas permanentes.","-47.9199981689453","-25.0100002288818","37574",NA,NA,"Flor amarela.","UEC001886","UEC001886","auto","05",NA,NA,NA,NA,NA
"10","2020-10-14 10:04:16-03","FURB","FURB","19825","PreservedSpecimen","Plantae",NA,"Orchidaceae","Octomeria","rotundiglossa","Octomeria rotundiglossa","Hoehne","Santos, T.F.","2019","Cadorin, T.J.; Grosch, B. & Zimmermann, R.","1323","2010","02","16","Brasil","Santa Catarina","Blumenau","Parque Nacional da Serra do Itajaí - Morro do Spitzkopf.","-49.1180556","-27.0069444",NA,"249","249","Epífita IFFSC e8001b (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita; flor amarela","FURB02823","FURB02823",NA,"08",NA,"-49.1180556","-27.0069444","28",NA
"11","2019-08-16 08:40:26-03","UTFPR","HCF","15925","S","Plantae",NA,"Orchidaceae","Octomeria","rotundiglossa","Octomeria rotundiglossa","Hoehne","W. Foster","2008","E. Barboza","49","1997","01","14","Brasil","SC","Garuva","Fazenda Rio do Meio","-48.8549995422363","-26.0266990661621","22441",NA,NA,"epífita, flor creme alaranjada; interior da mata.",NA,NA,"auto",NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:38:39-03","MBM","MBM","50035","PreservedSpecimen","Plantae",NA,"Orchidaceae","Octomeria","rotundiglossa","Octomeria rotundiglossa","Hoehne","Pabst, G.",NA,"Hatschbach, G.","11724","1964","10","17","Brazil","Paraná","Guaratuba","Pedra Branca de Araraquara","-48.5746994018555","-25.8827991485596","41937",NA,NA,NA,"MBM050035",NA,"auto",NA,"Southern America",NA,NA,NA,NA
"13","2020-12-21 16:38:39-03","MBM","MBM","411203","PreservedSpecimen","Plantae",NA,"Orchidaceae","Octomeria","rotundiglossa","Octomeria rotundiglossa","Hoehne","Santos, T.F.","2018","Santos, T.F.","105","2015","08","11","Brazil","Paraná","Paranaguá","Floresta Estadual do Palmito","-48.5092010498047","-25.5200004577637","24916",NA,NA,"Epífita. Flores amarelo escuro.; Próxima ao mangue.","MBM411203","MBM411203","auto","08","Southern America",NA,NA,"21",NA
"14","2020-12-21 16:38:39-03","MBM","MBM","411201","PreservedSpecimen","Plantae",NA,"Orchidaceae","Octomeria","rotundiglossa","Octomeria rotundiglossa","Hoehne","Santos, T.F.","2018","Santos, T.F.","81","2015","04","10","Brazil","Paraná","Paranaguá","Floresta Estadual do Palmito","-48.5092010498047","-25.5200004577637","24916",NA,NA,"Epífita, flores singulares alaranjadas.; Em restinga.","MBM411201","MBM411201","auto","08","Southern America",NA,NA,"21",NA
