"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","class","monthIdentified","dayIdentified","typeStatus","eventTime","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","448534","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","taguahyensis","Cordia taguahyensis","Vell.","N. Laroda","H. S. Irwin","31236a","1971","02","28","South America","Brazil","Bahia","Souto Soares","Serra da Agua de Rega. Ca. 1 km N of Agua de Rega, road to Cafarnaum","-41.6378","-12.0886","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617429' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448534","NY00448534_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","448557","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","taguahyensis","Cordia taguahyensis","Vell.","J. A. Kallunki","J. R. Pirani","2764","1993","11","10","South America","Brazil","Espírito Santo","Linhares","Estrada para Barro Novo, a 11 km de Linhares BR 101. Na entrada da Fazenda Gravatá","-40.0719","-19.3911",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617454' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448557","NY00448557_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","448584","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","taguahyensis","Cordia taguahyensis","Vell.","J. S. Miller","J. G. Jardim","369","1994","03","18","South America","Brazil","Bahia","Ilhéus","Fazenda situada W da sede do CEPEC. Plantaçao de cacau. CABRUCA","-39.0492","-14.7892",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=74616' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448584","NY00448584_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","448539","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","taguahyensis","Cordia taguahyensis","Vell.","N. Laroda","R. P. Belém","3384","1967","03","08","South America","Brazil","Bahia","Jitaúna","Jitaúna. Saída para Jequié","-39.8889","-14.0192",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617432' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448539","NY00448539_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","298164","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","taguahyensis","Cordia taguahyensis","Vell.","J. A. Kallunki","W. W. Thomas","11441","1997","04","04","South America","Brazil","Bahia","Almadina","5.3 km. from Almadina on road to Ibatupã, then left 7.9 km. on road to Serra dos Sete Paus.","-39.6992","-14.7364","500","650","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617462' target='other'> <mi>dwc_moreinfo</mi></a>","NY00298164","NY00298164_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2425674","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","taguahyensis","Cordia taguahyensis","Vell.","O. Kosovsky","G. E. L. de Macedo","2119","2011","02","19","South America","Brazil","Bahia","Jequié","Barragem de Pedra na estrada. Entrando pela BR 330 a 15Km da BR 116, entrando pelo Posto Sta. Rita, segue em direção Barragem.","-40.3206","-13.8233",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2481625' target='other'> <mi>dwc_moreinfo</mi></a>","NY02425674","NY02425674_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","448533","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","taguahyensis","Cordia taguahyensis","Vell.","J. A. Kallunki","A. M. Amorim","1978","1996","05","07","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Coletas efetuadas no ramal que leva a Fazenda da Jaqueiral, Conj. Esperança a ca. 10 km a partir da entrada do ramal","-39.08","-15.15",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617455' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448533","NY00448533_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","448553","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","taguahyensis","Cordia taguahyensis","Vell.","N. Laroda","Martii Herbar. Florae Brasil.","462","1841",NA,NA,"South America","Brazil","Rio de Janeiro","Rio de Janeiro","In [sp?] gabia prope Rio Janeiro","-43.2075","-22.9031",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617440' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448553","NY00448553_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","482688","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","taguahyensis","Cordia taguahyensis","Vell.","J. A. Kallunki","D. C. Daly","365","1980","09","29","South America","Brazil","Maranhão","Codó","Km 447-km 430 of BR 316, Codó to Peritoró.","-44","-4.57",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617450' target='other'> <mi>dwc_moreinfo</mi></a>","NY00482688","NY00482688_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1019465","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","taguahyensis","Cordia taguahyensis","Vell.",NA,"S. de V. A. Pessôa","661","1993","03","05","South America","Brazil","Rio de Janeiro","Silva Jardim","Reserva Biológica de Poço das Antas. Trilha para a Pelonha, entrada em frente a trilha Morro do Calcario.","-42.3917","-22.6508",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1282808' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019465","NY01019465_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","448586","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","taguahyensis","Cordia taguahyensis","Vell.","J. A. Kallunki","W. W. Thomas","9822","1993","05","10","South America","Brazil","Bahia","Ilhéus","2 km west of junction road to Vila Brasil and road from Ilhéus to Una (BA 001); the junction ca 40 km south of Ilhéus just north of Rio Acuipe","-39","-15.1",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617428' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448586","NY00448586_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","448555","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","taguahyensis","Cordia taguahyensis","Vell.","N. Laroda","B. J. Pickel","2157","1931","12","18","South America","Brazil","Pernambuco",NA,"Tapera","-35.18","-8.12",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617442' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448555","NY00448555_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","448540","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","taguahyensis","Cordia taguahyensis","Vell.","J. A. Kallunki","H. M. Curran","A1919",NA,NA,NA,"South America","Brazil","Bahia",NA,"Rio Gongogy",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617446' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448540","NY00448540_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","415631","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","taguahyensis","Cordia taguahyensis","Vell.","J. A. Kallunki","W. W. Thomas","12007","1999","02","05","South America","Brazil","Bahia","Porto Seguro","Parque Nacional Monte Pascoal, along road from entrance to visitor's center and road to E side of park.","-39.415","-16.86722222","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617464' target='other'> <mi>dwc_moreinfo</mi></a>","NY00415631","NY00415631_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","448567","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","taguahyensis","Cordia taguahyensis","Vell.",NA,"L. Riedel","119","1824",NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617471' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448567","NY00448567_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00858109","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","taguahyensis","Cordia taguahyensis","Vell.","S. R. Hill","H. S. Irwin","21076","1968","03","12","South America","Brazil","Tocantins","Araguaína","Ca. 2 km S. of Araguaína.","-48.2","-7.21813","300","300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=952477' target='other'> <mi>dwc_moreinfo</mi></a>","NY00858109","NY00858109_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","632183","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","taguahyensis","Cordia taguahyensis","Vell.","D. C. Zappi","W. Ganev","1750","1992","12","26","South America","Brazil","Bahia","Abaíra","Engenho de Baixo, próximo ao Brejo, Beira do rio do Ribeirao","-41.8","-13.3","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617425' target='other'> <mi>dwc_moreinfo</mi></a>","NY00632183","NY00632183_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","448570","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","taguahyensis","Cordia taguahyensis","Vell.","J. A. Kallunki","J. R. Pirani","3389","1994","12","05","South America","Brazil","Espírito Santo","Marilândia","Remanescente de floresta pluvial tropical na zona urbana de Marilândia, na propriedade do Sr. Euclides Canal e família","-40.5417","-19.4131",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617460' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448570","NY00448570_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","448569","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","taguahyensis","Cordia taguahyensis","Vell.","J. A. Kallunki","L. A. Mattos Silva","229","1979","02","14","South America","Brazil","Bahia","Maracás","Rod. Maracás/Contendas do Sincorá (BA 026), km 2. Folha SD 24 (14-40a)","-40.4306","-13.4411",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617448' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448569","NY00448569_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","448548","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","taguahyensis","Cordia taguahyensis","Vell.","N. Laroda","A. F. Regnell","149",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617436' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448548","NY00448548_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","448560","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","taguahyensis","Cordia taguahyensis","Vell.",NA,"L. Riedel","s.n.","1821","06",NA,"South America","Brazil","Bahia","Ilhéus","Pr. Ilhéus","-39.0492","-14.7892",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=617470' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448560","NY00448560_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
