"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","recordNumber","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","fieldNumber","preparationType","identifiedBy","verbatimLongitude","verbatimLatitude","individualCount","yearIdentified","monthIdentified"
"1","2020-02-08 10:09:44-03","NBC","NL-BOTANY","U.1743600","PreservedSpecimen","Plantae","Magnoliopsidae","Pandanales","Triuridaceae","Sciaphila","schwackeana","Sciaphila schwackeana","Johow","Brade AC","1942","08","04","Southern America","Brazil","Rio de Janeiro Picodo Tijnca.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1743600 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1743600","NL-U1743600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:09:44-03","NBC","NL-BOTANY","U.1743601","PreservedSpecimen","Plantae","Magnoliopsidae","Pandanales","Triuridaceae","Sciaphila","schwackeana","Sciaphila schwackeana","Johow","Schwacke CAW","1887","07","10","Southern America","Brazil","Prov. Rio de Janeiro. Morro da Nova Cintria, (cum Geajicau)!","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1743601 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1743601","NL-U1743601",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 10:09:44-03","NBC","NL-BOTANY","U.1743602","PreservedSpecimen","Plantae","Magnoliopsidae","Pandanales","Triuridaceae","Sciaphila","schwackeana","Sciaphila schwackeana","Johow","Ule EHG","1894","10","01","Southern America","Brazil","Prov. Tijuca, Rio de Janeiro. No mato.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1743602 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1743602","NL-U1743602",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-01-14 15:33:41-03","MN","R","4468","PreservedSpecimen","Plantae",NA,NA,"Triuridaceae","Sciaphila","schwackeana","Sciaphila schwackeana","Johow","Ule, E.H.G.","1894","10",NA,NA,"Brasil",NA,NA,"R010067529","R010067529","886","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-01-14 15:33:41-03","MN","R","194917","PreservedSpecimen","Plantae",NA,NA,"Triuridaceae","Sciaphila","schwackeana","Sciaphila schwackeana","Johow","Ule, E.H.G.",NA,NA,NA,NA,"Brasil",NA,NA,"R010067528","R010067528",NA,"Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-09-03 19:16:40-03","MNHN","RECOLNAT_MNHN_P","P02085304","PreservedSpecimen",NA,NA,NA,"Triuridaceae","Sciaphila","schwackeana","Sciaphila schwackeana","Johow","Glaziou, A.",NA,NA,NA,NA,"Brasil",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02085304' target='other'> <mi>dwc_moreinfo</mi></a>","P02085304","P02085304_01",NA,NA,NA,NA,NA,NA,NA,"17957","hb",NA,NA,NA,NA,NA,NA
"7","2015-09-03 19:16:40-03","MNHN","RECOLNAT_MNHN_P","P02085303","PreservedSpecimen",NA,NA,NA,"Triuridaceae","Sciaphila","schwackeana","Sciaphila schwackeana","Johow","Glaziou, A.",NA,NA,NA,NA,"Brasil","Corcovado.","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02085303' target='other'> <mi>dwc_moreinfo</mi></a>","P02085303","P02085303_01",NA,"Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto",NA,"hb",NA,NA,NA,NA,NA,NA
"8","2020-07-10 09:49:36-03","MBML","MBML-HERBARIO","4210",NA,"Plantae",NA,NA,"Triuridaceae","Sciaphila","schwackeana","Sciaphila schwackeana","Johow","W. Pizziolo","1985","12","13",NA,"Brasil","Vale do Canaã","Erva áfila com coloração vermelho vináceo, flores cor de vinho com parte central amarela (anteras ?) fruticolos na base da inflorescência vermelhos vináceo, ciófila, mata sobre serrapilehira à margem de um riacho.","MBML004210",NA,"253","Espírito Santo","Santa Teresa","-40.601944","-19.906111",NA,NA,NA,NA,"P. J. M. Maas/Fev.1999","40W36'7","19S54'22",NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","936766","PreservedSpecimen","Plantae","Monocotyledonae","Triuridales","Triuridaceae","Sciaphila","schwackeana","Sciaphila schwackeana",NA,"E. H. Ule","1887","10",NA,"South America","Brazil","Itajahy",NA,"US00586203","US00586203_01","s.n.","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"10","2020-09-12 05:00:02-03","US","US","936765","PreservedSpecimen","Plantae","Monocotyledonae","Triuridales","Triuridaceae","Sciaphila","schwackeana","Sciaphila schwackeana",NA,"E. H. Ule","1887","7",NA,"South America - Neotropics","Brazil",NA,NA,"US00057402","US00057402_01","886","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"11","2017-09-11 17:14:09-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Triuridaceae","Sciaphila","schwackeana","Sciaphila schwackeana","Johow","Ule, EHG",NA,NA,NA,"Southern America","Brazil","Habitat in prov. Rio de Janeiro in Morro da Nova Cintra prope metropolin","floret Julio",NA,NA,"886",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-11-21 10:19:38-03","IBt","SP","246577","S","Plantae",NA,NA,"Triuridaceae","Sciaphila","schwackeana","Sciaphila schwackeana","Johow","Catharino, ELM; et al.","1990","04","25",NA,"Brasil","Estação Ecológica Juréia-Itatins, Proximidades do maciço da Juréia, caminho do Imperador","Erva crescendp em material decomposto sobre rochas úmidas caule, brácteas e perianto avermelhados, ovário arroxeado","SP045044","SP045044","1391","São Paulo","Iguape","-47.5499992370605","-24.7000007629395","55628","auto",NA,NA,"Maas, PJM",NA,NA,NA,"1992",NA
"13","2019-11-21 10:19:38-03","IBt","SP","253113","S","Plantae",NA,NA,"Triuridaceae","Sciaphila","schwackeana","Sciaphila schwackeana","Johow","Kameyama, C; et al.","1991","10","12",NA,"Brasil","Estação Ecológica Juréia-Itatins, Trilha para o alto do morro","Planta totalmente púrpura, crescendo em matéria orgânica em decomposição, interior de mata de encosta","SP045045","SP045045","3","São Paulo","Iguape","-47.5499992370605","-24.7000007629395","55628","auto",NA,NA,"Maas, PJM",NA,NA,NA,"1992",NA
"14","2019-11-21 10:19:38-03","IBt","SP","24245","S","Plantae",NA,NA,"Triuridaceae","Sciaphila","schwackeana","Sciaphila schwackeana","Johow","Hoehne, FC","1929","09","19",NA,"Brasil","Serra de Iguape",NA,"SP045047","SP045047","s.n.","São Paulo","Iguape","-47.5499992370605","-24.7000007629395","55628","auto",NA,NA,"Maas, PJM",NA,NA,NA,"1977",NA
"15","2019-11-21 10:19:38-03","IBt","SP","343993","S","Plantae",NA,NA,"Triuridaceae","Sciaphila","schwackeana","Sciaphila schwackeana","Johow","Oliveira, RJ; Oliveira, RA","1997","01","20",NA,"Brasil","Estação Ecológica Juréia-Itatins, Núcleo Arpoador-Guarazuzinho, floresta atlântica de encosta","Herbácea saprófita vinácea, com flores e frutos também vináceos, coletada no interior da floresta atlântica de encosta, no Morro do Fernando","SP045043","SP045043","20","São Paulo","Peruíbe","-46.9900016784668","-24.3199996948242","21922","auto",NA,NA,"Cordeiro, I",NA,NA,NA,"2003","01"
"16","2019-11-21 10:19:38-03","IBt","SP","345413","S","Plantae",NA,NA,"Triuridaceae","Sciaphila","schwackeana","Sciaphila schwackeana","Johow","Cordeiro, I; et al.","2000","01","24",NA,"Brasil","Estação Ecológica Juréia-Itatins, Núcleo Guarau, Mata Ombrófila densa de encosta, trilha do Fundão","Erva sapródita, crescendo sobre o folheto, planta toda vinácea, flores com anteras alvas, frutos vináceos","SP045046","SP045046","1982","São Paulo","Peruíbe","-46.9900016784668","-24.3199996948242","21922","auto",NA,NA,"Cordeiro, I",NA,NA,NA,"2003","01"
