"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","class","order","recordNumber","locality","coordinatePrecision","occurrenceRemarks","geoFlag","continentOcean","preparationType","typeStatus","fieldNumber","individualCount","sex"
"1","2021-04-05 14:33:50-03","UNESC","CRI","4898","PreservedSpecimen","Plantae","Orchidaceae","Malaxis","parthonii","Malaxis parthonii","C.Morren","Jorge Waechter","1996","08","09","Vanilde Citadini-Zanette","1995","01","16","Brasil","Santa Catarina","Meleiro","-49.588889","-28.856389","49º35'20''W","28º51'23''S","20","20","CRI005831","CRI005831",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:50-03","UNESC","CRI","4898","PreservedSpecimen","Plantae","Orchidaceae","Malaxis","parthonii","Malaxis parthonii","C.Morren","Jorge Waechter","1996","08","09","Vanilde Citadini-Zanette","1995","01","16","Brasil","Santa Catarina","Meleiro","-49.588889","-28.856389","49º35'20''W","28º51'23''S","20","20","CRI005831","CRI005831",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","3282","S","Plantae","Orchidaceae","Malaxis","cf. parthonii","Malaxis cf. parthonii","C.Morren.","Carlos A. Ferreira Jr.","2014","01","08","Carlos Alberto F. Jr.;","2014","01","08","Brasil","Minas Gerais","Caeté","-43.6697006225586","-19.8799991607666",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Equisetopsida","Asparagales","CAF1345","Serra da Piedade, área da capela de São Cristovão.","22051","254","auto",NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","3282","S","Plantae","Orchidaceae","Malaxis","cf. parthonii","Malaxis cf. parthonii","C.Morren.","Carlos A. Ferreira Jr.","2014","01","08","Carlos Alberto F. Jr.;","2014","01","08","Brasil","Minas Gerais","Caeté","-43.6697006225586","-19.8799991607666",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Equisetopsida","Asparagales","CAF1345","Serra da Piedade, área da capela de São Cristovão.","22051","254","auto",NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1032132","PreservedSpecimen","Plantae","Orchidaceae","Malaxis","parthonii","Malaxis parthonii","C.Morren","E. A. Christenson",NA,NA,NA,"A. Puttemans","1896","07",NA,"Brazil","São Paulo",NA,NA,NA,NA,NA,NA,NA,"NY01032132","NY01032132_01","Magnoliophyta",NA,"Asparagales","29242","Serra da Cantareira",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190586' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","4103320","PreservedSpecimen","Plantae","Orchidaceae","Malaxis","parthonii","Malaxis parthonii","C.Morren",NA,NA,NA,NA,"H. H. Smith","1898",NA,NA,"Colombia","Magdalena","Santa Marta",NA,NA,NA,NA,"1676",NA,"NY04103320","NY04103320_01","Magnoliophyta",NA,"Asparagales","2842","Sierra del Libano",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4423361' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","04103317","PreservedSpecimen","Plantae","Orchidaceae","Malaxis","parthonii","Malaxis parthonii","C.Morren",NA,NA,NA,NA,"W. H. Camp","1944","11","17","Ecuador",NA,NA,"-78","-2.67",NA,NA,NA,NA,"NY04103317","NY04103317_01","Magnoliophyta",NA,"Asparagales","E1320","Santiago-Zamora: Cordillera Cutucú. Ridge just north and west of rio Itzintza",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4423358' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","4103321","PreservedSpecimen","Plantae","Orchidaceae","Malaxis","parthonii","Malaxis parthonii","C.Morren",NA,NA,NA,NA,"H. H. Smith","1898",NA,NA,"Colombia","Magdalena","Santa Marta",NA,NA,NA,NA,"762",NA,"NY04103321","NY04103321_01","Magnoliophyta",NA,"Asparagales","2495","near Jira Oasaca",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4423362' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","4103319","PreservedSpecimen","Plantae","Orchidaceae","Malaxis","parthonii","Malaxis parthonii","C.Morren",NA,NA,NA,NA,"H. H. Smith","1898",NA,NA,"Colombia","Magdalena","Santa Marta",NA,NA,NA,NA,"1067",NA,"NY04103319","NY04103319_01","Magnoliophyta",NA,"Asparagales","2501","Lao Partido",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4423360' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1032134","PreservedSpecimen","Plantae","Orchidaceae","Malaxis","parthonii","Malaxis parthonii","C.Morren","O. Ames",NA,NA,NA,"R. Reiss","1934","05","28","Brazil","Paraná",NA,"-50.488585","-24.686032",NA,NA,NA,NA,"NY01032134","NY01032134_01","Magnoliophyta",NA,"Asparagales","48","Tibagy",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190590' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","1032133","PreservedSpecimen","Plantae","Orchidaceae","Malaxis","parthonii","Malaxis parthonii","C.Morren","E. A. Christenson",NA,NA,NA,"P. K. H. Dusén","1909","02","03","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,"NY01032133","NY01032133_01","Magnoliophyta",NA,"Asparagales","7668","Capão Grande",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190588' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet",NA,NA,NA,NA
