"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","barcode","geoFlag","yearIdentified","monthIdentified","dayIdentified","scientificNameAuthorship","typeStatus","continentOcean","occurrenceRemarks","imagecode","minimumElevationInMeters","maximumElevationInMeters","order","class","individualCount","relatedCatalogItem"
"1","2020-11-04 11:19:03-03","ESALQ","ESA","118733","PreservedSpecimen","Plantae","Magnoliophyta","Rubiaceae","Simira","hatschbachiorum","Simira hatschbachiorum","Zappi, D.C.","Bausen, E.","96.0","1998","07","01","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.6002998352051","-19.9356002807617","-40,530,278","-19,971,389","23813","ESA118733","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:19:03-03","ESALQ","ESA","118754","PreservedSpecimen","Plantae","Magnoliophyta","Rubiaceae","Simira","hatschbachiorum","Simira hatschbachiorum","Zappi, D.C. & Fernandes, H.Q.B.","Demuner, V.","186.0","1999","10","01","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.6002998352051","-19.9356002807617","-40,530,278","-19,971,389","23813","ESA118754","auto","1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:19:03-03","ESALQ","ESA","118731","PreservedSpecimen","Plantae","Magnoliophyta","Rubiaceae","Simira","hatschbachiorum","Simira hatschbachiorum","Demuner, V.","Kollmann, L.","4518.0","2001","09","01","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.6002998352051","-19.9356002807617","-40,530,278","-19,971,389","23813","ESA118731","auto","2002","10","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:19:03-03","ESALQ","ESA","118738","PreservedSpecimen","Plantae","Magnoliophyta","Rubiaceae","Simira","hatschbachiorum","Simira hatschbachiorum","Fernandes, H.Q.B. & Demuner, V.","Kollmann, L.","2091.0","1999","03","01","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.6002998352051","-19.9356002807617","-40,530,278","-19,971,389","23813","ESA118738","auto","1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-11-21 14:44:40-03","UFJF","CESJ","33936","PreservedSpecimen","Plantae","Angiosperma","Rubiaceae","Simira","hatschbachiorum","Simira hatschbachiorum",NA,"G. Hatschbach; M. Hatschbach; J.M. Silva","61698","1995","01","17","Brasil","Espírito Santo","Domingos Martins","Rod. BR-262, próximo a Vitor Hugo., Rio Jucu Braço Sul. Alt.:700m.","-40.6591987609863","-20.3633003234863",NA,NA,"48150","CESJ033936","auto",NA,NA,NA,"J.H.Kirkbride","Isotypus","América do Sul","Arvoreta, 5m, flor alva, pétalas ionternas verdes com larga borda alva; estames alvos. Mata pluvial.&nf;ISOTYPUS","CESJ033936",NA,NA,NA,NA,NA,NA
"6","2021-02-12 18:12:30-03","UFES","VIES","41267","S","Plantae",NA,"Rubiaceae","Simira","hatschbachiorum","Simira hatschbachiorum",NA,"Gurtler, J.; Dutra, S.C.","JAC 540","2018","02","27","Brasil","Espírito Santo","Nova Venécia","Fazenda Santa Rita. Ao pé da pedra da torre (P8).","-40.439722","-18.781111","40º26'23''W","18º46'52''S",NA,"VIES041267",NA,NA,NA,NA,"J.H.Kirkbr.",NA,NA,NA,"VIES041267",NA,NA,NA,NA,NA,NA
"7","2019-06-27 10:26:40-03","UFES","VIES","24784","S","Plantae",NA,"Rubiaceae","Simira","hatschbachiorum","Simira hatschbachiorum",NA,"Hatschbach, G.; Hatschbach, M.; Silva, J.M.","61698","1995","01","17","Brasil","Espírito Santo","Domingos Martins","Rodovia BR-262, próximo a Vitor Hugo, Rio Jucu braço Sul.","-40.6591987609863","-20.3633003234863",NA,NA,"48150","VIES024784","auto",NA,NA,NA,"J.H.Kirkbr.","Isotipo",NA,NA,"VIES024784","700","700",NA,NA,NA,NA
"8","2020-12-21 16:43:59-03","MBM","MBM","172102","PreservedSpecimen","Plantae",NA,"Rubiaceae","Simira","hatschbachiorum","Simira hatschbachiorum","Kirkbride, J.H.","Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","61698A","1995","01","17","Brazil","Espírito Santo","Domingos Martins","Rodovia BR 262, próximo a Vitor Hugo, Rio Jucu Braço Sul","-40.6591987609863","-20.3633003234863",NA,NA,"48150","MBM172102","auto",NA,NA,NA,"J.H.Kirkbr.","HOLOTYPE","Southern America","Arvoreta, 5m, flor alva, pétalas internas verdes com latga borda alva; estames alvos. Mata pluvial; Arvoreta, 5m, flor alva, pétalas internas verdes com larga borda alva; estames alvos.; Mata pluvial.","MBM172102","700","700",NA,NA,NA,NA
"9","2020-12-21 16:43:59-03","MBM","MBM","398304","PreservedSpecimen","Plantae",NA,"Rubiaceae","Simira","hatschbachiorum","Simira hatschbachiorum","Zappi, D.C.","Sucre, D.","10710",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"MBM398304",NA,"2007",NA,NA,"J.H.Kirkbr.",NA,"Southern America",NA,"MBM398304",NA,NA,NA,NA,NA,NA
"10","2020-12-11 11:41:08-03","UFMG","BHCB","181151","PreservedSpecimen","Plantae","Dicotyledon","Rubiaceae","Simira","hatschbachiorum","Simira hatschbachiorum",NA,"Hatschbach, G; Hatschbach, M; Silva, JM","61698","1995","01","17","Brasil","Espírito Santo","Domingos Martins","Rodovia BR 262, Próximo a Vitor Hugo, Rio Jucu braço sul","-40.6591987609863","-20.3633003234863",NA,NA,"48150","BHCB035315","auto",NA,NA,NA,"J.H.Kirkbr.","Isotypus","Southern America","Arvoreta, 5m. Flor alva, pétalas internas verdes com larga borda alva, estames alvos; Mata pluvial","BHCB035315",NA,NA,NA,NA,NA,NA
