"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1017603","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Cucurbitaceae","Ceratosanthes","hilariana","Ceratosanthes hilariana","Cogn.","C. Jeffrey","G. G. Hatschbach","32912","1974","10","20","South America","Brazil","Paraná","Campo Mourão","Aeroporto.","-52.3831","-24.0458","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1217675' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017603","NY01017603_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1017600","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Cucurbitaceae","Ceratosanthes","hilariana","Ceratosanthes hilariana","Cogn.","M. H. Nee","F. C. Hoehne","s.n.","1931","10","06","South America","Brazil","São Paulo","Moji-Mirim","Mogy-Mirim.","-46.96013","-22.425035","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1217650' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017600","NY01017600_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1006558","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Cucurbitaceae","Ceratosanthes","hilariana","Ceratosanthes hilariana","Cogn.","C. Jeffrey","H. S. Irwin","6540","1964","10","01","South America","Brazil","Mato Grosso",NA,"Ca. 1 km. N.E. of Garapú.","-52.57","-13.18","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1114774' target='other'> <mi>dwc_moreinfo</mi></a>","NY01006558","NY01006558_01","300","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1006556","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Cucurbitaceae","Ceratosanthes","hilariana","Ceratosanthes hilariana","Cogn.","E. P. Killip","W. A. Archer","4035","1936","09","19","South America","Brazil","Minas Gerais",NA,"Lavras.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1114769' target='other'> <mi>dwc_moreinfo</mi></a>","NY01006556","NY01006556_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1017599","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Cucurbitaceae","Ceratosanthes","hilariana","Ceratosanthes hilariana","Cogn.","M. H. Nee","J. Semir","s.n.","1977","10","14","South America","Brazil","São Paulo","Santo Antônio de Posse","Fazenda Dna. Amélia.","-46.9097","-22.6003","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1217648' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017599","NY01017599_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1017601","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Cucurbitaceae","Ceratosanthes","hilariana","Ceratosanthes hilariana","Cogn.","D. C. Zappi","J. M. Silva","1031","1991","05","30","South America","Brazil","Paraná","Guarapuava","Colônia São Judas Tadeu.","-51.4581","-25.3956","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1217651' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017601","NY01017601_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1006555","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Cucurbitaceae","Ceratosanthes","hilariana","Ceratosanthes hilariana","Cogn.",NA,"R. M. Harley","10739","1968","10","21","South America","Brazil","Mato Grosso",NA,"R30 c. 2 km. W. of Base Camp.","-51.77","-12.82","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1114764' target='other'> <mi>dwc_moreinfo</mi></a>","NY01006555","NY01006555_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1006557","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Cucurbitaceae","Ceratosanthes","hilariana","Ceratosanthes hilariana","Cogn.","C. Jeffrey","H. S. Irwin","6879","1964","10","15","South America","Brazil","Mato Grosso",NA,"Ca. 50 km. N. of Barra do Garças, on rd. to Xavantina.","-52.22","-15.4","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1114771' target='other'> <mi>dwc_moreinfo</mi></a>","NY01006557","NY01006557_01","300","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1017602","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Cucurbitaceae","Ceratosanthes","hilariana","Ceratosanthes hilariana","Cogn.","C. Jeffrey","R. Goodland","43","1965","09","21","South America","Brazil","São Paulo",NA,"Emas.","-47.370228","-21.932532","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1217673' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017602","NY01017602_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:37:37-03","EAO","IAN","99095","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Cucurbitaceae","Ceratosanthes","hilariana","Ceratosanthes hilariana","Cogn.","Pilger, R","Pickel, BJ","873","1925","03","20","Southern America","Brasil","Pernambuco",NA,"Tapera (S. Bento). Campo seco.",NA,NA,NA,NA,"IAN099095",NA,NA,NA,"1927","07",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-30 12:37:37-03","EAO","IAN","14712","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Cucurbitaceae","Ceratosanthes","hilariana","Ceratosanthes hilariana","Cogn.","Barreto, M","Magalhães, MG","2189","1942","09","25","Southern America","Brasil","Minas Gerais","Belo Horizonte","Local: Horto Floresta. Cerrado mesclado de invasoras.","-43.937801361084","-19.9207992553711",NA,"Pequeno cipó, rastejante. Flor alva.","IAN014712","IAN014712 IAN014712_e",NA,NA,NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-30 12:37:37-03","EAO","IAN","104487","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Cucurbitaceae","Ceratosanthes","hilariana","Ceratosanthes hilariana","Cogn.","Barreto, M","Magalhães, MG","2189","1942","09","25","Southern America","Brasil","Minas Gerais","Belo Horizonte","Local: Horto Floresta. Cerrado mesclado de invasoras.","-43.937801361084","-19.9207992553711",NA,"Pequeno cipó, rastejante. Flor alva.","IAN104487",NA,NA,NA,NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 08:59:17-03","NBC","NL-BOTANY","L.2978696","PreservedSpecimen","Plantae",NA,"Cucurbitales","Cucurbitaceae","Ceratosanthes","hilariana","Ceratosanthes hilariana","Cogn.",NA,"Alleizette AC d'",NA,"1919","12","01","Southern America","Brazil",NA,NA,"Pres de St. Catherina, pre. S. Joaquin.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2978696 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2978696","NL-L2978696",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"14","2021-04-07 11:42:31-03","UFMS","CGMS","41273","PreservedSpecimen","Plantae",NA,NA,"Cucurbitaceae","Ceratosanthes","hilariana","Ceratosanthes hilariana","Cogn.","L.F.P. Lima","F. Chagas e Silva","1206","1986","07","27",NA,"Brasil","Mato Grosso","Poconé","Rodovia Transpantaneira, km 111.","-56.6227989196777","-16.2567005157471",NA,"Botão floral verde. Flores brancas. Doação FUEL.","CGMS1071255",NA,NA,NA,"2010","03","200792","auto",NA,"29",NA,NA,NA,NA,NA
