"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","scientificNameAuthorship","fieldNumber","preparationType","imagecode","identifiedBy","continentOcean","minimumElevationInMeters","class","order","individualCount","typeStatus","yearIdentified","verbatimLongitude","verbatimLatitude","maximumElevationInMeters"
"1","2019-08-20 10:17:36-03","UNICAMP","UEC","88309","S","Plantae","Magnoliopsida","Malpighiaceae","Heteropterys","crinigera","Heteropterys crinigera","Sartori, ALB; Koch, I; Mansano, VF; Sciamarelli, A; Goldenberg, R","290","1986","08","25","Brazil","Bahia","Uruçuca","Serra Grande.","-39.2844009399414","-14.5930995941162","33791","fruto, Liana na beira da floresta. Frutos com alas vermelhas.","UEC066198","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-09-05 07:26:44-03","MNHN","RECOLNAT_MNHN_P","P04769717","PreservedSpecimen",NA,NA,"Malpighiaceae","Heteropterys","crinigera","Heteropterys crinigera","Glaziou",NA,"1869","12","4","Brasil","Rio de Janeiro",NA,"Laranjeiras.",NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04769717' target='other'> <mi>dwc_moreinfo</mi></a>","P04769717",NA,"Griseb.","3885","hb","P04769717_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-09-05 07:26:44-03","MNHN","RECOLNAT_MNHN_P","P04769716","PreservedSpecimen",NA,NA,"Malpighiaceae","Heteropterys","crinigera","Heteropterys crinigera","Riedel",NA,"1832","7","1","Brasil","Rio de Janeiro","Rio de Janeiro","Corcovado.","-43.2075004577637","-22.9027996063232","57442","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04769716' target='other'> <mi>dwc_moreinfo</mi></a>","P04769716","auto","Griseb.","1181","hb","P04769716_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2013-08-23 04:12:00-03","MO","MOBOT","3165953","PreservedSpecimen","Plantae",NA,"Malpighiaceae","Heteropterys","crinigera","Heteropterys crinigera","André M. Amorim","Amorim 2438","1998","5","10","Brazil","Bahia",NA,"Municipio de Santa Luzia/Una, entrada a 11,3km a E da Sede do municipio Serra da Onça, ca. 4,5km da estrada Mata Higrófila sul Baiana.",NA,NA,NA,NA,NA,NA,"Griseb.",NA,NA,NA,"A.M. Amorim","South America","510.00000000",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-07-10 09:47:08-03","MBML","MBML-HERBARIO","22295",NA,"Plantae",NA,"Malpighiaceae","Heteropterys","crinigera","Heteropterys crinigera","A. M. Amorim; et al","3085","1999","07","01","Brasil","São Paulo",NA,"Parque Estadual da Serra do Mar",NA,NA,NA,"Escandente a ca. 3m alt, comum sob vegetação arborescente entre os campos. Folhas discolores, a face superior verde-escura e a inferior com indumento ferrugíneo, principalmente ao nível das nervuras e pecíolo. Frutos recentemente dispe","MBML022295",NA,"Griseb.",NA,NA,"MBML022295","André M. Amorim/1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","703513","PreservedSpecimen","Plantae",NA,"Malpighiaceae","Heteropterys","crinigera","Heteropterys crinigera","L. Riedel","1181","1832","12",NA,"Brazil","Rio de Janeiro",NA,"Corcovado",NA,NA,NA,NA,"US01871230",NA,"Griseb.",NA,NA,"US01871230_01 US01871230_02",NA,"South America - Neotropics",NA,"Dicotyledonae","Polygalales","1",NA,NA,NA,NA,NA
"7","2020-09-12 05:00:02-03","US","US","3595560","PreservedSpecimen","Plantae",NA,"Malpighiaceae","Heteropterys","crinigera","Heteropterys crinigera","A. M. Carvalho, W. W. Thomas & T. S. Santos","3393","1991","7","1","Brazil","Uruçuca",NA,"Distrito de Serra Grande. 7,3 km na estrada Serra Grande/Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz","-39.02","-14.42",NA,NA,"US01871229",NA,"Griseb.",NA,NA,"US01871229_01 US01871229_02",NA,"South America - Neotropics",NA,"Dicotyledonae","Polygalales","1",NA,NA,NA,NA,NA
"8","2019-09-04 20:02:56-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Malpighiaceae","Heteropterys","crinigera","Heteropterys crinigera","A. Glaziou","4767",NA,NA,NA,"Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,"Dicotyledoneae",NA,NA,"Type [status unknown]",NA,NA,NA,NA
"9","2019-06-11 13:45:06-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Malpighiaceae","Heteropterys","crinigera","Heteropterys crinigera","A. Glaziou","4767",NA,NA,NA,"Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,"4767",NA,NA,"RRC ID Flag","South America",NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA
"10","2019-11-21 10:08:50-03","IBt","SP","366591","S","Plantae",NA,"Malpighiaceae","Heteropterys","crinigera","Heteropterys crinigera","Quinet, A; et al.","90","1998","10","21","Brasil","Rio de Janeiro","Duque de Caxias","Reserva da Petrobrás, trilha em direção ao morro","-43.266667","-22.55",NA,NA,"SP018306",NA,"Griseb.",NA,NA,"SP018306","Amorim, AM",NA,NA,NA,NA,NA,NA,"2003","-43.266667","-22.55",NA
