"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","phylum","order","typeStatus","locality","imagecode","scientificNameAuthorship","identifiedBy","stateProvince","decimalLongitude","decimalLatitude","infraspecificEpithet","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:41:47-03","E","E","305269","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","sessiliflora","Campomanesia sessiliflora","Jaques, E.L., Ribeiro, J.F. & Fonseca Filho, J.","1996","11","08","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:311554","<a href=http://data.rbge.org.uk/herb/E00305269 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00305269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:47-03","E","E","202810","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","sessiliflora","Campomanesia sessiliflora","Simon, M.F.; Lima, J.C.M.; Eiten, G.; de Carvalho, A.M.","1999","02","19","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:217235","<a href=http://data.rbge.org.uk/herb/E00202810 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202810","235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-27 07:38:00-03","NY","NYBG","386787","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","apaensis","Campomanesia apaensis","E. Hassler","1901","11",NA,"South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=506291' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386787","7828","Magnoliophyta","Myrtales","type","In regione cursus superioris fluminis Apa","NY00386787_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","386793","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","igatimiensis","Campomanesia igatimiensis","E. Hassler","1900","09",NA,"South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=756326' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386793","4748","Magnoliophyta","Myrtales","isotype","Iter ad Yerbales, Montium Sierra de Maracayu; in regione vicine Igatimi","NY00386793_01","Barb.Rodr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","386794","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","mollicarpa","Campomanesia mollicarpa","E. Hassler",NA,NA,NA,"South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=752655' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386794","7737","Magnoliophyta","Myrtales","isotype",NA,"NY00386794_01","Barb.Rodr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-27 07:38:00-03","NY","NYBG","386796","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","nitidifolia","Campomanesia nitidifolia","E. Hassler","1900","09",NA,"South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=14783' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386796","4684","Magnoliophyta","Myrtales","isotype","Iter ad Yerbales montium Sierra de Maracayu; In regione vicine Igatimí","NY00386796_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01067381","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","sessiliflora","Campomanesia sessiliflora","J. A. Ratter","1989","11","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1211133' target='other'> <mi>dwc_moreinfo</mi></a>","NY01067381","R6388","Magnoliophyta","Myrtales",NA,"Serra de Itapiraçaba, c. 12 km from Januária on the Pandeiros Road","NY01067381_01","(O.Berg) Mattos","L. R. Landrum","Minas Gerais","-44.37","-15.48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2017-01-12 11:08:00-02","NY","NYBG","00907116","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","sessiliflora","Campomanesia sessiliflora lanuginosa","E. P. Heringer","1962","01","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=984319' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907116","8816","Magnoliophyta","Myrtales",NA,"Horto do Guará","NY00907116_01","(Barb.Rodr. ex Chodat & Hassl.) Landrum","L. R. Landrum","Distrito Federal","-47.9294","-15.7797","lanuginosa","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","579662","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","sessiliflora","Campomanesia sessiliflora","H. de F. Leitão Filho","1979","11","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=415289' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579662","10614","Magnoliophyta","Myrtales",NA,"Rodovia para Montes-Verdes.","NY00579662_01","(O.Berg) Mattos","L. R. Landrum","São Paulo","-46.27","-22.9303",NA,"Joanópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00907137","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia","sessiliflora","Campomanesia sessiliflora lanuginosa","D. Correas","1953","11",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=984354' target='other'> <mi>dwc_moreinfo</mi></a>","NY00907137","s.n.","Magnoliophyta","Myrtales",NA,"Aquidauna","NY00907137_01","(Barb.Rodr. ex Chodat & Hassl.) Landrum","L. R. Landrum","Mato Grosso do Sul","-55.7869","-20.4711","lanuginosa","Aquidauana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
