"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-04-05 14:33:29-03","UNESC","CRI","2858","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch","L. B. Smith","R. Reitz","1963","02","04","Brasil","Santa Catarina","Lages","Morro do Pinheiro Seco.","-50.326389","-27.816389","50º19'35''W","27º48'59''S","918","918","Habito: erva","CRI002395","CRI002395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","4045074","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch",NA,"M. H. Nee","1997","12","21","Bolivia","Santa Cruz","Ignacio Warnes","3 km NNW of La Esperanza and 1.3 km SE of junction with Montero-Okinawa highway.","-63.05","-17.27",NA,NA,"270","270","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4386764' target='other'> <mi>dwc_moreinfo</mi></a>","NY04045074",NA,"Magnoliophyta","Malpighiales","47424","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","504198","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch","P. E. Berry","R. Reitz","1963","02","04","Brazil","Santa Catarina","Lages","Morro do Pinheiro Seco, Lajes","-50.3258","-27.8161",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489344' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504198",NA,"Magnoliophyta","Malpighiales","6583","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","504217","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch","P. E. Berry","M. H. Nee","1998","01","11","Bolivia","Santa Cruz","Ignacio Warnes","3 km S of highway from Puerto Nuevo to Colonia Okinawa No. 1, 8 km (by air) ESE of Colonia Okinawa No. 1","-62.83","-17.23",NA,NA,"250","250","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489323' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504217",NA,"Magnoliophyta","Malpighiales","47913","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","870453","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch","P. E. Berry","A. C. Allem","1977","11","19","Brazil","Mato Grosso",NA,"Faz. Firme- Dist. Nhecolândia-Corumbá",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106853' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870453","NY00870453_01","Magnoliophyta","Malpighiales","1354","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","870452","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch","P. E. Berry","A. C. Allem","1977","11","19","Brazil","Mato Grosso",NA,"Faz. Firme- Dist. Nhecolândia-Corumbá",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106849' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870452","NY00870452_01","Magnoliophyta","Malpighiales","1354","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02707179","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch",NA,"A. Amorim","2009","04","09","Brazil","Espírito Santo","Castelo","Entorno do alojamento em fragmentos de floresta ombrófila densa. Floresta Ombrófila Densa Montana. Parque Estadual do Forno Grande","-41.075","-20.519444",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2990916' target='other'> <mi>dwc_moreinfo</mi></a>","NY02707179","NY02707179_01","Magnoliophyta","Malpighiales","7798","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","504208","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch","P. E. Berry","L. B. Smith","1957","01","02","Brazil","Santa Catarina","Mondaí","Floodbanks of Rio Uruguaní. Mondaí","-53.4017","-27.1031",NA,NA,"200","300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489325' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504208",NA,"Magnoliophyta","Malpighiales","9734","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","629680","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch","P. E. Berry","M. Kuhlmann","1956","10","26","Brazil","São Paulo","Moji-Guaçu","Moji-Guaçu, Fazenda Campininha, próximo de Padua Sales",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489346' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629680",NA,"Magnoliophyta","Malpighiales","3700","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","504218","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch","P. E. Berry","L. Mroginski","1972","04","09","Argentina","Corrientes","General Paz","12 km E de Itá Ibaté, costa río Paraná",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489358' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504218",NA,"Magnoliophyta","Malpighiales","635","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","870440","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch","P. E. Berry","D. C. Daly","1980","09","28","Brazil","Maranhão","São Mateus do Maranhão","Near Km 150-165 of Br 135. Approx. 15-30 km N of São Mateus.","-44.53","-3.77",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106753' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870440","NY00870440_01","Magnoliophyta","Malpighiales","338","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
