"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","fieldNumber","class","individualCount","typeStatus","relatedCatalogItem"
"1","2021-04-05 14:25:06-03","UNESC","CRI","11616","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","F.A.C.Weber","M. F. Freitas","2010","07","01","T. J. Cadorin; B. Grosch & C.P. Lopes","1153","2010","02","02","Brasil","Santa Catarina","Joinville","Rio Manso.","-49.14","-26.28","49º8'24''W","26º16'48''S","770","770","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: epífita","CRI008278","CRI008278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","645617","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","F.A.C.Weber","N. P. Taylor; D. C. Zappi",NA,NA,NA,"J. N. Rose","20653","1915","08","01","Brazil","Rio de Janeiro",NA,"On Papagaya, Rio de Janeiro",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=215638' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645617","NY00645617_01","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-28 16:33:00-03","NY","NYBG","645618","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata",NA,"N. P. Taylor; D. C. Zappi",NA,NA,NA,"G. Martinelli","9946","1984","10","03","Brazil","Rio de Janeiro","Magé","III° Distrito, Paraiso, Centro de Primatologia fo RJ-FEEMA","-43.0406","-22.6531",NA,NA,"200","200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=215639' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645618","NY00645618_01","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","645620","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","F.A.C.Weber",NA,NA,NA,NA,"J. N. Rose","43065","1915",NA,NA,"Brazil","Rio de Janeiro",NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,"Cultivated from original collection, Rose 20403 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=215641' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645620","NY00645620_01","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","645619","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","F.A.C.Weber",NA,NA,NA,NA,"J. N. Rose","20309","1915","07","19","Brazil","Rio de Janeiro",NA,"On Corcovado, Rio de Janeiro","-43.212076","-22.951842",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=215640' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645619","NY00645619_01","Magnoliophyta","Caryophyllales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","645621","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata delicatula","Löfgr.",NA,NA,NA,NA,"J. N. Rose","45414","1917",NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"Cultivated from original collection Shafer, s.n., in 1917 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=21381' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645621","NY00645621_01","Magnoliophyta","Caryophyllales","South America","sheet","delicatula",NA,NA,NA,NA,NA,NA,NA
"7","2021-02-18 09:29:03-03","UNESP-IBB","BOTU","28276","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","F.A.C.Weber",NA,NA,NA,NA,"Duarte, A.P.",NA,"1948","10","12","Brasil","Rio de Janeiro","Petrópolis",NA,NA,NA,"9999","9999",NA,NA,"Rupestre com mais de 2 m de extensão, flores alvas","BOTU028276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:04:12-03","ESALQ","ESA","32216","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","F.A.C.Weber","Aona, L.Y.S.",NA,NA,NA,"Leitão Filho, H.F. et al.","34317.0","1996","02","03","Brasil","São Paulo","Ubatuba",NA,"-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,NA,"ESA032216","ESA032216","Magnoliophyta",NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA,NA
"9","2020-11-04 11:04:12-03","ESALQ","ESA","34246","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","F.A.C.Weber","Aona, L.Y.S.",NA,NA,NA,"Bertoncini, A.P. et al.","734.0","1996","12","12","Brasil","São Paulo","Cunha",NA,"-44.9599990844727","-23.0699996948242",NA,NA,NA,NA,NA,"ESA034246","ESA034246","Magnoliophyta",NA,NA,NA,NA,"38855","auto",NA,NA,NA,NA,NA
"10","2020-11-04 11:04:12-03","ESALQ","ESA","34239","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","F.A.C.Weber","Aona, L.Y.S.",NA,NA,NA,"Bertoncini, A.P. et al.","708.0","1996","12","11","Brasil","São Paulo","Cunha",NA,"-44.9599990844727","-23.0699996948242",NA,NA,NA,NA,NA,"ESA034239","ESA034239","Magnoliophyta",NA,NA,NA,NA,"38855","auto",NA,NA,NA,NA,NA
