"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","dayIdentified","infraspecificEpithet","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"23","2020-02-08 09:59:09-03","NBC","NL-BOTANY","U 0043883","PreservedSpecimen","Plantae",NA,"Malvales","Bombacaceae","Pseudobombax","tomentosum","Pseudobombax tomentosum","(Mart. & Zucc.) A.Robyns","Carvalho-Sobrinho JG de","Ratter JA; Santos RR de; Souza R; Castro RA de; Andrelinho",NA,"1968","06","20","Southern America","Brazil","Mato Grosso","8 km. E. of the Base Camp of the Expedition. 270 km. N. of Xavantina on the Xavantina - Sao Felix road.","-51.866667","-12.9",NA,NA,NA,"In dense cerradao (transitional between valley forest and cerrado) on stony soil, with pieces of laterite.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200043883 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0043883",NA,NA,"2015","12",NA,NA,"-51.866667","-12.9","Magnoliopsidae","01",NA,NA,NA,NA,NA
"24","2020-02-08 09:59:09-03","NBC","NL-BOTANY","U 0043884","PreservedSpecimen","Plantae",NA,"Malvales","Bombacaceae","Pseudobombax","tomentosum","Pseudobombax tomentosum","(Mart. & Zucc.) A.Robyns","Carvalho-Sobrinho JG de","Ratter JA; Bertolda J; Castro RA de; Santos RR de; Souza R",NA,"1968","04","19","Southern America","Brazil","Mato Grosso","9 km. E. of the Base Camp of the Expedition. 270 km. N. of Xavantina.","-51.866667","-12.9",NA,NA,NA,"Growing in the transition region between valley forest on rich soil and cerradao.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200043884 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0043884",NA,NA,"2015","12",NA,NA,"-51.866667","-12.9","Magnoliopsidae","01",NA,NA,NA,NA,NA
"25","2020-02-08 09:59:09-03","NBC","NL-BOTANY","L.4293753","PreservedSpecimen","Plantae",NA,"Malvales","Bombacaceae","Pseudobombax","tomentosum","Pseudobombax tomentosum","(Mart. & Zucc.) A.Robyns",NA,"Ratter JA; Santos RR de; Souza R; Castro RA de; Andrelinho",NA,"1968","06","20","Southern America","Brazil","Mato Grosso",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4293753 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4293753","NL-L4293753",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"26","2020-02-08 09:59:09-03","NBC","NL-BOTANY","L.4293754","PreservedSpecimen","Plantae",NA,"Malvales","Bombacaceae","Pseudobombax","tomentosum","Pseudobombax tomentosum","(Mart. & Zucc.) A.Robyns",NA,"Ratter JA; Santos RR de; Souza R; Castro RA de; Andrelinho",NA,"1968","06","20","Southern America","Brazil","Mato Grosso",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4293754 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4293754","NL-L4293754",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"27","2020-11-04 11:12:58-03","ESALQ","ESA","42116","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malvaceae","Pseudobombax","tomentosum","Pseudobombax tomentosum","(Mart.) A. Robyns","Ferreira, C.D.M.","Souza, V.C.; Souza, J.P.; Scalon, V.R.; Duarte, A.R.","17004.0","1997","05","23",NA,"Brasil","Mato Grosso","Cerca de 2 Km SW de Nobres. Savana arborizada (cerrado) sobre solo calcáreo.","-56","-14.44",NA,NA,NA,"Arbusto, ca. 1, 7 m alt.; botões verdes.","ESA042116","ESA042116","Nobres","2018","03",NA,NA,"-56","-14.44",NA,"06",NA,NA,NA,NA,NA
"28","2020-11-04 11:12:58-03","ESALQ","ESA","119997","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Malvaceae","Pseudobombax","tomentosum","Pseudobombax tomentosum","(Mart.) A. Robyns","Ferreira, C.D.M.","Caliari, C.P.","154.0","2006","07","18",NA,"Brasil","Mato Grosso","RPPN SESC Pantanal.","-55.9674987792969","-16.1944007873535",NA,NA,NA,NA,"ESA119997","ESA119997","Barão de Melgaço","2018","03","145819","auto",NA,NA,NA,"06",NA,NA,NA,NA,NA
"29","2021-01-14 15:31:35-03","MN","R","7715","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pseudobombax","tomentosum","Pseudobombax tomentosum","(Mart. et Zucc.) A. Robyns","Santos, E.","Glaziou, A.F.M.","20720 a","1895","09","04",NA,"Brasil","Goiás",NA,NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000007715","R000007715_001",NA,"1967","03",NA,NA,NA,NA,NA,"13",NA,NA,NA,NA,NA
"30","2015-07-02 14:02:46-03","JBP","HPL","4270","S","Plantae",NA,NA,"Malvaceae","Pseudobombax","tomentosum","Pseudobombax tomentosum","(Mart. & Zucc) A. Robyns","H. Lorenzi","H. Lorenzi","1559","1994","05","30",NA,"Brasil","SP","Coletada no parque da UNICAMP.","-47.06","-22.9",NA,NA,NA,NA,NA,NA,"Campinas","1994","05","23900","auto",NA,NA,NA,"30",NA,NA,NA,NA,NA
"31","2019-02-15 11:35:15-02","IPA","IPA","86880","S","Plantae","Plantae",NA,"Bombacaceae","Pseudobombax","tomentosum","Pseudobombax tomentosum","(Mart. & Zucc.) Robyns","Carvalho-Sobrinho, J.G.","Oliveira, F.C.A.; Fonseca, M.L.; Silva Filho, A.P.; Oliveira, V.C.; Fonseca, M.L.; Silva Filho, A.P.; Oliveira, V.C.","1426","2009","06","30","Southern America","Brasil","Tocantins","Fazenda Veneza, bacia do Tocantins, sub-bacia Palma (T-4, área 1, pto 3).","-46.547222","-12.905278","533","533",NA,"Árvore heliófila, caducifólia ca. 6m de altura e 12cm DAP. Casca clara com estrias verdes. Botões florais marrons, velutinos. Cálice cor verde com glândulas vermelhas na base.; Floresta Estacional Decidual Submontana. Solo argiloso es","IPA0086880",NA,"Novo Alegre","2012","06",NA,NA,"-46.547222","-12.905278",NA,"13",NA,NA,NA,NA,NA
"32","2021-04-07 11:45:56-03","UFMS","CGMS","62680","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pseudobombax","tomentosum","Pseudobombax tomentosum","(Mart.) A.Robyns",NA,"A. Pott; V.J. Pott; A.C.M. Cristaldo","9920","2002","05","05",NA,"Brasil","Mato Grosso do Sul","Aldeia Limão Verde, 22Km norte de Aquidauana, sopé do Morro Vigia, Serra de Maracaju.","-55.6966666","-20.3266667",NA,NA,NA,"Flor branca. Fruto imaturo verde. Sépalas verdosas, filetes brancos, anteras castanho amareladas (quando jovens amarelas) Habitat: Vegetação secundária de cerradão/floresta semidecidual em cultivos. Solo argilo-arenoso. Relevo encost","CGMS1095676",NA,"Aquidauana",NA,NA,NA,NA,"-55,6966666","-20,3266667",NA,NA,NA,NA,NA,NA,NA
"33","2021-04-07 11:45:56-03","UFMS","CGMS","31432","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pseudobombax","tomentosum","Pseudobombax tomentosum","(Mart.) A.Robyns","V.A. Assunção","V.A. Assunção","717","2010","06","20",NA,"Brasil","Mato Grosso do Sul","Furnas do Dionísio. Parcela 2.","-54.5666667","-20.1469444",NA,NA,NA,"Flor branca. Estames exsertos e numerosos; caule com porções esverdeadas;Presença de formigas. Habitat: Cerrado. Cerradão. Solo eutrófico. Relevo escarpado. Habito: Árvore. 6,00m de altura.","CGMS1060865",NA,"Jaraguari","2010",NA,NA,NA,"-54,5666667","-20,1469444",NA,NA,NA,NA,NA,NA,NA
"34","2021-04-07 11:45:56-03","UFMS","CGMS","39991","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pseudobombax","tomentosum","Pseudobombax tomentosum","(Mart.) A.Robyns","J.G. Carvalho-Sobrinho","D.T. Azevedo; D.B. Borges; A.P.P. Oliveira; L.V. Silva; G.A. Damasceno-Junior.","204","2012","10","20",NA,"Brasil","Mato Grosso do Sul","Parque Nacional da Serra da Bodoquena.","-56.7091667","-20.9616667",NA,NA,NA,"Sem Flor. SemFruto. Habitat: Floresta estacional semidecídua. Habito: Árvore. 3,00 m de altura.","CGMS1069370",NA,"Bonito",NA,NA,NA,NA,"-56,7091667","-20,9616667",NA,NA,NA,NA,NA,NA,NA
