"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","557324","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","truncatum","Piper truncatum","Vell.","T. G. Yuncker","A. Barbosa","100","1945","10","06","South America","Brazil","Rio de Janeiro","Itatiaia","Estr. da Maromba - km. 2.5","-44.5631","-22.4961","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=546073' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557324","NY00557324_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","557309","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","truncatum","Piper truncatum","Vell.","E. F. Guimarães","J. P. P. Carauta","447","1967","10","17","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Caminho do Sertao, lado da Tijuca","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=546076' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557309","NY00557309_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","557306","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","truncatum","Piper truncatum","Vell.","R. Callejas Posada","L. R. Landrum","4118","1982","01","13","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Floresta da Tijuca, near chapel","-43.278116","-22.956929","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=546077' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557306","NY00557306_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 19:02:00-03","NY","NYBG","557316","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","truncatum","Piper truncatum",NA,"E. F. Guimarães; C. L. F. Ichaso","C. L. F. Ichaso","s.n.","1966","05","04","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Mata da Gávea Pequena","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=546070' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557316","NY00557316_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","557307","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","truncatum","Piper truncatum","Vell.","R. Callejas Posada","T. C. Plowman","12945","1983","02","23","South America","Brazil","Rio de Janeiro","Santa Maria Madalena","Parque Estadual do Desengano. Fazenda Agulha do Imbé, between Santa Maria Madalena and Santo Antonio do Imbé","-41.87","-21.93","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=546078' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557307","NY00557307_01","450","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","557325","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","truncatum","Piper truncatum","Vell.","T. G. Yuncker","O. C. Goés","14","1943","05",NA,"South America","Brazil","Rio de Janeiro","Petrópolis","Petrópolis - Carangola","-43.1783","-22.505","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=546074' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557325","NY00557325_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","557311","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","truncatum","Piper truncatum","Vell.","C. L. F. Ichaso","B. D. Sucre","7389","1971","02","03","South America","Brazil","Rio de Janeiro","Rio de Janeiro","(Gb.) Matas da subida do Pico da Tijuca","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=546085' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557311","NY00557311_01","700","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","557323","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","truncatum","Piper truncatum","Vell.","T. G. Yuncker","O. Peckolt","488","1934",NA,NA,"South America","Brazil","Rio de Janeiro","Rio de Janeiro","Estrada de Tijuca","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=546084' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557323","NY00557323_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","557153","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","truncatum","Piper truncatum","Vell.",NA,"A. Barbosa","100","1945","10","06","South America","Brazil","Rio de Janeiro","Itatiaia","Estrada Maromba km 2-5","-44.5631","-22.4961","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=546075' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557153","NY00557153_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01806212","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","truncatum","Piper truncatum","Vell.","A. J. Bornstein","W. W. Thomas","13752","2004","02","01","South America","Brazil","Bahia","Mun. Camacan","Fazenda Serra Bonita, Reserva Serra Bonita, 9.7 km W of Camacan on road to Jacarecí, then 6 km SW on road to RPPN Serra Bonita and Embratel tower.","-39.5652778","-15.3918056","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=797038' target='other'> <mi>dwc_moreinfo</mi></a>","NY01806212","NY01806212_01","835","835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
