"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","phylum","scientificNameAuthorship","identifiedBy","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","previousCatalogNumber"
"1","2016-11-01 12:40:00-02","NY","NYBG","414885","PreservedSpecimen","Plantae","Asparagales","Orchidaceae","Cyanaeorchis","arundinae","Cyanaeorchis arundinae","E. Hassler","9677","1901","11","South America","Paraguay","Caaguazu. In regione fluminis Yhú","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=713103' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414885","NY00414885_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","414877","PreservedSpecimen","Plantae","Asparagales","Orchidaceae","Cyanaeorchis","arundinae","Cyanaeorchis arundinae","F. C. Hoehne","661","1917","11","South America","Brazil","Butantan, Sao Paulo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=713099' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414877","NY00414877_01","Magnoliophyta","(Rchb.f.) Barb.Rodr.","F. C. Hoehne","03","São Paulo","Sao Paulo","-46.724373","-23.565521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","414878","PreservedSpecimen","Plantae","Asparagales","Orchidaceae","Cyanaeorchis","arundinae","Cyanaeorchis arundinae","A. P. Duarte","13911","1970","11","South America","Brazil","Cale do Rio Araguarí pr. Araxá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=713097' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414878","NY00414878_01","Magnoliophyta","(Rchb.f.) Barb.Rodr.","G. F. J. Pabst","06","Minas Gerais","Araxá","-46.9406","-19.5933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","414883","PreservedSpecimen","Plantae","Asparagales","Orchidaceae","Cyanaeorchis","arundinae","Cyanaeorchis arundinae","H. S. Irwin","9007","1965","10","South America","Brazil","3 km S of Sobradinho","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=713095' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414883","NY00414883_01","Magnoliophyta","(Rchb.f.) Barb.Rodr.","G. F. J. Pabst","06","Distrito Federal","Brasília","-47.9294","-15.7797","1075","1075",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","414881","PreservedSpecimen","Plantae","Asparagales","Orchidaceae","Cyanaeorchis","arundinae","Cyanaeorchis arundinae","G. G. Hatschbach","25107","1970","10","South America","Brazil","Rio Anhandui, Mato Grosso","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=713101' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414881","NY00414881_01","Magnoliophyta","(Rchb.f.) Barb.Rodr.","G. G. Hatschbach","23","Mato Grosso do Sul","Rio Brilhante","-54.5464","-21.8019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","414880","PreservedSpecimen","Plantae","Asparagales","Orchidaceae","Cyanaeorchis","arundinae","Cyanaeorchis arundinae","G. G. Hatschbach","23285","1969","12","South America","Brazil","Rio Canguiri. Paraná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=713100' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414880","NY00414880_01","Magnoliophyta","(Rchb.f.) Barb.Rodr.","G. G. Hatschbach","30","Paraná","Campina Grande do Sul","-49.0553","-25.3058","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","414879","PreservedSpecimen","Plantae","Asparagales","Orchidaceae","Cyanaeorchis","arundinae","Cyanaeorchis arundinae","G. G. Hatschbach","43437","1980","12","South America","Brazil","Palmas, 10 km este, Paraná","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=713102' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414879","NY00414879_01","Magnoliophyta","(Rchb.f.) Barb.Rodr.","G. G. Hatschbach","11","Paraná","Palmas","-51.9906","-26.4844",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","414882","PreservedSpecimen","Plantae","Asparagales","Orchidaceae","Cyanaeorchis","arundinae","Cyanaeorchis arundinae","L. B. Smith","13971","1964","12","South America","Brazil","Campo de Irani","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=713098' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414882","NY00414882_01","Magnoliophyta","(Rchb.f.) Barb.Rodr.","G. F. J. Pabst","15","Santa Catarina","Irani","-51.83","-26.95","700","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","414884","PreservedSpecimen","Plantae","Asparagales","Orchidaceae","Cyanaeorchis","arundinae","Cyanaeorchis arundinae","H. S. Irwin","8597","1965","09","South America","Brazil","Ca 20 km S of Brasília, on road to Belo Horizonte","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=713096' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414884","NY00414884_01","Magnoliophyta","(Rchb.f.) Barb.Rodr.","G. F. J. Pabst","23","Goiás","Valparaíso de Goiás","-47.9785995483398","-16.0657997131348","1235","1235","8301","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","9089","PreservedSpecimen","Plantae",NA,"Orchidaceae","Cyanaeorchis","arundinae","Cyanaeorchis arundinae","Amaral Jr., A.","1224","1972","11",NA,"Brasil","Estrada que liga o aeroporto municipal à represa do Rio Pardo, a mais ou menos 2km do aeroporto",NA,NA,"BOTU009089",NA,NA,"(Rchb.f.) Barb.Rodr.",NA,"10","São Paulo","Botucatu",NA,NA,NA,NA,NA,NA,"1972","12","17","9999","9999",NA,NA,NA,NA
