"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","individualCount","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem"
"11","2011-02-07 11:24:00-02","MO","MOBOT","2540692","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Riodocea","pulcherrima","Riodocea pulcherrima","Delprete","Isotype","D.A. Folli","Folli 3065","1997","9","17","South America","Brazil","Espírito Santo",NA,"Reserva Florestal de Linhares - LINHARES - ES. Brasil. Municipal Bebedouro à Regencia. Mata de Tabuleiro. Terrestre. Arbóreo.",NA,NA,NA,NA,NA,NA,"Delprete",NA,NA,NA,NA,NA,"15.00000000",NA,"1",NA,NA,NA,NA
"12","2008-05-27 22:02:00-03","MO","MOBOT","3236479","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Riodocea","pulcherrima","Riodocea pulcherrima","Delprete",NA,"José R. Pirani","Pirani 2428","1988","2","23","South America","Brazil","Espírito Santo",NA,"Guarapari; Rodovia do Sol, estrada que liga a BR-101 á praia Setibana ES-060 a 6km da BR-101. Remanescente de floresta tropical pluvial, perturbada.","-40.45","-20.55",NA,NA,NA,NA,"C. M. Taylor (MO)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-10-20 09:56:47-03","MBML","MBML-HERBARIO","1172",NA,"Plantae",NA,NA,"Rubiaceae","Riodocea","pulcherrima","Riodocea pulcherrima","Delprete","PARATIPO","T. S. dos Santos","2010","1971","09","30",NA,"Brasil","Espírito Santo","Linhares","KM 6 BR 101 Sul","-40.098333","-19.45",NA,"Árvore de 10m de altura X 20cm de diâmetro, flores amarelas e frutos verdes.","MBML001172","MBML001172","P.G. Delprete/1999",NA,NA,NA,NA,NA,NA,NA,NA,"40W5'54","19S27'0",NA,NA
"14","2020-09-03 19:37:20-03","MBML","MBML-HERBARIO","54069",NA,"Plantae",NA,NA,"Rubiaceae","Riodocea","pulcherrima","Riodocea pulcherrima","Delprete",NA,"J. G. Kuhlmann","6461","1943","11","15",NA,"Brasil","Espírito Santo","Linhares","Rio Doce. Goytacazes","-40.081389","-19.451389",NA,"Árvore de tronco relativamente fino, de 5-10m de altura, flores brancas","MBML054069",NA,"D. Zappi/VII-204",NA,NA,NA,NA,NA,NA,NA,NA,"40W4'53","19S27'5",NA,NA
"15","2021-02-09 10:13:52-03","UENF","HUENF","10430","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Riodocea","pulcherrima","Riodocea pulcherrima","Delprete",NA,"Souza, T.P.","3","2011","05","29",NA,"Brasil","Rio de Janeiro","Campos dos Goytacazes","Maciço do Itaoca.","-41.448056","-21.797222",NA,"Parcela 1","HUENF00011071",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41º26'53''W","21º47'50''S",NA,NA
"16","2021-02-09 10:13:52-03","UENF","HUENF","10404","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Riodocea","pulcherrima","Riodocea pulcherrima","Delprete",NA,"Souza, T.P.","341","2013","04","08",NA,"Brasil","Rio de Janeiro","Campos dos Goytacazes","Maciço do Itaoca.","-41.448056","-21.797222",NA,"Parcela 5","HUENF00011051",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41º26'53''W","21º47'50''S",NA,NA
"17","2021-02-09 10:13:52-03","UENF","HUENF","10403","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Riodocea","pulcherrima","Riodocea pulcherrima","Delprete",NA,"Souza, T.P.","3","2011","06","29",NA,"Brasil","Rio de Janeiro","Campos dos Goytacazes","Maciço do Itaoca.","-41.448056","-21.797222",NA,"Parcela 1","HUENF00011050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41º26'53''W","21º47'50''S",NA,NA
"18","2021-02-25 10:12:24-03","CVRD","CVRD","6655","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Riodocea","pulcherrima","Riodocea pulcherrima","Delprete",NA,"Folli, D.A.","3720","2000","10","20","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Jenipapo da mata","CVRD006655",NA,"Domingos A. Folli","48094","auto","2000","10","23",NA,NA,NA,NA,NA,"Magnoliopsida",NA
"19","2021-02-25 10:12:24-03","CVRD","CVRD","15900","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Riodocea","pulcherrima","Riodocea pulcherrima","Delprete",NA,"Folli, D.A.","7612","2018","04","06","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Jenipapo da mata","CVRD015900",NA,"Domingos A. Folli","48094","auto","2018","04","06",NA,NA,NA,NA,NA,"Magnoliopsida",NA
"20","2021-02-25 10:12:24-03","CVRD","CVRD","10266","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Riodocea","pulcherrima","Riodocea pulcherrima","Delprete",NA,"Luz, A.A. da","432","2007","05","31","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Jenipapo da mata","CVRD010266",NA,"Domingos A. Folli","48094","auto","2007","05","31",NA,NA,NA,NA,NA,"Magnoliopsida",NA
"21","2021-02-25 10:12:24-03","CVRD","CVRD","5757","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Riodocea","pulcherrima","Riodocea pulcherrima","Delprete","HOLOTYPUS","Folli, D.A.","3065","1997","09","17","América do Sul","BRASIL","ES","Linhares","Bananal do Sul Município de Linhares","-40.0722007751465","-19.3910999298096",NA,"HT: CVRD; IT: CEPEC, MG, MO, NY, UB <ll>dwc_commonname:</ll> Jenipapo da mata","CVRD005757",NA,"Piero Delprete","48094","auto","1998","04","02","20","20",NA,NA,NA,"Magnoliopsida",NA
"22","2021-02-25 10:12:24-03","CVRD","CVRD","3536","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Riodocea","pulcherrima","Riodocea pulcherrima","Delprete",NA,"Souza, V.D.","245","1991","11","07","América do Sul","BRASIL","ES","Linhares","Estrada do Bebedouro à Regência, 12 km de Bebedouro. Lado esquerdo.","-40.0722007751465","-19.3910999298096",NA,"Projeto coleta de sementes. <ll>dwc_commonname:</ll> Jenipapo da mata","CVRD003536",NA,"Piero Delprete","48094","auto","1998","04","02","20","20",NA,NA,NA,"Magnoliopsida",NA
"23","2020-09-02 16:39:08-03","Cenargen","CEN","113004","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Riodocea","pulcherrima","Riodocea pulcherrima","Delprete",NA,"João Geraldo Kuhlmann","6461","1943","11","15",NA,"Brasil",NA,NA,"Espirito Santo, Rio Doce, Goytacazes",NA,NA,"Exsicatas","Arvore com tronco relativamente fino de 5 - 10 metros, Doação Jardim Botânico do Rio de Janeirto - RB 62895","CEN00113004",NA,"D. Zappi",NA,NA,"2014","07",NA,NA,NA,"1",NA,NA,NA,NA
"24","2019-10-07 09:14:54-03","UEFS","HUEFS","251206","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Rubiaceae","Riodocea","pulcherrima","Riodocea pulcherrima","Delprete",NA,"Kuhlmann, J.G.","6461","1943","11","15",NA,"Brasil","Espírito Santo","Rio Doce","Goytacazes.",NA,NA,NA,NA,"HUEFS0251206","HUEFS0251206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asteranae",NA
