"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","class","coordinatePrecision","geoFlag","typeStatus","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2021-04-08 15:16:32-03","UNESC","CRI","2786","PreservedSpecimen","Plantae","Phyllanthaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll.Arg.","G. L. Webster","1985","11","29","R. M. Klein","1972","11","27","Brasil","Santa Catarina","Blumenau","Chácara da A. V. Catarinense","-49.066111","-26.918611","49º3'58''W","26º55'7''S","64","64","Flor branca. Habito: Arvoreta","CRI013766","CRI013766",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","529070","PreservedSpecimen","Plantae","Phyllanthaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll.Arg.",NA,NA,NA,NA,"P. K. H. Dusén","1915","11","11","Brazil","Paraná","Jaguariaíva","Jacarehý","-49.7056","-24.2511",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=570758' target='other'> <mi>dwc_moreinfo</mi></a>","NY00529070","NY00529070_01","Magnoliophyta","Malpighiales","17312","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","686598","PreservedSpecimen","Plantae","Phyllanthaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll.Arg.","G. L. Webster",NA,NA,NA,"G. G. Hatschbach","1973","12","06","Brazil","Paraná","Morretes","Rio Segrado","-48.8342","-25.4769",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=836173' target='other'> <mi>dwc_moreinfo</mi></a>","NY00686598","NY00686598_01","Magnoliophyta","Malpighiales","33454","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","529071","PreservedSpecimen","Plantae","Phyllanthaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll.Arg.",NA,NA,NA,NA,"L. Riedel",NA,NA,NA,"Brazil",NA,NA,"{From protologue: Ad Serra da Piedade]",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=570759' target='other'> <mi>dwc_moreinfo</mi></a>","NY00529071","NY00529071_01","Magnoliophyta","Malpighiales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:49:55-03","NBC","NL-BOTANY","U.1474986","PreservedSpecimen","Plantae","Euphorbiaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll.Arg.",NA,NA,NA,NA,"Mexia YEJ","1930","10","28","Brazil",NA,NA,"State of Minas Geraes. Districto Rio Branco. Road Viçosa to Barroso; Fazenda de Reserva; in understory of tall forest.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1474986 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1474986","NL-U1474986",NA,"Malpighiales",NA,"Southern America",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:49:55-03","NBC","NL-BOTANY","U.1474987","PreservedSpecimen","Plantae","Euphorbiaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll.Arg.",NA,NA,NA,NA,"Mexia YEJ","1931","01","03","Brazil",NA,NA,"State of Minas Geraes. Districto Rio Branco. Fazenda da Reserva.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1474987 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1474987","NL-U1474987",NA,"Malpighiales",NA,"Southern America",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:49:55-03","NBC","NL-BOTANY","U.1474988","PreservedSpecimen","Plantae","Euphorbiaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll.Arg.",NA,NA,NA,NA,"Düsen P","1915","11","11","Brazil",NA,NA,"Iacarchý, ad marginem silva jurim reg. lit.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1474988 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1474988","NL-U1474988",NA,"Malpighiales",NA,"Southern America",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"8","2019-08-20 10:22:41-03","UNICAMP","UEC","113083","S","Plantae","Phyllanthaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll.Arg.","Rodrigues, IA","1996","12",NA,"Cavalcanti, DC","1996","08","30","Brazil","São Paulo","Guaratinguetá","Reserva Florestal da Escola de Especiali","-45.189998626709","-22.8099994659424",NA,NA,NA,NA,"habitat: mata de planalto; Arvoreta ca. 3 m alt, flores amareladas","UEC054743","UEC054743","Magnoliopsida",NA,"277",NA,NA,NA,"27040","auto",NA,NA,NA,NA,NA
"9","2020-10-14 10:04:31-03","FURB","FURB","12864","PreservedSpecimen","Plantae","Phyllanthaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll.Arg.","Oliveira, AA de","2010","10","15","Beckhauser, T.A.","2006","08","12","Brasil","Santa Catarina","Blumenau","Campus I - FURB.","-49.0791667","-26.9055556","-49.0791667","-26.9055556","38","38",NA,"FURB02938","FURB02938",NA,NA,"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-10-14 10:04:31-03","FURB","FURB","38471","PreservedSpecimen","Plantae","Phyllanthaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll.Arg.","L.A. Funez","2016","10","10","Funez, L.A.","2012","07","06","Brasil","Santa Catarina","Blumenau","Campus I - FURB.","-49.0788889","-26.9052778","-49.0788889","-26.9052778","38","38",NA,"FURB36963","FURB36963",NA,NA,"649",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-10-14 10:04:31-03","FURB","FURB","841","PreservedSpecimen","Plantae","Phyllanthaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll.Arg.","Oliveira, AA de","2011","01","24","Gasper, A.L. de","2005","10","25","Brasil","Santa Catarina","Blumenau","Campus I - FURB.","-49.0791667","-26.9055556","-49.0791667","-26.9055556","38","38",NA,"FURB36941","FURB36941",NA,NA,"384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
