"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","recordNumber","phylum","order","continentOcean","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","class","typeStatus","individualCount","imagecode"
"1","2021-02-07 08:35:31-03","MN","R","215112","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","vidalii","Vriesea vidalii","L.B. Sm. & Handro","Kessous, I.M.","2013","03","13","França, C.R.P. 37; Moura, R.","2009","02","21","Brasil","Rio de Janeiro","Teresópolis","-42.9655990600586","-22.4122009277344","38539","R010019881","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-07 08:35:31-03","MN","R","214007","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","vidalii","Vriesea vidalii","L.B. Sm. & Handro",NA,NA,NA,NA,"Moura, R.","2012","05","11","Brasil","Rio de Janeiro","Teresópolis","-42.9655990600586","-22.4122009277344","38539","R010018794","auto","1038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-02-07 08:35:31-03","MN","R","190576","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","vidalii","Vriesea vidalii","L.B. Sm. & Handro",NA,NA,NA,NA,"Vidal, J.","1952","06",NA,"Brasil","Rio de Janeiro","Teresópolis","-42.9655990600586","-22.4122009277344","38539","R010018792","auto","3246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-07 08:35:31-03","MN","R","105289","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","vidalii","Vriesea vidalii","L.B. Sm. & Handro",NA,NA,NA,NA,"Vidal, J.","1952","07",NA,"Brasil","Rio de Janeiro","Teresópolis","-42.9655990600586","-22.4122009277344","38539","R010019883","auto","3789",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-07 08:35:31-03","MN","R","105288","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","vidalii","Vriesea vidalii","L.B. Sm. & Handro",NA,NA,NA,NA,"Vidal, J.","1952","07",NA,"Brasil","Rio de Janeiro","Teresópolis","-42.9655990600586","-22.4122009277344","38539","R010019884","auto","3790",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-07 08:35:31-03","MN","R","105287","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","vidalii","Vriesea vidalii","L.B. Sm. & Handro",NA,NA,NA,NA,"Vidal, J.","1952","07",NA,"Brasil","Rio de Janeiro","Teresópolis","-42.9655990600586","-22.4122009277344","38539","R010019885","auto","3791",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-07 08:35:31-03","MN","R","105278","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","vidalii","Vriesea vidalii","L.B. Sm. & Handro",NA,NA,NA,NA,"Vidal, J.","1952","07",NA,"Brasil","Rio de Janeiro","Teresópolis","-42.9655990600586","-22.4122009277344","38539","R010019877","auto","3782",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-07 08:35:31-03","MN","R","104662","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","vidalii","Vriesea vidalii","L.B. Sm. & Handro",NA,NA,NA,NA,"Vidal, J.","1912","05",NA,"Brasil","Rio de Janeiro","Teresópolis","-42.9655990600586","-22.4122009277344","38539","R010019879","auto","3212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-07 08:35:31-03","MN","R","104655","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","vidalii","Vriesea vidalii","L.B. Sm. & Handro",NA,NA,NA,NA,"Vidal, J.","1952","06",NA,"Brasil","Rio de Janeiro","Teresópolis","-42.9655990600586","-22.4122009277344","38539","R010019876","auto","3214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-07 08:35:31-03","MN","R","104652","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","vidalii","Vriesea vidalii","L.B. Sm. & Handro",NA,NA,NA,NA,"Vidal, J.","1952","06",NA,"Brasil","Rio de Janeiro","Teresópolis","-42.9655990600586","-22.4122009277344","38539","R010019882","auto","3216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
