"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","infraspecificEpithet","typeStatus","sex"
"1","2021-04-05 14:33:29-03","UNESC","CRI","10254","PreservedSpecimen","Plantae","Euphorbiaceae","Bernardia","pulchella","Bernardia pulchella","(Baill.) Müll.Arg.","M. G. Caxambu","2008","12","12","E.L. Siqueira; A.S. Santos","115","2008","12","04","Brasil","Paraná","Luiziana","RPPN Depositozinho - Propriedade da COAMO - Agroindustrial Cooperativa.","-52.309722","-24.205833","52º18'35''W","24º12'21''S","650","650","Habito: arvoreta","CRI002326","CRI002326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:14-03","UNESC","CRI","6945","PreservedSpecimen","Plantae","Euphorbiaceae","Bernardia","pulchella","Bernardia pulchella","(Baill.) Müll.Arg.","L. B. Smith",NA,NA,NA,"Reitz; Klein",NA,"1964","01","03","Brasil","Santa Catarina","Guaraciaba","São Luiz.","-53.518333","-26.599722","53º31'6''W","26º35'59''S","700","700",NA,"CRI002330","CRI002330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:29-03","UNESC","CRI","2008","PreservedSpecimen","Plantae","Euphorbiaceae","Bernardia","pulchella","Bernardia pulchella","(Baill.) Müll.Arg.","L. B. Smith","1983",NA,NA,"L. B. Smith; R. Reitz e R. J. Downs","12.893","1964","10","23","Brasil","Santa Catarina","Abelardo Luz",NA,"-52.3275","-26.566111","52º19'39''W","26º33'58''S",NA,NA,NA,"CRI002336","CRI002336",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:14-03","UNESC","CRI","1952","PreservedSpecimen","Plantae","Euphorbiaceae","Bernardia","pulchella","Bernardia pulchella","(Baill.) Müll.Arg.","L. B. Smith",NA,NA,NA,"Reitz; Klein","16946","1964","01","03","Brasil","Santa Catarina","Guaraciaba","São Luiz.","-53.518333","-26.599722","53º31'6''W","26º35'59''S","700","700",NA,"CRI002332","CRI002332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:29-03","UNESC","CRI","4321","PreservedSpecimen","Plantae","Euphorbiaceae","Bernardia","pulchella","Bernardia pulchella","(Baill.) Müll.Arg.","M. Sobral","1997","04","24","Valdemar Boff","286","1995","11","20","Brasil","Santa Catarina","Siderópolis","Jordão.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111","Habitat: capoeira Habito: subarbusto","CRI002338","CRI002338",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:33:29-03","UNESC","CRI","9251","PreservedSpecimen","Plantae","Euphorbiaceae","Bernardia","pulchella","Bernardia pulchella","(Baill.) Müll.Arg.","Rafael Martins","2007","08","24","Birgit Harter Marques; Ricardo Vicente",NA,"2006","04","20","Brasil","Santa Catarina","Siderópolis","Malha II leste.","-49.424722","-28.598333","49º25'29''W","28º35'54''S","111","111",NA,"CRI002320","CRI002320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:29-03","UNESC","CRI","15335","PreservedSpecimen","Plantae","Euphorbiaceae","Bernardia","pulchella","Bernardia pulchella","(Baill.) Müll.Arg.","Isadora Zapelini & José T. Pires","2020","09","15","Isadora Zapelini & José T. Pires",NA,"2020","08","07","Brasil","Santa Catarina","Criciúma","Campus UNESC.","-49.409722","-28.705278","49º24'35''W","28º42'19''S","40","40","Habito: Arbóreo","CRI014752",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:29-03","UNESC","CRI","6884","PreservedSpecimen","Plantae","Euphorbiaceae","Bernardia","pulchella","Bernardia pulchella","(Baill.) Müll.Arg.","L. B. Smith","1983","01","01","R. Reitz; R. M. Klein","16946","1964","01","03","Brasil","Minas Gerais","Guaraciaba","São Luís.","-43.007778","-20.571389","43º0'28''W","20º34'17''S","692","692","Habito: arbustiva","CRI002645","CRI002645",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:33:29-03","UNESC","CRI","10265","PreservedSpecimen","Plantae","Euphorbiaceae","Bernardia","pulchella","Bernardia pulchella","(Baill.) Müll.Arg.","M. G. Caxambu","2010","03","03","M. G. Caxambu; et al.","2909","2010","02","12","Brasil","Paraná","Luiziana","Estação Ecológica Luiziana.","-52.269444","-24.285556","52º16'10''W","24º17'8''S","750","750","Habito: arvoreta","CRI002324","CRI002324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:14-03","UNESC","CRI","2018","PreservedSpecimen","Plantae","Euphorbiaceae","Bernardia","pulchella","Bernardia pulchella","(Baill.) Müll.Arg.","L. B. Smith",NA,NA,NA,"Reitz; Klein","13342","1962","10","24","Brasil","Santa Catarina","Curitibanos","Ponte Alta do Sul.","-50.584722","-27.283333","50º35'5''W","27º17'0''S","900","900",NA,"CRI002334","CRI002334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:33:29-03","UNESC","CRI","8278","PreservedSpecimen","Plantae","Euphorbiaceae","Bernardia","pulchella","Bernardia pulchella","(Baill.) Müll.Arg.","Vanilde Citadini- Zanette","2006",NA,NA,"Tanise Boeira Pelegrine Bertolin",NA,"2006",NA,NA,"Brasil","Santa Catarina","Criciúma",NA,"-49.37","-28.678056","49º22'12''W","28º40'41''S","46","46",NA,"CRI002328","CRI002328",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:25:14-03","UNESC","CRI","10278","PreservedSpecimen","Plantae","Euphorbiaceae","Bernardia","pulchella","Bernardia pulchella","(Baill.) Müll.Arg.","M. Sobral","2004","11","17","Vanilde C. Zanette; Robson dos Santos & Marcos Sobral",NA,"2004","11","17","Brasil","Santa Catarina","Criciúma","UNESC.","-49.37","-28.678056","49º22'12''W","28º40'41''S","48","48",NA,"CRI002322","CRI002322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","778002","PreservedSpecimen","Plantae","Euphorbiaceae","Bernardia","pulchella","Bernardia pulchella","(Baill.) Müll.Arg.","J. Külkamp",NA,NA,NA,"E. P. Leite","2851","1941","10",NA,"Brazil","Rio Grande do Sul",NA,"Vicinity of Sao Leopoldo","-51.143791","-29.75136",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=134020' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778002","NY00778002_01","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","629659","PreservedSpecimen","Plantae","Euphorbiaceae","Bernardia","pulchella","Bernardia pulchella","(Baill.) Müll.Arg.","S. F. Smith",NA,NA,NA,"A. Kegler","942","2000","03","25","Brazil","Rio Grande do Sul","Caxias do Sul","Criúva-Sao Francisco","-51.1792","-29.1683",NA,NA,"780","780","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=75330' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629659","NY00629659_01","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","778745","PreservedSpecimen","Plantae","Euphorbiaceae","Bernardia","pulchella","Bernardia pulchella","(Baill.) Müll.Arg.","S. F. Smith",NA,NA,NA,"A. Kegler","1110","2001","02","23","Brazil","Rio Grande do Sul","Caxias do Sul","Ana Rech","-51.094927","-29.108528",NA,NA,"780","780","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=797827' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778745","NY00778745_01","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1280150","PreservedSpecimen","Plantae","Euphorbiaceae","Bernardia","pulchella","Bernardia pulchella","(Baill.) Müll.Arg.","J. F. Carrión",NA,NA,NA,"G. H. von Langsdorff","s.n.","1825","12",NA,"Brazil","São Paulo","Sorocaba","Pr. Sorocaba","-47.45","-23.5",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1597075' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280150","NY01280150_01","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","1280151","PreservedSpecimen","Plantae","Euphorbiaceae","Bernardia","pulchella","Bernardia pulchella","(Baill.) Müll.Arg.","J. F. Carrión",NA,NA,NA,"F. J. Fernández Casas","7358","1982","12","09","Paraguay","Alto Paraná",NA,"a 29 km de Puerto Presidente Stroessner",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1597079' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280151",NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","504548","PreservedSpecimen","Plantae","Euphorbiaceae","Bernardia","pulchella","Bernardia pulchella","(Baill.) Müll.Arg.","J. F. Carrión",NA,NA,NA,"K. Mizoguchi","1583","1981","04","03","Brazil","São Paulo","Ibiúna","By the lakeside, SW 72 km from Sao Paulo","-47.22","-23.65",NA,NA,"800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=591428' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504548","NY00504548_01","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
