"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","typeStatus","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","779232","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Pamphalea","maxima","Pamphalea maxima","Less.","G. M. Barroso","L. B. Smith","13463","1964","12","03","South America","Brazil","Santa Catarina","Agua Doce","Campos de Palmas, 28.5 km southeast of Horizonte (Paraná)","-51.42","-26.75","1000","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=277418' target='other'> <mi>dwc_moreinfo</mi></a>","NY00779232","NY00779232_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:34:59-03","EAO","IAN","6041","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Pamphalea","maxima","Pamphalea maxima","Less.",NA,"Selo","1365",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN006041",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-02-15 11:34:24-02","IPA","IPA","89172","S","Plantae","Plantae",NA,"Asteraceae","Pamphalea","maxima","Pamphalea maxima","Less.","Moraes, M.D. de","Moraes, M.D. de","833","2006","11","13","Southern America","Brasil","Santa Catarina",NA,"32 km Norte de Água Doce, margem de pequeno rio.",NA,NA,NA,NA,NA,"Herbácea 0,60 - 1m de altura; flores brancas.; Campos e matas ciliares com araucárias. Solo úmido turfoso, com Echinodorus, gramíneas e ciperáceas baixas (ca. 25cm de altura).","IPA0089172","IPA0089172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-27 13:27:45-03","IAP","PACA-AGP","44544","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Pamphalea","maxima","Pamphalea maxima","Less.","Emrich-Rambo","Rambo, B.",NA,"1949","11","24",NA,"Brasil","RS","Osório","Lagoa dos Barros","-50.2696990966797","-29.8866996765137",NA,NA,NA,"VULNERÁVEL&nf;SEM MATERIAL Habitat: arenosis humidis ad litus lacustre Fenofase: flor","PACA044544",NA,"Magnoliatae","1954","07","05","27350","auto",NA,NA,NA,NA
"5","2019-08-27 13:27:45-03","IAP","PACA-AGP","9324","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Pamphalea","maxima","Pamphalea maxima","Less.","Emrich-Rambo","Rambo, B.",NA,"1942","01","26",NA,"Brasil","RS","Tupanciretã","Jari","-53.8358001708984","-29.0806007385254",NA,NA,NA,"VULNERÁVEL Habitat: in humidis umbrosis Fenofase: flor","PACA009324",NA,"Magnoliatae","1954","07","05","59498","auto",NA,NA,NA,NA
"6","2019-08-27 13:27:45-03","IAP","PACA-AGP","9236","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Pamphalea","maxima","Pamphalea maxima","Less.","Emrich-Rambo","Rambo, B.",NA,"1942","01","26",NA,"Brasil","RS","Tupanciretã","Jari","-53.8358001708984","-29.0806007385254",NA,NA,NA,"VULNERÁVEL Habitat: ad rivum in dumetosis Fenofase: flor","PACA009236",NA,"Magnoliatae","1954","07","05","59498","auto",NA,NA,NA,NA
"7","2019-08-27 13:27:45-03","IAP","PACA-AGP","9153","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Pamphalea","maxima","Pamphalea maxima","Less.","Emrich-Rambo","Rambo, B.",NA,"1942","01","26",NA,"Brasil","RS","Tupanciretã","Jari","-53.8358001708984","-29.0806007385254",NA,NA,NA,"Habitat: ad rivum in dumetosis Fenofase: flor","PACA009153",NA,"Magnoliatae","1954","07","05","59498","auto",NA,NA,NA,NA
"8","2019-08-27 13:27:45-03","IAP","PACA-AGP","9152","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Pamphalea","maxima","Pamphalea maxima","Less.","Emrich-Rambo","Rambo, B.",NA,"1942","01","26",NA,"Brasil","RS","Tupanciretã","Jari","-53.8358001708984","-29.0806007385254",NA,NA,NA,"VULNERÁVEL Habitat: in graminosis humidis dumetosis Fenofase: ju","PACA009152",NA,"Magnoliatae","1954","07","05","59498","auto",NA,NA,NA,NA
"9","2019-08-27 13:27:45-03","IAP","PACA-AGP","51408","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Pamphalea","maxima","Pamphalea maxima","Less.","Emrich-Rambo","Rambo, B.",NA,"1951","12","26",NA,"Brasil","RS","Vacaria","Passo do Socorro","-50.9338989257812","-28.5121994018555",NA,NA,NA,"VULNERÁVEL Habitat: ad rivum in dumetosis Fenofase: flor","PACA051408",NA,"Magnoliatae","1954","07","05","63451","auto",NA,NA,NA,NA
"10","2019-08-27 13:27:45-03","IAP","PACA-AGP","57482","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Pamphalea","maxima","Pamphalea maxima","Less.","Emrich-Rambo","Rambo, B.",NA,"1951","12","26",NA,"Brasil","RS","Vacaria","Passo do Socorro","-50.9338989257812","-28.5121994018555",NA,NA,NA,"VULNERÁVEL&nf;SEM MATERIAL Habitat: in araucarieto aperto Fenofase: flor","PACA057482",NA,"Magnoliatae","1954","07","05","63451","auto",NA,NA,NA,NA
