"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","relatedCatalogItem","dayIdentified","fieldNumber","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","02554197","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Doryopteris","rediviva","Doryopteris rediviva","Fée","Illegible collector name","s.n.","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2811239' target='other'> <mi>dwc_moreinfo</mi></a>","NY02554197","NY02554197_01 NY02554197_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1843713","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Doryopteris","rediviva","Doryopteris rediviva","Fée","R. Engelmann","RE1010","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2082721' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843713","NY01843713_01","R. Engelmann","2010","08","28","Rio de Janeiro","Teresópolis","Guapimirim. Parque Nacional da Serra dos Orgãos. Vale do Rio Soberbo.","-43.0228","-22.4822","780",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2017-05-17 10:21:00-03","NY","NYBG","02554198","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Doryopteris","rediviva","Doryopteris rediviva",NA,"R. Engelmann","RE1167","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2811240' target='other'> <mi>dwc_moreinfo</mi></a>","NY02554198","NY02554198_01",NA,"2010","10","19","Rio de Janeiro","Teresópolis","Travessia da Neblina. Parque Nacional da Serra dos Órgãos","-43.011389","-22.453611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","3108059","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Doryopteris","rediviva","Doryopteris rediviva","Fée","F. B. Matos","430","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3580795' target='other'> <mi>dwc_moreinfo</mi></a>","NY03108059","NY03108059_01",NA,"2005","02","12","Bahia","Arataca","Serra da Lontras, ca. de 7 km no ramal que liga o povoado de Itatinguí à Serra das Lontras.","-39.4081","-15.2028","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-08 20:48:41-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","03518","S","Plantae","Tracheophyta","Polypodiales","Pteridaceae","Doryopteris","rediviva","Doryopteris rediviva",NA,"P. G. Windisch","02/00","América do Sul","Brasil",NA,"GEOGRAFIA: Sobre pedra, local muito úmido.;",NA,NA,NA,"1970","02","20","Rio de Janeiro","Parque Nacional do Itatiaia",NA,NA,NA,NA,NA,"Polypodiopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 09:59:21-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","01250","S","Plantae","Tracheophyta","Polypodiales","Pteridaceae","Doryopteris","rediviva","Doryopteris rediviva",NA,"Gromboni, M.T.","11/53","América do Sul","Brasil",NA,"GEOGRAFIA: Rupícola com folhas carnosas, nervuras conspícuas mais claras em ambas superfícies, crescendo onde se acumulam materiais em decomposição em local alagado.;",NA,NA,NA,"1987","06","02","São Paulo","Atibaia",NA,"-46.5499992370605","-23.1100006103516",NA,NA,"Polypodiopsida","21675","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:26:11-03","UFBA","ALCB","036656","PreservedSpecimen","Plantae","Fern",NA,"Pteridaceae","Doryopteris","rediviva","Doryopteris rediviva","Fée","Melo, E; Funch, L; Santos, ES; Paraguassu, A; Silva, MP da; Argôlo, AS","PCD1382","Southern America","Brasil",NA,"0,15 m, crescendo sobre rochas. Frondes estéreis arredondadas passando a lobadas e férteis palmati-lobadas com soros na face dorsal. Ocasional.; Vegetação de campo rupestre. Afloramento rochoso.","ALCB001232","ALCB001232","Barros, L","1994","11","24","Bahia","Lençóis","Chapada Diamantina, Serra da Chapadinha","-41.416667","-12.45","750","750",NA,NA,NA,"1996","12","-41.416667","-12.45",NA,NA,NA,NA,NA
"8","2019-10-09 11:26:11-03","UFBA","ALCB","036655a","PreservedSpecimen","Plantae","Fern",NA,"Pteridaceae","Doryopteris","rediviva","Doryopteris rediviva","Fée","Giulietti, AM; Funch, L","PCD1606","Southern America","Brasil",NA,"entre pedras de um barranco pedregoso alto, na beira do rio.; Mata ciliar na beira da mata, entre as pedras. Rochas areníticas, solos litólicos e areia hidromórfica.","ALCB001231","ALCB001231","Barros, L","1995","02","06","Bahia","Lençóis","Chapada Diamantina, Serra da Chapadinha, ao longo do córrego Chapadinha","-41.45","-12.433333","600","600",NA,NA,NA,"1996","12","-41.45","-12.433333",NA,NA,NA,NA,NA
"9","2020-02-08 10:42:40-03","NBC","NL-BOTANY","U.1041672","PreservedSpecimen","Plantae",NA,"Polypodiales","Adiantaceae","Doryopteris","rediviva","Doryopteris rediviva","Fée","Lanstyack D",NA,"Southern America","Brazil",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1041672 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1041672","NL-U1041672","Cislinsky-Yesilyurt J","1937","04","01","São Paulo",NA,NA,NA,NA,NA,NA,"Pteropsida",NA,NA,NA,NA,NA,NA,"U 0015978 | 51625 B",NA,NA,NA,NA
"10","2019-08-27 13:36:19-03","IAP","PACA-AGP","77985","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Doryopteris","rediviva","Doryopteris rediviva","Fée","Hatschbach, G.","26015",NA,"Brasil",NA,"Prolífera! Hábito: rupícola","PACA077985",NA,"A. Sehnem SJ","1970","01","19","PR","Morretes","Serra do Marumbi","-48.834400177002","-25.476900100708","1000","1000","Filicopsida","30514","auto","1971","04",NA,NA,NA,"30",NA,NA,NA
"11","2019-08-27 13:36:19-03","IAP","PACA-AGP","77982","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Doryopteris","rediviva","Doryopteris rediviva","Fée","Sehnem, A.","1114",NA,"Brasil",NA,"Habitat: super rupem ad rivum","PACA077982",NA,"E. Leite","1941","03","03","SC","Florianópolis","Morro do Antão","-48.5491981506348","-27.596700668335","150","150","Filicopsida","27000","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
