"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","typeStatus","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2021-04-05 14:33:29-03","UNESC","CRI","7798","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","tenuis","Rhynchospora tenuis","Link","T. B. Guimarães","T. B. Guimarães; Daniel de Barcelos Falkenberg","835","2004","12","20","Brasil","Santa Catarina","Florianópolis","Parque Municipal das Dunas da Lagoa da Conceição, Ilha de Santa Catarina.","-48.48","-27.592222","48º28'48''W","27º35'32''S","17","17","Habitat: baixada eventualmente alagada, entre dunas na restinga Habito: erva","CRI002215","CRI002215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:11-03","UNESC","CRI","11785","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","tenuis","Rhynchospora tenuis","Link","P. Weber","P. Weber; R. E. Ardissone","49","2012","03","31","Brasil","Paraná","Balsa Nova",NA,"-49.643333","-25.580556","49º38'36''W","25º34'50''S","859","859","Habito: herbácea","CRI002214","CRI002214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:11-03","UNESC","CRI","12772","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","tenuis","Rhynchospora tenuis","Link","Renato Colares & Aline V. Guislon","Alexandre Medeiros",NA,"2017","05","22","Brasil","Santa Catarina","Balneário Camboriú","Laranjeiras.","-48.6347007751465","-26.9906005859375",NA,NA,NA,NA,"Coleta 361. Habito: Herbácea","CRI011036",NA,"2017","11","14","8793","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:38:39-03","E","E","208218","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","tenuis","Rhynchospora tenuis",NA,NA,"Harley, R.M.","22101","1980","05","15","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00208218 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00208218",NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:218905",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:38:39-03","E","E","207550","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","tenuis","Rhynchospora tenuis",NA,NA,"Morong, Thomas","1566",NA,NA,NA,"PY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00207550 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00207550",NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:219481",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:38:39-03","E","E","69050","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","tenuis","Rhynchospora tenuis",NA,NA,"Harley, R.M., de Mello-Silva, R., Cordeiro, I. & Rossi, L.","26290","1988","11","26","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00069050 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00069050",NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:76713",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:38:39-03","E","E","254910","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","tenuis","Rhynchospora tenuis",NA,NA,"Pirani, J.R.; Stannard, B.L.; Edwards, K.; Lughadha, E.Nic",NA,"1992","01","24","BR","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00254910 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00254910",NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:315779",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:38:39-03","E","E","254909","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","tenuis","Rhynchospora tenuis",NA,NA,"Hind, D.J.N.; Queiroz, R.F.",NA,"1992","01","10","BR","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00254909 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00254909",NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:315778",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:38:39-03","E","E","56584","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","tenuis","Rhynchospora tenuis",NA,NA,"Joly, A.B., Semir, J. & Ugadim, Y.","160","1970","06","06","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00056584 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00056584",NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:63998",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:38:39-03","E","E","254904","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","tenuis","Rhynchospora tenuis",NA,NA,"Stannard, B.; Ganev, W.; Queiroz, R.F.",NA,"1992","02","05","BR","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00254904 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00254904",NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:315773",NA,NA,NA,NA,NA,NA,NA,NA,NA
