"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","individualCount","occurrenceRemarks","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","typeStatus","recordNumber","continentOcean","locality","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","verbatimLongitude","verbatimLatitude","class","fieldNumber","sex"
"1","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","2908","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","hoehneana","Vriesea hoehneana","L.B.Sm.","Elton. C. M. Leme","2011","08","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","647","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","hoehneana","Vriesea hoehneana","L.B.Sm.","Elton. C. M. Leme","2011","08",NA,"254","Oscar Ribeiro; Helenice Ribeiro","2003","08","06","Brasil","Bahia","Jacobina","-40.5182991027832","-11.1806001663208","62396","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","400492","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","hoehneana","Vriesea hoehneana","L.B.Sm.","L. B. Smith",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=236514' target='other'> <mi>dwc_moreinfo</mi></a>","F. C. Hoehne","1924","01","12","Brazil","São Paulo","Ribeirao Pires","-46.4097","-23.71",NA,NA,"syntype","9478","South America","Campo Grande. Terreno da Estaçao Biologica do Alto da Serra","sheet","NY00400492","NY00400492_01",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","400493","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","hoehneana","Vriesea hoehneana","L.B.Sm.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=236515' target='other'> <mi>dwc_moreinfo</mi></a>","R. Reitz","1958","01","10","Brazil","Santa Catarina","Campo Alegre","-49.2656","-26.1925",NA,NA,NA,"6135","South America","Morro do Iquererim, Campo Alegre","sheet","NY00400493","NY00400493_01","1300","1300",NA,NA,NA,NA,NA,NA
"5","2019-12-04 15:26:26-03","PUCPR","HUCP","20227","S","Plantae","Monocotiledonea",NA,"Bromeliaceae","Vriesea","hoehneana","Vriesea hoehneana","L.B. Sm.","Kersten, RA",NA,NA,NA,NA,"Selusniaki, M","2008","07","11","Brasil","Paraná","Colombo","-49.2242012023926","-25.2917003631592","13536","auto",NA,"2751",NA,"Santa Mônica Clube de Campo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-04 15:26:26-03","PUCPR","HUCP","19917","S","Plantae","Monocotiledonea",NA,"Bromeliaceae","Vriesea","hoehneana","Vriesea hoehneana","L.B. Sm.","Kersten, RA",NA,NA,NA,NA,"Kersten, RA","2008","12","04","Brasil","Paraná","Piraquara","-49.0633010864258","-25.4416999816895","12577","auto",NA,"1333",NA,NA,NA,"HUCP00006636","HUCP00006636",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-07 08:35:15-03","MN","R","239934","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","hoehneana","Vriesea hoehneana","L.B. Sm.","Kessous, I.M.","2020","03",NA,NA,"Kessous, I.M. 380; Silva, N.G., Pinto, A.R. & Souza, R.","2020","03","06","Brasil","Minas Gerais","Santana do Riacho","-43.519167","-19.158611",NA,NA,NA,NA,NA,"Estrada Jaboticatubas- Conceição do Mato Dentro. Estrada de terra na beira da estrada. 1350 m.s.m.",NA,"R010071892,R010071893,R010071894,R010071895,R010071896",NA,"1350","1350","06","43°31'9W","19°9'31S",NA,NA,NA
"8","2020-12-20 21:16:28-03","UFV","VIC","27784","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","hoehneana","Vriesea hoehneana","Smith, L.B.","Coser, T.S.","2017","03",NA,"Afloramento rochoso, Saxícola, folhas verdes, ápice escuro com uma pequena fenda. Escapo e inflorescência verde. Brácteas escapais, primárias e florais verdes com rajados e ápice morro. Fruto verde.","Coser, T. .S.; Lambertucci, B.; Dayrell. L.s; Araújo, R.S.","2007","03","13","Brasil","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto",NA,"63",NA,"Parque Estadual do Itacolomi, Trilha seca, em Campo Rupestre.",NA,"VIC027784","VIC027784",NA,NA,"13",NA,NA,NA,NA,NA
"9","2020-12-20 21:16:28-03","UFV","VIC","026300","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","hoehneana","Vriesea hoehneana","Smith, L.B.",NA,NA,NA,NA,"Afloramento rochoso, saxicola, folhas verdes, ápice escuro com uma fenda pequena. Brácteas escapais, prmarias e florais verdes com rajado e ápice marrom,. Flores de sépalas verdes e pétalas amarelas. Filete verde e anteras amareladas,e","Coser, T.; et al.","2006","11","27","Brasil","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto",NA,"40",NA,"PEI, Trilha da lagoa seca, em campo rupestre.",NA,"VIC026300","VIC026300 VIC026300_1",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-20 21:16:28-03","UFV","VIC","026301","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","hoehneana","Vriesea hoehneana","Smith, L.B.",NA,NA,NA,NA,"Afloramento rochosomsaxicola,folhas verdes,ápice escuro com uma pequena fenda. Brácteas escapais,primárias e florais verdes com rajados e ápice marrom. Flores de sépalas verdes e pétalas amareladas. Filete verde e anteras amarelas,esti","Coser, T.; et al.","2006","11","27","Brasil","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto",NA,"41",NA,"PEI, Trilha da lagoa seca, em campo rupestre.",NA,"VIC026301","VIC026301 VIC026301_1",NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-12-20 21:16:28-03","UFV","VIC","026302","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","hoehneana","Vriesea hoehneana","Smith, L.B.",NA,NA,NA,NA,"Afloramento rochoso, saxicola, folhas verdes, ápice escuro com uma fenda pequena. Brácteas escapais, prmarias e florais verdes com rajado e ápice marrom,. Flores de sépalas verdes e pétalas amarelas. Filete verde e anteras amareladas,e","Coser, T.; et al.","2006","11","27","Brasil","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto",NA,"s.n.",NA,"PEI, Trilha da lagoa seca. em campo rupestre.",NA,"VIC026302","VIC026302 VIC026302_1",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-20 21:16:28-03","UFV","VIC","027785","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","hoehneana","Vriesea hoehneana","Smith, L.B.",NA,NA,NA,NA,NA,"Coser, T.","2007","12","09","Brasil","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697","44599","auto",NA,"s.n.",NA,"PEI, Trilha da lagoa seca. Em campo rupestre.",NA,"VIC027785","VIC027785 VIC027785_1",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-20 21:16:28-03","UFV","VIC","34794","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","hoehneana","Vriesea hoehneana","Smith, L.B.","Machado, T.M.","2016","11",NA,"Saxícola. Bainha foliar castanha. Lâmina arroxeada do meio para o ápice. Inflorescência ramificada, mas havia também indivíduos de inf. simples.","Paixão-Souza, B.; Guarçoni, E.","2011","05","22","Brasil","Minas Gerais","Santana do Riacho","-43.7144012451172","-19.1688995361328","26557","auto",NA,"69",NA,"Serra do Cipó",NA,"VIC034794","VIC034794 VIC034794_2",NA,NA,"16",NA,NA,NA,NA,NA
"14","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0004114","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","hoehneana","Vriesea hoehneana","L.B.Sm.","G. Hatschbach, 1999",NA,NA,NA,"Terricola, inflorescencia ate 2 m, flor amarelo palido.","J. M. Silva; O. S. Ribas, J. Cordeiro, E. Barbosa","1998","12","29","Brazil","Santa Catarina",NA,"-49.265918","-26.192803",NA,NA,NA,"2810",NA,"Serra do Quiriri (Mun. Campo Alegre).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-11-21 14:32:59-03","UFJF","CESJ","13227","PreservedSpecimen","Plantae","Angiosperma",NA,"Bromeliaceae","Vriesea","hoehneana","Vriesea hoehneana","L.B.Sm.","M.G.C.Nogueira","2012","08",NA,"Em mata rala, na beira do rio, roseta grande, muito foliosa, pedúnculo de 1,5m e brácteas acastanhadas, flores amarelas.","L. Krieger","1973","11","03","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"CESJ13227","América do Sul","Serra de Ibitipoca, Beira do Rio do Salto.",NA,"CESJ013227",NA,NA,NA,"23",NA,NA,NA,NA,NA
