"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","yearIdentified","relatedCatalogItem","monthIdentified","dayIdentified","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","539260","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Sebastiania","gaudichaudii","Sebastiania gaudichaudii","(Müll.Arg.) Müll.Arg.","G. L. Webster","W. W. Thomas","8942","1992","01","29","South America","Brazil","Bahia","Ilhéus","Along rd. from Olivença to Maruim, 3.2 km SW of Olivença.","-39.05","-14.97","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=614366' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539260","NY00539260_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","590249","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Sebastiania","gaudichaudii","Sebastiania gaudichaudii","(Müll.Arg.) Müll.Arg.","G. L. Webster","W. W. Thomas","10798","1995","01","17","South America","Brazil","Bahia","Ilhéus","3 km north of Rodoviaria, Mata da Esperança, forest north of dam and reservoir","-39.0692","-14.7819","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=614369' target='other'> <mi>dwc_moreinfo</mi></a>","NY00590249","NY00590249_01","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","539265","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Sebastiania","gaudichaudii","Sebastiania gaudichaudii","(Müll.Arg.) Müll.Arg.","D. C. Daly","J. L. Paixão","19","1997","08","17","South America","Brazil","Bahia","Almadina","Rod. Almadina/Ibitupá, entrada a 7 km, Serra dos Sete-Paus, ca. 12 km da entrada. Fazenda Cruzeiro do Sul","-39.7","-14.73","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=614368' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539265","NY00539265_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1033196","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Sebastiania","gaudichaudii","Sebastiania gaudichaudii","(Müll.Arg.) Müll.Arg.",NA,"W. J. Burchell","792","1825","08","16","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Along the aqueduct a mile and half above the convent of Santa Teresa (in the old part of Rio)","-43.195652","-22.930074","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1216169' target='other'> <mi>dwc_moreinfo</mi></a>","NY01033196","NY01033196_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","539262","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Sebastiania","gaudichaudii","Sebastiania gaudichaudii","(Müll.Arg.) Müll.Arg.",NA,"L. A. Mattos Silva","3425","1996","03","27","South America","Brazil","Bahia","Ilhéus","Campus na Universidade Estadual de Santa Cruz (UESC), km 16 da Rod. Ilhéus/Itabuna (BR 415)","-39.17","-14.8","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=614371' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539262","NY00539262_01","40","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00835813","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Sebastiania","gaudichaudii","Sebastiania gaudichaudii","(Müll.Arg.) Müll.Arg.","G. L. Webster","W. W. Thomas","10681","1994","09","28","South America","Brazil","Bahia","Ilhéus","2.0 km. NNE of Banco da Vitoria on road leading to W edge of Mata da Esperança.","-39.0911","-14.7772","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=156157' target='other'> <mi>dwc_moreinfo</mi></a>","NY00835813","NY00835813_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","539259","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Sebastiania","gaudichaudii","Sebastiania gaudichaudii","(Müll.Arg.) Müll.Arg.","G. L. Webster","W. W. Thomas","9412","1992","11","14","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-IeÔo (IBAMA), 46 km north on BA-001 between Ilhéus and Una","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=614364' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539259","NY00539259_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","539267","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Sebastiania","gaudichaudii","Sebastiania gaudichaudii","(Müll.Arg.) Müll.Arg.","G. Bromley","R. M. Harley","18311","1977","01","28","South America","Brazil","Bahia","Itacaré","Itacaré, near the mouth of the Rio de Contas","-38.991009","-14.275193","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=614361' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539267","NY00539267_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","539263","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Sebastiania","gaudichaudii","Sebastiania gaudichaudii","(Müll.Arg.) Müll.Arg.","G. L. Webster","A. M. V. de Carvalho","3616","1991","09","07","South America","Brazil","Bahia","Uruçuca","Distrito de Serra Grande. 7.3 km na estrada Serra Grande/Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz","-39.0617","-14.4231","sheet","Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=614362' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539263","NY00539263_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","539266","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Sebastiania","gaudichaudii","Sebastiania gaudichaudii","(Müll.Arg.) Müll.Arg.",NA,"L. Riedel",NA,NA,NA,NA,"South America","Brazil",NA,NA,"{From protologue: Ad Serra da Piedade]",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=614373' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539266","NY00539266_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","685134","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Sebastiania","gaudichaudii","Sebastiania gaudichaudii","(Müll.Arg.) Müll.Arg.","G. L. Webster","S. A. Mori","10787","1978","10","18","South America","Brazil","Bahia","Santa Cruz Cabrália","Arredores da Estação Ecológica do Pau-brasil (ca. 17 km a W de Porto Seguro), estrada velha de Santa Cruz de Cabrália, 4-6 km a E da sede da Estação. Folha SE-24 (16-39c)","-39.1441852","-16.3681257","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=886964' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685134","NY00685134_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","539264","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Sebastiania","gaudichaudii","Sebastiania gaudichaudii","(Müll.Arg.) Müll.Arg.",NA,"L. A. Mattos Silva","3347","1996","02","08","South America","Brazil","Bahia","Ilhéus","Distrito de Castelo Novo. Fazenda Almada. Coletas no km 4 na estrada para a Estaçao Experimental do Almada e o Povodao de Ribeira das Pedras. Entrada no km 20 da Rod. Ilhéus/Uruçuca","-39.0492","-14.7892","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=614372' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539264","NY00539264_01","110","110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","539261","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Sebastiania","gaudichaudii","Sebastiania gaudichaudii","(Müll.Arg.) Müll.Arg.","G. L. Webster","W. W. Thomas","9708","1993","02","03","South America","Brazil","Bahia","Ilhéus","Road from Olivença to Serra das Trempes, 6 km from Olivença","-39.05","-14.98","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=614365' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539261","NY00539261_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","539257","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Sebastiania","gaudichaudii","Sebastiania gaudichaudii","(Müll.Arg.) Müll.Arg.",NA,"W. W. Thomas","7601","1991","07","01","South America","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz","-39.0617","-14.4231","sheet","Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=614370' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539257","NY00539257_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00835837","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Sebastiania","gaudichaudii","Sebastiania gaudichaudii","(Müll.Arg.) Müll.Arg.","G. L. Webster","W. W. Thomas","10666","1994","09","28","South America","Brazil","Bahia","Ilhéus","2.0 km NNE of Banco da Vitoria on road leading to west edge of Mata da Esperança","-39.0911","-14.7772","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=156147' target='other'> <mi>dwc_moreinfo</mi></a>","NY00835837","NY00835837_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
