"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","fieldNumber","year","month","day","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","kingdom","identifiedBy","yearIdentified","recordNumber","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","continentOcean","phylum","class","sex"
"1","2016-04-13 15:15:28-03","MNHN","RECOLNAT_MNHN_P","P00080043","PreservedSpecimen","Monimiaceae","Mollinedia","longicuspidata","Mollinedia longicuspidata","Perkins","isotype","Glaziou, A.","17763","1888","12","10","Brésil","(Rio Jan.) Alto Macahé","hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00080043' target='other'> <mi>dwc_moreinfo</mi></a>","P00080043","P00080043_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-04-13 15:15:31-03","MNHN","RECOLNAT_MNHN_P","P00080044","PreservedSpecimen","Monimiaceae","Mollinedia","longicuspidata","Mollinedia longicuspidata","Perkins","isotype","Glaziou, A.","17763","1888","12","10","Brésil","(Rio Jan.) Alto Macahé","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00080044' target='other'> <mi>dwc_moreinfo</mi></a>","P00080044","P00080044_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-09-03 18:55:55-03","MNHN","RECOLNAT_MNHN_P","P00080045","PreservedSpecimen","Monimiaceae","Mollinedia","longicuspidata","Mollinedia longicuspidata","Perkins","isotype","Glaziou, A.","17763","1888","12","10","Brésil","(Rio Jan.) Alto Macahé","hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00080045' target='other'> <mi>dwc_moreinfo</mi></a>","P00080045","P00080045_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-11 17:20:28-03","UFPR","UPCB","49476","PreservedSpecimen","Monimiaceae","Mollinedia","aff. longicuspidata","Mollinedia aff. longicuspidata","Perkins",NA,"Scheer, M.B.",NA,"2003","09","13","Brasil","Serra do Ibitiraquire, Pico Ferraria",NA,"Arbórea ereta 2m. Floresta ombrófila densa altomontana. Alt.: 1680m s.n.m..",NA,NA,"Plantae","Lirio, E. J.","2018","595","Paraná","Campina Grande do Sul","-49.0553016662598","-25.3055992126465","55154","auto",NA,NA,NA,NA
"5","2009-07-27 09:32:00-03","MO","MOBOT","3122610","PreservedSpecimen","Monimiaceae","Mollinedia","longicuspidata","Mollinedia longicuspidata","Perkins",NA,"Auguste F.M. Glaziou",NA,"1888",NA,NA,"Brazil",NA,NA,NA,NA,NA,"Plantae",NA,NA,"Glaziou 17763",NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA
"6","2019-09-04 19:42:20-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Monimiaceae","Mollinedia","longicuspidata","Mollinedia longicuspidata",NA,"Holotype","A. Glaziou",NA,"1889","12","10","Brazil",NA,NA,NA,NA,NA,"Plantae",NA,NA,"17763",NA,NA,"-52.8731","-10.8339",NA,NA,"South America","Spermatophyta","Dicotyledoneae",NA
"7","2019-01-23 11:19:47-02","F","FMNH-SEEDPLANTS","V0064231F","PreservedSpecimen","Monimiaceae","Mollinedia","longicuspidata","Mollinedia longicuspidata",NA,"Isotype","A. Glaziou",NA,NA,NA,NA,"Brazil",NA,NA,NA,"V0064231F","V0064231F_01","Plantae",NA,NA,"17763",NA,NA,"-52.8731","-10.8339",NA,NA,"South America","Spermatophyta","Dicotyledoneae",NA
"8","2010-08-16 16:41:10-03","GH","HU-HERB","GH 00041008","PreservedSpecimen","Monimiaceae","Mollinedia","longicuspidata","Mollinedia longicuspidata","Perkins","Type","A. F. M. Glaziou","17763",NA,NA,NA,"Brazil","Alto Macahe de Nova Friburgo","Sheet",NA,NA,NA,"Plantae",NA,NA,"17763","Rio de Janeiro",NA,NA,NA,NA,NA,"South America",NA,NA,"undetermined"
