"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","infraspecificEpithet","typeStatus","class","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","486828","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","itatiaiae","Symplocos itatiaiae","Wawra","G. G. Hatschbach","19719","1968","09","12","South America","Brazil","Paraná","Balsa Nova","Barra Rio Papagaios","-49.6356","-25.5842","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742568' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486828","NY00486828_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","486833","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","itatiaiae","Symplocos itatiaiae","Wawra","L. B. Smith","7785","1956","11","18","South America","Brazil","Santa Catarina","Santo Amaro da Imperatriz","Head of gulf, eastern edge of Campo dos Padres, Dist. Anitapolis","-48.7783","-27.6883","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742564' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486833","NY00486833_01","L. B. Smith","1600","1600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","486832","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","itatiaiae","Symplocos itatiaiae","Wawra","R. Reitz","9858","1960","09","07","South America","Brazil","Santa Catarina","Sao José","Serra da Boa Vista, S. José","-48.6272","-27.6156","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742561' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486832","NY00486832_01","L. B. Smith","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","486831","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","itatiaiae","Symplocos itatiaiae","Wawra","G. G. Hatschbach","16821","1967","08","02","South America","Brazil","Paraná","Campina Grande do Sul","Pico Caratuva","-48.829656","-25.241299","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742560' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486831","NY00486831_01","L. B. Smith; S. F. Smith","1800","1800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","486826","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","itatiaiae","Symplocos itatiaiae","Wawra","J. Mattos","2071","1968","10","15","South America","Brazil","Minas Gerais","Camanducaia","Fazenda Bela Vista","-46.1444","-22.7556","sheet","Pollen sample removed: Paulo E. de Olivencia, Ohio State Univ., 12 April 92 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742565' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486826","NY00486826_01","J. Mattos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","486829","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","itatiaiae","Symplocos itatiaiae","Wawra","R. Reitz","17650","1965","12","14","South America","Brazil","Paraná","Guarapuava","10 km ao oeste de Guarapuava","-51.5831495","-25.394435","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742562' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486829","NY00486829_01","L. B. Smith","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","486834","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","itatiaiae","Symplocos itatiaiae","Wawra","A. F. M. Glaziou","11168","1879","09","08","South America","Brazil","São Paulo","Bocaina","Campos da Bocaina","-44.684548","-23.029725","sheet","donné par Mme SIMARD, as fille, en 1907 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742566' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486834","NY00486834_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","486827","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","itatiaiae","Symplocos itatiaiae","Wawra","R. Reitz","4917","1957","09","07","South America","Brazil","Santa Catarina","Campos Novos","Mafra","-49.810717","-26.134487","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742563' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486827","NY00486827_01","L. B. Smith","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","720396","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","itatiaiae","Symplocos itatiaiae","Wawra","J. M. A. Braga","2335","1995","04","26","South America","Brazil","Rio de Janeiro",NA,"Parque Nacional do Itatiaia. Final da estrada para o Pico das Agulhas Negras.","-44.73333","-22.35833","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2501045' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720396","NY00720396_01",NA,"2300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","486825","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Symplocaceae","Symplocos","itatiaiae","Symplocos itatiaiae","Wawra","K. Kubitzki","8412","1984","02","28","South America","Brazil","Rio de Janeiro","Itatiaia","Serra da Mantiqueira, nahe Serra das Agulhas Negras","-44.658333","-22.384444","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=742567' target='other'> <mi>dwc_moreinfo</mi></a>","NY00486825","NY00486825_01",NA,"2220","2220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
