"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","county","decimalLongitude","decimalLatitude","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2020-09-23 10:41:26-03","E","E","247201","PreservedSpecimen","Plantae","Marantaceae","Thalia","geniculata","Thalia geniculata","Ratter, J.A.; Pott, Arnildo; Bastos & Eduardo Kunze","5033","1984","08","29","E. Tropical South America","BR","Mato Grosso Do Sul","Near Porto de Mnaga, c. 30 km from Corumba.","herbarium specimen of unspecif","BGBASE:266395","<a href=http://data.rbge.org.uk/herb/E00247201 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00247201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","910340","PreservedSpecimen","Plantae","Marantaceae","Thalia","geniculata","Thalia geniculata","L. Andersson","1610","1986","01","29","South America","Brazil","Mato Grosso","Rodovia Transpantaneira (MT-60) c. 30 km S of Poconé.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983241' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910340","Magnoliophyta","Zingiberales","L.","Poconé","-56.6228","-16.2569","NY00910340_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","306107","PreservedSpecimen","Plantae","Marantaceae","Thalia","geniculata","Thalia geniculata","M. H. Nee","48504","1998","02","28","South America","Bolivia","Santa Cruz","Along highway from Santa Cruz to Abapó, 2 km S of crossing of railroad and 1 km S of bridge over Quebrada Pejí.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=37612' target='other'> <mi>dwc_moreinfo</mi></a>","NY00306107","Magnoliophyta","Zingiberales","L.","Andrés Ibáñez","-63.18","-17.97",NA,"M. H. Nee","450","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1292325","PreservedSpecimen","Plantae","Marantaceae","Thalia","geniculata","Thalia geniculata","H. S. Irwin","48792","1960","10","17","South America","Brazil","Amapá","Rio Oiapoque, Near Mt. Tipac","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1761595' target='other'> <mi>dwc_moreinfo</mi></a>","NY01292325","Magnoliophyta","Zingiberales","L.",NA,"-51.32","3.6","NY01292325_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","584094","PreservedSpecimen","Plantae","Marantaceae","Thalia","geniculata","Thalia geniculata","S. A. Mori","11526","1979","03","14","South America","Brazil","Bahia","Rodovia BA-265, km 10 do trecho BR-415 (cruzamento)/Caatiba e a 17 km NW de Itapetinga em linha reta, próx. a Faz. Sao Joao","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=37624' target='other'> <mi>dwc_moreinfo</mi></a>","NY00584094","Magnoliophyta","Zingiberales","L.","Itambé","-40.6242","-15.245","NY00584094_01",NA,"400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","584097","PreservedSpecimen","Plantae","Marantaceae","Thalia","geniculata","Thalia geniculata","L. R. H. Bicudo","139","1998","10","14","South America","Brazil","São Paulo","Rio do Peixe, estrada de Panorama a Campinal","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=37625' target='other'> <mi>dwc_moreinfo</mi></a>","NY00584097","Magnoliophyta","Zingiberales","L.",NA,"-51.09","-21.5538889","NY00584097_01",NA,"290","290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1292323","PreservedSpecimen","Plantae","Marantaceae","Thalia","geniculata","Thalia geniculata","G. T. Prance","12021","1971","04","17","South America","Brazil","Acre","Rio Moa, between Igarapes Pentecost and Ipiranga","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1761593' target='other'> <mi>dwc_moreinfo</mi></a>","NY01292323","Magnoliophyta","Zingiberales","L.","Mâncio Lima","-72.8956","-7.6144","NY01292323_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","584136","PreservedSpecimen","Plantae","Marantaceae","Thalia","geniculata","Thalia geniculata","J. N. Rose","22470","1918","08","30","South America","Ecuador",NA,"Vicinity of Guayaquil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=37623' target='other'> <mi>dwc_moreinfo</mi></a>","NY00584136","Magnoliophyta","Zingiberales","L.",NA,"-79.94985","-2.175392",NA,"B. L. Andersson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-12-15 15:19:00-02","NY","NYBG","1292326","PreservedSpecimen","Plantae","Marantaceae","Thalia","geniculata","Thalia geniculata","R. Scolnik","697","1948","01","23","South America","Brazil",NA,"Río Colorado, afluente del Guaporé (Territorio do Guaporé)","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1761596' target='other'> <mi>dwc_moreinfo</mi></a>","NY01292326","Magnoliophyta","Zingiberales",NA,NA,NA,NA,"NY01292326_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","910336","PreservedSpecimen","Plantae","Marantaceae","Thalia","geniculata","Thalia geniculata","F. E. Drouet","2645","1935","10","24","South America","Brazil","Ceará","Lagoa Piarri, Mecejana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983230' target='other'> <mi>dwc_moreinfo</mi></a>","NY00910336","Magnoliophyta","Zingiberales","L.","Fortaleza","-38.5431","-3.7172","NY00910336_01","L. B. Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
