"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","infraspecificEpithet","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","fieldNumber","individualCount","relatedCatalogItem"
"18","2019-10-18 16:49:46-03","IAP","PACA-AGP","5396","PreservedSpecimen","Plantae","Magnoliophyta","Cyperales","Cyperaceae","Cladium","mariscus","Cladium mariscus","(L.) Pohl",NA,NA,NA,NA,NA,NA,"Alemanha",NA,NA,NA,NA,NA,NA,"Sammlung Pöther.","PACA005396",NA,"sem det.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Liliatae",NA,NA,NA
"19","2019-08-27 13:25:25-03","IAP","PACA-AGP","46102","PreservedSpecimen","Plantae","Magnoliophyta","Cyperales","Cyperaceae","Cladium","mariscus","Cladium mariscus","(L.) Pohl","Rambo, B.",NA,"1950","03","06",NA,"Brasil","RS","Osório","Fazenda do Arroio","-50.2696990966797","-29.8866996765137",NA,"SEM MATERIAL Habitat: in paludosis alte dumetosis Fenofase: flor e fruto","PACA046102",NA,"Emrich-Rambo","1954","06","25","27350","auto",NA,NA,NA,NA,NA,"Liliatae",NA,NA,NA
"20","2019-08-27 13:25:25-03","IAP","PACA-AGP","45125","PreservedSpecimen","Plantae","Magnoliophyta","Cyperales","Cyperaceae","Cladium","mariscus","Cladium mariscus","(L.) Pohl","Rambo, B.",NA,"1950","01","04",NA,"Brasil","RS","Osório","Fazenda do Arroio","-50.2696990966797","-29.8866996765137",NA,"Habitat: In paludosis alte dumetosis. Fenofase: flor e fruto","PACA045125",NA,"Emrich-Rambo","1954","07","25","27350","auto",NA,NA,NA,NA,NA,"Liliatae",NA,NA,NA
"21","2019-08-27 13:25:25-03","IAP","PACA-AGP","66430","PreservedSpecimen","Plantae","Magnoliophyta","Cyperales","Cyperaceae","Cladium","mariscus","Cladium mariscus","(L.) Pohl","W. D. Clayton","4699","1965","02","16",NA,"Brasil","SP","Cananéia","Ilha Comprida, Barra de Cananeia","-47.9199981689453","-25.0100002288818",NA,NA,"PACA066430",NA,"A. C. Araujo","1996","08","19","37574","auto",NA,NA,NA,NA,NA,"Liliatae",NA,NA,NA
"22","2019-10-07 15:24:38-03","IAP","PACA-AGP","54398","PreservedSpecimen","Plantae","Magnoliophyta","Cyperales","Cyperaceae","Cladium","mariscus","Cladium mariscus subsp. jamaicense","(Crantz) Kük.","Reitz, R.","6736","1952","12","18",NA,"Brasil","SC","Massiambú p. Palhoça",NA,NA,NA,NA,"Habitat: In paludosis alte graminosis.","PACA054398",NA,"Barros","1955","05","05",NA,NA,"subsp. jamaicense",NA,NA,NA,NA,"Liliatae",NA,NA,NA
"23","2019-10-18 16:49:46-03","IAP","PACA-AGP","85133","PreservedSpecimen","Plantae","Magnoliophyta","Cyperales","Cyperaceae","Cladium","mariscus","Cladium mariscus subsp. jamaicense","(Crantz) Kük.","Mauhs, J.",NA,"1998","01","08",NA,"Brasil","SC","Içara","Baln. Rincao","-49.2999992370605","-28.7133007049561",NA,"Habitat: Dominante em banhado. Hábito: erva","PACA085133",NA,"J. Mauhs","1998","05","15","18492","auto","subsp. jamaicense",NA,NA,NA,NA,"Liliatae",NA,NA,NA
"24","2021-04-07 11:42:35-03","UFMS","CGMS","49424","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Cladium","mariscus","Cladium mariscus jamaicense","(Crantz) Kük.","V.J. Pott; E. Scremin-Dias; A. Pott","8580","2005","12","13",NA,"Brasil","Mato Grosso do Sul","Porto Murtinho","Fazenda Laudejá.","-56.7433333","-21.1266667",NA,"Habitat: Campo úmido de água corrente. Solo argiloso de origem calcária. Relevo plano. Dominante. Habito: Erva aquática anfíbia. 1,00 - 3,00 m de altura.","CGMS1079358",NA,NA,"2020",NA,NA,NA,NA,"jamaicense","-56,7433333","-21,1266667","505","505",NA,NA,NA,NA
"25","2021-04-07 11:42:35-03","UFMS","CGMS","69330","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Cladium","mariscus","Cladium mariscus jamaicense","(Crantz) Kük.","V.J. Pott; A. Pott; G. Catian","12327","2016","10","21",NA,"Brasil","Mato Grosso do Sul","Bonito","Fazenda Gramado. Banhado do Rio da Prata.","-56.6013889","-21.3930555",NA,"Fruto castanho. Habitat: Campo úmido, navalhal. Solo hidromórfico orgânico. Relevo plano. Habito: Erva aquática emergente. 1,3-1,4 m de altura, escapo 2,0 m de altura. Dominante.","CGMS1102288",NA,NA,"2020",NA,NA,NA,NA,"jamaicense","-56,6013889","-21,3930555","349","349",NA,NA,NA,NA
"26","2021-04-07 11:42:35-03","UFMS","CGMS","71603","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Cladium","mariscus","Cladium mariscus jamaicense","(Crantz) Kük.","J.V. Gonzalez; W.L.C. Tabosa, D.P.F.L. Maidana, V.J. Pott.","614","2018","10","31",NA,"Brasil","Mato Grosso do Sul","Bonito","Fazenda Marambaia. Lagoa. Parque Nacional da Serra da Bodoquena.","-56.7086111","-20.965",NA,"Espigueta marrom; caule oco Habitat: Lagoa Habito: Planta Aquática Emergente","CGMS1104406",NA,"V.J. Pott","2018","10","31",NA,NA,"jamaicense","-56,7086111","-20,965","666","666",NA,NA,NA,NA
"27","2021-04-07 11:42:35-03","UFMS","CGMS","49132","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Cladium","mariscus","Cladium mariscus jamaicense","(Crantz) Kük.","V.J. Pott; E. Scremin-Dias; M.R. Sigrist; P.R. Souza","5724","2002","08","27",NA,"Brasil","Mato Grosso do Sul","Bonito","Fazenda São Geraldo, Rio Sucuri, 200 m da nascente, lado esquerdo do rio.","-56.5583333","-21.2655556",NA,"Fruto marrom. Habitat: Barranco de rio. Solo calcário. Relevo levemente inclinado. Muito frequente. Habito: Erva aquática anfíbia.","CGMS1079078",NA,NA,"2020",NA,NA,NA,NA,"jamaicense","-56,5583333","-21,2655556",NA,NA,NA,NA,NA,NA
