"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","day","stateProvince","county","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","individualCount","identifiedBy","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","273437","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Chrysophyllum","ovale","Chrysophyllum ovale","Rusby","holotype","O. E. White","1384A","1922","02","South America","Bolivia","Cachuela Esperanza","-65.5842751","-10.5377127","152.4","152.4","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=605527' target='other'> <mi>dwc_moreinfo</mi></a>","NY00273437","NY00273437_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:49:07-03","EAO","IAN","178817","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Chrysophyllum","ovale","Chrysophyllum ovale","Rusby",NA,"Freitas, JC; Ferreira, GC; Melo, ATS de; Carmo, NAS do; Nascimento, MP do","118","2003","02","Southern America","Brasil","Campo Experimental da Embrapa Amazônia Oriental, rodovia PA-150, Km-34.","-48.801222","-2.169861",NA,NA,NA,"Árvore 25m alt. x DAP; tronco reto; base digitada; ritidoma marrom claro com fissuras pouco profundas e verticais; casca morta marrom escura, 1mm espess.; casca viva vermelho clara, 0,5mm espess.; alburno amarelo com látex branco;","IAN178817",NA,"18","Pará","Moju","-48.801222","-2.169861",NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:04:04-03","NBC","NL-BOTANY","L.2651765","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Chrysophyllum","ovale","Chrysophyllum ovale","Rusby",NA,"Ule EHG",NA,"1911","12","Southern America","Brazil","Bl. grunlich meiss, Bm 25-40m, Morte Mo. Rio Acre.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2651765 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2651765","NL-L2651765","01",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"4","2013-04-01 09:16:11-03","IPT","BCTW","5513","S","Plantae","Magnoliophyta",NA,NA,"Chrysophyllum","ovale","Chrysophyllum ovale","Rusby",NA,NA,NA,NA,NA,NA,"Brasil","Reserva Florestal da Cia Vale do Rio Doce (CVRD)","-40.0722","-19.3911",NA,NA,NA,NA,NA,NA,NA,"Espírito Santo","Linhares",NA,NA,"Magnoliopsida","48094","auto",NA,NA,NA,NA
"5","2009-09-30 11:38:00-03","MO","MOBOT","1393263","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","ovale","Chrysophyllum ovale","Rusby","Holotype","Orland E. White","White 1384A","1921","2","South America","Bolivia","Esperanza Falls",NA,NA,"152.40000000",NA,NA,NA,NA,NA,NA,"Beni",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"6","2011-06-08 11:53:00-03","MO","MOBOT","1796519","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","ovale","Chrysophyllum ovale","Rusby",NA,"José Schunke V.","Schunke Vigo 8648","1975","11","South America","Peru","Quebrada de Huaquisha,margen derecha del Rio Haullaga. Tocache Nuevo. En bosque alto.",NA,NA,"600.00000000","650.00000000",NA,NA,NA,NA,"9","San Martín","Mariscal Cáceres",NA,NA,NA,NA,NA,"5","T.D. Pennington (K)",NA,NA
"7","2020-07-14 16:55:00-03","MO","MOBOT","1852747","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","ovale","Chrysophyllum ovale","Rusby",NA,"Renate Seidel|et al.","Seidel 9020","2002","3","South America","Bolivia","Parque Nacional Madidi, río Hondo, arroyo Negro. Bosque amazónico ribereño estacionalmente inundado. Terraza aluvial antigua. Parcela Temporal de Muestreo 21","-67.7955555","-14.6461111","280.00000000",NA,NA,NA,NA,NA,"29","La Paz","Franz Tamayo",NA,NA,NA,NA,NA,"4","L. Cayola (LPB)","02-24",NA
"8","2020-06-21 00:50:00-03","MO","MOBOT","1854470","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","ovale","Chrysophyllum ovale","Rusby",NA,"Alejandro Araujo M.|Héctor Cabrera|M.H. Calzadilla|Fabiola Torrico|Leopoldo Lucia|L. Quetehuari|Justino Navi|Marcelino Villanueva","Araujo Murakami 370","2002","10","South America","Bolivia","Área Natural de Manejo Integrado Madidi. Arroyo Rudidi, sobre el Río Tuichi.","-67.9561111","-14.3672223","338.00000000",NA,NA,NA,NA,NA,"14","La Paz","Abel Iturralde",NA,NA,NA,NA,NA,"4","L. Cayola (LPB)","02-22",NA
"9","2020-07-17 16:13:00-03","MO","MOBOT","1869856","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","ovale","Chrysophyllum ovale","Rusby",NA,"Renate Seidel|et al.","Seidel 8960","2002","3","South America","Bolivia","Parque Nacional Madidi, río Hondo, arroyo Negro. Bosque amazónico estacional húmedo con Pentaplaris davidsmithii, Annonaceae, Moraceae y Lauraceae (?), ladera exposición W (25°). Parcela Temporal de Muestreo 18.","-67.8019444","-14.6533333","340.00000000",NA,NA,NA,NA,NA,"27","La Paz","Franz Tamayo",NA,NA,NA,NA,NA,"1",NA,"02-22",NA
"10","2017-08-25 05:21:00-03","MO","MOBOT","1907244","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","ovale","Chrysophyllum ovale","Rusby",NA,"Abel Monteagudo|Carlos Mateo|Gregorio Ortiz","Monteagudo Mendoza 4094","2002","10","South America","Peru","Distrito Palcazu. Parque Nacional Yanachaga Chemillén, cerca al río Paujil e Iscozacin. Bosque ribereño.","-75.25","-10.31666","440.00000000",NA,NA,NA,NA,NA,"16","Pasco","Oxapampa",NA,NA,NA,NA,NA,"10","T.D. Pennington (K)",NA,NA
"11","2011-03-22 14:29:00-03","MO","MOBOT","2207493","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","ovale","Chrysophyllum ovale","Rusby",NA,"Juan Perea","Perea 0417","2003","9","South America","Peru","Distrito Villa Rica. Localidad Centro Bocaz, trocha a Pampa Bocaz. Bosque Secundario","-75.16666","-10.65","1310.00000000",NA,NA,NA,NA,NA,"19","Pasco","Oxapampa",NA,NA,NA,NA,NA,"11","T.D. Pennington (K)",NA,NA
"12","2011-06-08 11:54:00-03","MO","MOBOT","3363344","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","ovale","Chrysophyllum ovale","Rusby",NA,"José Schunke V.","Schunke Vigo 6727","1973","8","South America","Peru","Caminoa Santa Rosa, margen derecha del Rio Mishollo. Dtto. tocache Nuevo. al borde del rio en bosque alto.",NA,NA,"350.00000000","370.00000000",NA,NA,NA,NA,"5","San Martín","Mariscal Cáceres",NA,NA,NA,NA,NA,NA,"T.D. Pennington",NA,NA
"13","2011-06-08 11:54:00-03","MO","MOBOT","3363529","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","ovale","Chrysophyllum ovale","Rusby",NA,"José Schunke V.","Schunke Vigo 4630","1971","1","South America","Peru","Puerto Pizana, margen derecha del rio huallaga.",NA,NA,NA,NA,NA,NA,NA,NA,"8","San Martín","Mariscal Cáceres",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2008-05-27 22:02:00-03","MO","MOBOT","3363630","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","ovale","Chrysophyllum ovale","Rusby",NA,"Guillermo Klug","Klug 2324","1931",NA,"South America","Peru","Florida; Rio Putumayo, at mouth of Rio Zunineta.",NA,NA,"180.00000000",NA,NA,NA,NA,NA,NA,"Loreto",NA,NA,NA,NA,NA,NA,NA,"T.D.Pennington",NA,NA
"15","2011-06-08 11:54:00-03","MO","MOBOT","3363918","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","ovale","Chrysophyllum ovale","Rusby",NA,"José Schunke V.","Schunke Vigo 7681",NA,NA,"South America","Peru","Fundo Miramar al norte d eTocache margen Izquierda del rioHaullaga. Al Borde del Rio En bosque alto.",NA,NA,"450.00000000",NA,NA,NA,NA,NA,NA,"San Martín","Mariscal Cáceres",NA,NA,NA,NA,NA,NA,"T.D.Pennington",NA,NA
"16","2008-05-27 22:02:00-03","MO","MOBOT","405207","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","ovale","Chrysophyllum ovale","Rusby",NA,"Martín E. Timaná|Nestor Jaramillo","Timaná 3229","1991","11","South America","Peru","Las Piedras. Cusco Amazónico. Inventario Permanente. Plantas colectadas en trocha A y Zona 2.","-69.05","-12.48333","200.00000000",NA,NA,NA,NA,NA,"16","Madre de Dios","Tambopata",NA,NA,NA,NA,NA,"8","T.D. Pennington (K)","135",NA
