"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","typeStatus","class","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","798994","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Verbesina","diversifolia","Verbesina diversifolia","DC.","G. C. P. Pinto","J. C. A. Lima","138","1984","07","31","South America","Brazil","Bahia","Guaratinga","Próximo a Cajuíta","-39.67","-16.73","130","130","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31821' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798994","NY00798994_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","798995","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Verbesina","diversifolia","Verbesina diversifolia","DC.","C. H. Schultz","B. Luschnath",NA,"1835","08","11","South America","Brazil","Bahia",NA,"Cruz de Casmeo",NA,NA,NA,NA,"sheet","Illegible notes may be locality or plant description <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31820' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798995","NY00798995_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01198492","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Verbesina","macrophylla","Verbesina macrophylla","(Cass.) Blake","H. E. Robinson","W. W. Thomas","13530","2003","07","25","South America","Brazil","Bahia","Jequié","Serra do Castanhão, 14.5 km S of Jequié on BR116, then 7.5 km W (at Pousada Corujao) to Embratel tower.","-40.1908","-13.9394","835","835","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=571121' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198492","NY01198492_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02491440","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Verbesina","macrophylla","Verbesina macrophylla","(Cass.) Blake",NA,"S. de O. Santos","239","2010","10","05","South America","Brazil","Alagoas","Quebrangulo","Reserva Biológica de pedra Talhada, Trilha perto do Alojamento.","-36.425","-9.245","773",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2738995' target='other'> <mi>dwc_moreinfo</mi></a>","NY02491440","NY02491440_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","687356","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Verbesina","macrophylla","Verbesina macrophylla","(Cass.) Blake","H. E. Robinson","W. W. Thomas","13565","2003","07","25","South America","Brazil","Bahia","Jequié","Serra do Castanhão, 14.5 km S of Jequié on BR116, then 7.5 km W (at Pousada Corujao) to Embratel tower.","-40.1908","-13.9394","835","835","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=571125' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687356","NY00687356_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1462275","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Verbesina","macrophylla","Verbesina macrophylla","(Cass.) Blake","H. E. Robinson","J. L. Viana","63","2010","08","17","South America","Brazil","Pernambuco",NA,"Jaqueira. RPPN Frei Caneca. Usina Frei Caneca - Estrada do alojamento para Pedra Cruzeiro","-35.8439","-8.72","633","633","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1551850' target='other'> <mi>dwc_moreinfo</mi></a>","NY01462275","NY01462275_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01806372","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Verbesina","macrophylla","Verbesina macrophylla","(Cass.) Blake","L.A. Gomes","L.A. Gomes","661","2012","08","16","South America","Brazil","Sergipe",NA,"Capela, RVS Mata do Junco: Borda de Mata.","-37.05862507213","-10.524659",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2195055' target='other'> <mi>dwc_moreinfo</mi></a>","NY01806372","NY01806372_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 14:40:00-03","NY","NYBG","798985","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Verbesina","macrophylla","Verbesina macrophylla macrophylla","(Cass.) Blake","J. S. Olsen","Martii Herbar. Florae Brasil.","646","1939","07",NA,"South America","Brazil",NA,NA,"Cruz de Casma",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532058' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798985","NY00798985_01","macrophylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","798981","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Verbesina","macrophylla","Verbesina macrophylla integrifolia","(Baker) Blake","J. S. Olsen","B. J. Pickel","12","1930","06",NA,"South America","Brazil","Bahia",NA,"Peruambuco Tapera, Waldrana",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=647782' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798981","NY00798981_01","integrifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","798983","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Verbesina","macrophylla","Verbesina macrophylla macrophylla","(Cass.) Blake","J. S. Olsen","N. T. da Silva","58336","1964","07","10","South America","Brazil","Bahia","Itabuna","Road Itabuna - Buerarema km 25","-39.336749","-14.9880272",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=532057' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798983","NY00798983_01","macrophylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
