"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","typeStatus","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","01023358","PreservedSpecimen","Plantae","Magnoliophyta","Aquifoliales","Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek","A. M. W. Mennega","H. S. Irwin","29133","1971","01","25","South America","Brazil","Minas Gerais","Serra do Espinhaço, sandstone summit of Serra de Caraça","-43.508849","-20.130068","1750","1950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190571' target='other'> <mi>dwc_moreinfo</mi></a>","NY01023358","NY01023358_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-13 09:18:54-03","UFRJ","RFA","14917","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek",NA,"A.P. Duarte",NA,"1970","12","02",NA,"Brasil","Minas Gerais",NA,"-43.6918983459473","-20.5207996368408",NA,NA,NA,NA,"RFA13094",NA,"Ouro Branco","13809","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-13 09:18:54-03","UFRJ","RFA","14928","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek",NA,"A.P. Duarte","12359","1970","06","26",NA,"Brasil","Minas Gerais",NA,"-43.6918983459473","-20.5207996368408",NA,NA,NA,"Planta arenito em fase de desagregação material estéril.","RFA13106",NA,"Ouro Branco","13809","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:34:18-03","EAO","IAN","104319","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart.","Barreto, M","Magalhães, MG","1297","1942","01","28","Southern America","Brasil","Minas Gerais","Entre as pedras no campo. Serra Itatiaia.","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Arbusto de 2-3m de altura, isoladas. Ponta dos ramos virgados.","IAN104319",NA,"Ouro Preto","44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:34:18-03","EAO","IAN","14182","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart.","Barreto, M","Magalhães, MG","1297","1942","01","28","Southern America","Brasil","Minas Gerais","Entre as pedras no campo. Serra Itatiaia.","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Arbusto de 2-3m de altura, isoladas. Ponta dos ramos virgados.","IAN014182","IAN014182 IAN014182_e","Ouro Preto","44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:44:14-03","NBC","NL-BOTANY","U.1093313","PreservedSpecimen","Plantae",NA,"Aquifoliales","Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek",NA,"Irwin HS; Harley RM; Onishi E",NA,"1971","01","25","Southern America","Brazil",NA,"Estado de Minas Gerais. Serra do Espinhaço. Sandstone summit of Serra da Caraça.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1093313 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1093313","NL-U1093313",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:44:14-03","NBC","NL-BOTANY","U.1093314","PreservedSpecimen","Plantae",NA,"Aquifoliales","Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek",NA,"Irwin HS; Harley RM; Onishi E",NA,"1971","01","25","Southern America","Brazil",NA,"Estado de Minas Gerais. Serra do Espinhaço. Sandstone summit of Serra da Caraça.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1093314 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1093314","NL-U1093314",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:00:13-03","ESALQ","ESA","76992","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart.","Mota, R.C.","Vasconcelos, M.F.",NA,"2000","04","11",NA,"Brasil","Minas Gerais",NA,"-43.4075012207031","-20.0746994018555",NA,NA,NA,NA,"ESA076992","ESA076992","Catas Altas","11966","auto",NA,"2000","07","05",NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:00:13-03","ESALQ","ESA","82988","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart.","Groppo Jr., M.","Araújo, A.O.; Romão, G.O.; Vieira, S.",NA,"2003","01","12",NA,"Brasil","Minas Gerais","Serra de Ouro Branco, em direção à antena. 1401 m altitude","-43.6918983459473","-20.5207996368408","1401","1401",NA,"arvoreta 2,8 m, folhas pendentes, pecíolo flexível; frutos imaturos verdes","ESA082988","ESA082988","Ouro Branco","13809","auto",NA,"2007","01","01","-43,701,667","-20,491,667",NA,NA,NA,NA
"10","2020-11-04 11:00:13-03","ESALQ","ESA","76922","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart.",NA,"Vasconcelos, M.F.",NA,"2000","05","07",NA,"Brasil","Minas Gerais",NA,"-43.4075012207031","-20.0746994018555",NA,NA,NA,NA,"ESA076922","ESA076922","Catas Altas","11966","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
