"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","class","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","02634386","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dalbergia","elegans","Dalbergia elegans","A.M.Carvalho","G. P. Lewis","1633","1987","05","13","South America","Brazil","Espírito Santo","Linhares","Reserva Florestal de CVRD, by main entrance and sede","-40","-19.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2938737' target='other'> <mi>dwc_moreinfo</mi></a>","NY02634386","NY02634386_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1015472","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dalbergia","elegans","Dalbergia elegans","A.M.Carvalho","H. C. de Lima","6603","2007","04","05","South America","Brazil","Espírito Santo","Guarapari","Rodovia do Sol, Ilha do Sol, próximo a Lagoa Morta.","-40.3969","-20.5414","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106417' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015472","NY01015472_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00983958","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dalbergia","elegans","Dalbergia elegans","A.M.Carvalho","G. Davidse","11529","1976","03","29","South America","Brazil","Minas Gerais","Ponto dos Volantes","17 km S of Sao Joao Grande and 37 km S of Itaobim along Highway BR-116","-41.5042","-16.7531","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1118801' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983958","NY00983958_01","A. M. V. de Carvalho","580","580",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1288125","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dalbergia","elegans","Dalbergia elegans","A.M.Carvalho","A. M. Lino","28= RB 143523","1972","03","08","South America","Brazil","Espírito Santo","Linhares","Reserva Natural Vale, Ponto de rer. escritório para Viveiro","-40.0722","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1676407' target='other'> <mi>dwc_moreinfo</mi></a>","NY01288125","NY01288125_01",NA,"450",NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1552807","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dalbergia","elegans","Dalbergia elegans","A.M.Carvalho","H. C. de Lima","6896","2008","07","22","South America","Brazil","Espírito Santo","Pedro Canário","Rod. BR-101, km 10.","-39.9906","-18.2986","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1900901' target='other'> <mi>dwc_moreinfo</mi></a>","NY01552807","NY01552807_01","R. D. Ribeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1018820","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dalbergia","elegans","Dalbergia elegans","A.M.Carvalho","R. D. Ribeiro","815","2007","04","03","South America","Brazil","Espírito Santo","Aracruz","Santa Cruz, Vila de Itaparica, Fazenda D'Omar, do Sr. Sergio Bellotti.","-40.1575","-19.9747","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1262530' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018820","NY01018820_01","H. C. de Lima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00983959","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dalbergia","elegans","Dalbergia elegans","A.M.Carvalho","A. F. M. Glaziou","13758",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,"Brésil (Minas Geraes)",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1118806' target='other'> <mi>dwc_moreinfo</mi></a>","NY00983959","NY00983959_01","V. E. Rudd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:09:19-03","ESALQ","ESA","130048","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Dalbergia","elegans","Dalbergia elegans","A.M.Carvalho","Colletta, G.D.; Flores, T.B.; Duarte, M.M.; Ferrari, A.C.","1803.0","2011","04","14",NA,"Brasil","Espírito Santo","Linhares","Reserva Vale, área do projeto de restauração, projeto 161","-40.0722007751465","-19.3910999298096",NA,"Regenerante estéril","ESA130048",NA,"Siqueira, G.",NA,NA,NA,"2011","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:30:25-03","UNICAMP","UEC","172699","S","Plantae","Magnoliopsida",NA,"Fabaceae","Dalbergia","elegans","Dalbergia elegans",NA,"Lima, HC; Ribeiro, RD; Meireles, JE; Filardi, FLR","6603","2007","04","05",NA,"Brazil","Espírito Santo","Guarapari","Rod. do Sol, Ilha do Sol, próximo a Lagoa Morta. Fragmento de mata.","-40.396944","-20.541389",NA,"Arvoreta com 2-3m de alt., botões esverdeados e flores com cálice esverdeado e corola alvo esverdeada. Frequente na borda do fragmento.","UEC016482","UEC016482","Calvet, AA",NA,NA,NA,"2007",NA,NA,"06","28","-40.396944","-20.541389",NA,NA,NA,NA
"10","2020-04-27 16:09:51-03","UFES","VIES","16821","S","Plantae",NA,NA,"Fabaceae","Dalbergia","elegans","Dalbergia elegans","A.M.Carvalho","Gomes, J.M.L.","2876","2006","08","06",NA,"Brasil","Espírito Santo","Montanha",NA,"-40.3633003234863","-18.1268997192383",NA,NA,"VIES016821","VIES016821","Gomes, J.M.L.",NA,NA,NA,"2006","28642","auto","08","06",NA,NA,NA,NA,NA,NA
