"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","imagecode","dayIdentified","verbatimLongitude","verbatimLatitude","class","fieldNumber","typeStatus","relatedCatalogItem","infraspecificEpithet"
"1","2019-06-10 10:10:34-03","FZB-BH","CVJBFZB","1940","S","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Carapichea","ipecacuanha","Carapichea ipecacuanha","(Brot.) L.Andersson","Albina Carvalho de Oliveira Nogueira","2006","06","Juliana Ordones Rego; Albina Carvalho de Oliveira Nogueira, Márcia Bacelar Fonseca, Leandro Lacerda Giacomin, Cláudia Márcia Silva do Carmo","2006","06","28","Brasil","Minas Gerais","Marliéria","Campolina","-42.7322006225586","-19.7122001647949","28215","2","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1033485","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Carapichea","ipecacuanha","Carapichea ipecacuanha","(Brot.) L.Andersson","P. G. Delprete",NA,NA,"L. A. Skorupa","1989","05","29","Brazil","Mato Grosso","Salto do Céu","Fazenda Porta do Ceu. A 44 km de Porta do Ceu - Rumo a Santa Fe.","-58.13","-15.13",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1221871' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"707","South America","465","465","sheet","NY01033485","NY01033485_01",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1033484","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Carapichea","ipecacuanha","Carapichea ipecacuanha","(Brot.) L.Andersson","P. G. Delprete",NA,NA,"L. A. Skorupa","1989","05","27","Brazil","Mato Grosso","Tangará da Serra","Fazenda Macarana; cerca de 30 km de Tangara da Serra.","-57.48","-14.62",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1221870' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"702","South America","210","210","sheet","NY01033484","NY01033484_01",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1033487","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Carapichea","ipecacuanha","Carapichea ipecacuanha","(Brot.) L.Andersson","P. G. Delprete",NA,NA,"L. A. Skorupa","1989","11","02","Brazil","Minas Gerais","Caratinga","Vale do Jao - Reserva Biologica de Caratinga.","-42.15","-19.77",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1221876' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"753","South America","410","410","sheet","NY01033487","NY01033487_01",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1033483","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Carapichea","ipecacuanha","Carapichea ipecacuanha","(Brot.) L.Andersson","P. G. Delprete",NA,NA,"L. A. Skorupa","1989","05","26","Brazil","Mato Grosso","Tangará da Serra","Fazenda Macarana; cerca de 30 km de Tangara da Serra.","-57.48","-14.62",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1221868' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"701","South America","210","210","sheet","NY01033483","NY01033483_01",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1033486","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Carapichea","ipecacuanha","Carapichea ipecacuanha","(Brot.) L.Andersson","P. G. Delprete",NA,NA,"L. A. Skorupa","1989","06","04","Brazil","Mato Grosso","Pontes e Lacerda","A 30 km de Lacerdinha; Rumo a Vilhena; a esquerda; Sob influencia do Rio Galera.","-58.07","-15.23",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1221874' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"719","South America","250","250","sheet","NY01033486","NY01033486_01",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","501825","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","ipecacuanha","Psychotria ipecacuanha","Rich.",NA,NA,NA,"J. G. Jardim","1999","02","10","Brazil","Bahia","Una","6 km N do Distrito de Comamdatuba; Faz. Bolandeira","-39.005","-15.3056",NA,NA,"coleta de material para estudos químicos <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745234' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"1987","South America","10","10","sheet","NY00501825","NY00501825_01",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1005377","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","ipecacuanha","Psychotria ipecacuanha","Rich.","M. C. de Assis",NA,NA,"H. A. Weddell","1845","07",NA,"Brazil","Mato Grosso",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1084343' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"3394","South America",NA,NA,"sheet","NY01005377","NY01005377_01",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01107961","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","ipecacuanha","Psychotria ipecacuanha","Rich.",NA,NA,NA,"W. A. Rodrigues","1962","01","05","Brazil","Rondônia",NA,"Porto Príncipe da Beira, igarapé da Viúva; mata de terra firme; solo argiloso, úmido.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1270894' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"4221","South America",NA,NA,"sheet","NY01107961","NY01107961_01",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","501827","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","ipecacuanha","Psychotria ipecacuanha","Rich.",NA,NA,NA,"H. C. Cutler","1944",NA,NA,"Brazil","Ceará","Fortaleza",NA,"-38.5431","-3.7172",NA,NA,"Part of a collection of 42 remedies from one herb stall <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745233' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"12403","South America",NA,NA,"sheet","NY00501827","NY00501827_01",NA,NA,NA,NA,NA,NA,NA,NA
