"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","yearIdentified","recordNumber","continentOcean","imagecode","monthIdentified","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","typeStatus","infraspecificEpithet","preparationType","individualCount","class","order"
"1","2016-07-05 11:14:20-03","FFCLRP","LBMBP","1054","S","Plantae","Orchidaceae","Pseudolaelia","dutrae","Pseudolaelia dutrae","Ruschi","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-07-05 11:14:20-03","FFCLRP","LBMBP","1051","S","Plantae","Orchidaceae","Pseudolaelia","dutrae","Pseudolaelia dutrae","Ruschi","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-24 17:09:42-03","UFES","SAMES","8644","PreservedSpecimen","Plantae","Orchidaceae","Pseudolaelia","dutrae","Pseudolaelia dutrae","Ruschi",NA,"Menezes,L.F.T.","2019","05","20","Brasil","Espírito Santo","Vila Pavão","Estrada que liga a nova venécia, beira da estrada.","-40.611400604248","-18.6149997711182","-404333334.0","-190066667.0","19647","Planta terrestre, desenvolvendo-se sobre rochas graníticas, associada à moita de vellozia. Flores brancas com labelo vináceo e borda rasgada.","SAMES08644","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-07-02 18:55:45-03","UFJF","CESJ","66133","PreservedSpecimen","Plantae","Orchidaceae","Pseudolaelia","dutrae","Pseudolaelia dutrae","Ruschi","L. Menini Neto","L. Menini Neto; A.P. Fontana","2009","07","27","Brasil","Espírito Santo","Brejetuba","Monte Feio","-41.2902984619141","-20.1460990905762",NA,NA,"23265","Erva epífita, sobre Velloziaceae, em inselberg, formando grande população. Pseudobulbo passando de verde a avermelhado, folhas verde-escuras, pedúnculo vináceo, pedicelo e ovário vináceos, flores apresentando grande variação de coloração, desde totalment","CESJ066133","auto","Angiosperma","2011","766","América do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-27 10:26:07-03","UFES","VIES","5725","S","Plantae","Orchidaceae","Pseudolaelia","dutrae","Pseudolaelia dutrae","Ruschi","Fraga, C.N.","Vinha, P.C.","1991","04","27","Brasil","Espírito Santo","Vitória","Pedra da Gamela.","-40.3377990722656","-20.3194007873535",NA,NA,"15291",NA,"VIES005725","auto",NA,NA,"1225",NA,"VIES005725 VIES005725_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:38:49-03","MBM","MBM","398236","PreservedSpecimen","Plantae","Orchidaceae","Pseudolaelia","dutrae","Pseudolaelia dutrae","Ruschi","Neto, L.M.","Neto, L.M.; Forzza, R.C.; Saavedra, M.M.; Silva, J.C.; Forzza, R.C.; Saavedra, M.M.; Silva, J.C.","2009","05","29","Brazil","Espírito Santo","Vila Pavão","Comunidade Figueira","-40.553333","-18.651111","-40.553333","-18.651111",NA,"Erva epífita,sobre Vellozia plicata. Pseudobulbos verde-claros a avarmelhados, bainhas estramíneas, pedúnculo vináceo, brácteas estramíneas, sépalas e pétalas róseas, labelo esbranqueçado, com a borda dos labos medianos róseas, colun","MBM398236",NA,NA,"2009","756","Southern America","MBM398236","08","144","144",NA,NA,NA,NA,NA,NA,NA
"7","2020-07-10 09:48:34-03","MBML","MBML-HERBARIO","49095",NA,"Plantae","Orchidaceae","Pseudolaelia","dutrae","Pseudolaelia dutrae","Ruschi","L. Kollmann","L. Kollmann; A.P. Fontana, E. Leme e V. Leme","2014","06","21","Brasil","Espírito Santo","Baixo Guandu","Pedra do Souza","-40.970556","-19.494167","40W58'14","19S29'39",NA,"Epifita em Vellozia plicata, ao sol, flores lilas, labelo branco, apice lilas.","MBML049095",NA,NA,NA,"12947",NA,NA,NA,"300","300",NA,NA,NA,NA,NA,NA,NA
"8","2020-07-10 09:48:34-03","MBML","MBML-HERBARIO","12584",NA,"Plantae","Orchidaceae","Pseudolaelia","dutrae","Pseudolaelia dutrae","Ruschi","L.Kollmann/Jun.-2000","V. Demuner; et al","2000","05","16","Brasil","Espírito Santo","Santa Teresa","Pedra da Onça","-40.814722","-19.897778","40W48'53","19S53'52",NA,"Epífita, botões florais e flores rosadas. Sobre a rocha.","MBML012584",NA,NA,NA,"1062",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-07-10 09:48:34-03","MBML","MBML-HERBARIO","12741",NA,"Plantae","Orchidaceae","Pseudolaelia","dutrae","Pseudolaelia dutrae","Ruschi",NA,"L. Kollmann; et al","2000","06","01","Brasil","Espírito Santo","Santa Teresa","Pedra da Onça","-40.814722","-19.897778","40W48'53","19S53'52",NA,"Rupícola. Heliófila. Sépalas e pétalas lilás, labelo branco, com os lóbulos laterais e ápice do labelo lilás.","MBML012741",NA,NA,NA,"2978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-07-10 09:48:34-03","MBML","MBML-HERBARIO","12856",NA,"Plantae","Orchidaceae","Pseudolaelia","dutrae","Pseudolaelia dutrae","Ruschi",NA,"V. Demuner; et al","2000","06","20","Brasil","Espírito Santo","Santa Teresa","Pedra Alegre","-40.824722","-19.888889","40W49'29","19S53'20",NA,"Rupícola, flores rosadas. Área aberta ensolarada.","MBML012856",NA,NA,NA,"1152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
