"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","class","identifiedBy","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","809741","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","wettsteinii","Elaphoglossum wettsteinii","Christ","A. C. Brade","8387","1925","10","South America","Brazil","São Paulo","Sa. Taranapiacaba","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=809196' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809741","NY00809741_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","809742","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","wettsteinii","Elaphoglossum wettsteinii","Christ","A. C. Brade","6611","1913","09","South America","Brazil","São Paulo","Campo Grande","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=809199' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809742","NY00809742_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-08 20:48:32-03","UNESP-IBILCE","SJRP-PTERIDOPHYTA","04709","S","Plantae","Tracheophyta","Polypodiales","Dryopteridaceae","Elaphoglossum","wettsteinii","Elaphoglossum wettsteinii","Christ.","André Santos","259","1984","06","América do Sul","Brasil","São Paulo","três pontas",NA,"GEOGRAFIA: epífita, associada a musgos e himenófilos;",NA,NA,"Polypodiopsida","André Santos","03","Pindamonhangaba","-45.4599990844727","-22.9200000762939","24176","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-04 15:26:12-03","PUCPR","HUCP","20907","S","Plantae","Monilofita",NA,"Dryopteridaceae","Elaphoglossum","paulistanum","Elaphoglossum paulistanum","Rosenst.","Michelon, C","573","2009","10",NA,"Brasil","Paraná",NA,NA,"Abundante no interior do capão.","HUCP00000485","HUCP00000485",NA,"Michelon, C","23","Balsa Nova","-49.6356010437012","-25.5839004516602","27346","auto","2009","10","28",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-04 15:26:12-03","PUCPR","HUCP","10759","S","Plantae","Monilofita",NA,"Dryopteridaceae","Elaphoglossum","paulistanum","Elaphoglossum paulistanum","Rosenst.","Johnsson, MCM","033","1997","08",NA,"Brasil","Paraná","Parque São Lourenço, Recanto dos patos.",NA,NA,"HUCP00000777","HUCP00000777",NA,NA,"27","Curitiba","-49.2731018066406","-25.4277992248535","25180","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-04 15:26:12-03","PUCPR","HUCP","24770","S","Plantae","Monilofita",NA,"Dryopteridaceae","Elaphoglossum","paulistanum","Elaphoglossum paulistanum","Rosenst.","Kersten, RA","1715","2017","08",NA,"Brasil","Paraná","Parque Estadual do Marumbi, núcleo Cayuguava",NA,"Ecótono FOM-FOD, Epífita, 1050m s.n.m","HUCP00024770","HUCP00024770",NA,"Kersten, RA","10","Piraquara","-49.0633010864258","-25.4416999816895","12577","auto","2017","08","10",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-04 15:26:12-03","PUCPR","HUCP","20851","S","Plantae","Monilofita",NA,"Dryopteridaceae","Elaphoglossum","paulistanum","Elaphoglossum paulistanum","Rosenst.","Michelon, C","558","2009","10",NA,"Brasil","Paraná","Morro do Canal",NA,NA,"HUCP00000702","HUCP00000702",NA,"Michelon, C","21","Piraquara","-49.0633010864258","-25.4416999816895","12577","auto","2009","10","21",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-04 15:26:12-03","PUCPR","HUCP","12069","S","Plantae","Monilofita",NA,"Dryopteridaceae","Elaphoglossum","paulistanum","Elaphoglossum paulistanum","Rosenst.","Shirata, MT; Cristo, I; Santos, AS","3780","1998","06",NA,"Brasil","Paraná","Fazenda da PUC",NA,NA,"HUCP00000489","HUCP00000489",NA,"Kersten, RA","06","Tijucas do Sul","-49.1988983154297","-25.9281005859375","25228","auto","2006","09","19",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-01-14 15:27:51-03","MN","R","237360","PreservedSpecimen","Plantae",NA,NA,"Dryopteridaceae","Elaphoglossum","wettsteinii","Elaphoglossum wettsteinii","Christ","Santos, E.A.A.","217","1983","06",NA,"Brasil","São Paulo",NA,NA,NA,"R010056305",NA,NA,"Santos, E.A.A.","25","Campos do Jordão","-45.5900001525879","-22.7299995422363","21048","auto","1983","09","27","1600","1600",NA,NA,NA,NA,NA,NA
"10","2020-10-14 10:01:07-03","FURB","FURB","29341","PreservedSpecimen","Plantae",NA,NA,"Dryopteridaceae","Elaphoglossum","paulistanum","Elaphoglossum paulistanum","Rosenst.","Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","2250","2010","05",NA,"Brasil","Santa Catarina","Serra do Faxinal.",NA,"Epífita IFFSC e8008a (Abaixo de 4m). Estéril. Habitat: Floresta Ombrófila Densa Alto Montana; Estágio Avançado; interior do fragmento Habito: epífita;","FURB07907","FURB07907",NA,"Gasper, AL de","13","Praia Grande","-50.0227778","-29.1788889",NA,NA,"2011","07","21","958","958","-50.0227778","-29.1788889",NA,NA,NA,NA
"11","2020-10-14 10:01:07-03","FURB","FURB","29360","PreservedSpecimen","Plantae",NA,NA,"Dryopteridaceae","Elaphoglossum","paulistanum","Elaphoglossum paulistanum","Rosenst.","Cadorin, T.J.; Grosch, B. & Zimmermann, R.","2592","2010","06",NA,"Brasil","Santa Catarina","RPPN Prima Luna / Monte Barão.",NA,"Epífita IFFSC e8007a (Abaixo de 4m) Habitat: Floresta Ombrófila Densa Alto Montana; Estágio Primário; interior do fragmento Habito: epífita de arbórea;","FURB00097","FURB00097",NA,"Gasper, AL de","15","Nova Trento","-49.0269445","-27.2636111",NA,NA,"2011","07","21","1097","1097","-49.0269445","-27.2636111",NA,NA,NA,NA
"12","2020-10-14 10:01:07-03","FURB","FURB","6604","PreservedSpecimen","Plantae",NA,NA,"Dryopteridaceae","Elaphoglossum","paulistanum","Elaphoglossum paulistanum","Rosenst.","Gasper, A.L. de","544","2007","10",NA,"Brasil","Santa Catarina","Parque Nacional da Serra do Itajaí.",NA,"Sub-sede do Parque. Código: 283. Habitat: Floresta Ombrófila Densa; interior da mata e mata ciliar Habito: epífita;","FURB07909","FURB07909",NA,"Kieling-Rubio, MA","22","Blumenau","-49.0877777","-27.0566667",NA,NA,"2012","03",NA,NA,NA,"-49.0877777","-27.0566667",NA,NA,NA,NA
"13","2020-10-14 10:01:07-03","FURB","FURB","7886","PreservedSpecimen","Plantae",NA,NA,"Dryopteridaceae","Elaphoglossum","paulistanum","Elaphoglossum paulistanum","Rosenst.","Gasper, A.L. de; Dreveck, S. & Brogni, E.","1644","2008","03",NA,"Brasil","Santa Catarina","Morro do Funil.",NA,"Florística IFFSC 456(Epífita) Habitat: Floresta Ombrófila Mista; Estágio Avançado Habito: epífita;","FURB07908","FURB07908",NA,"Labiak, PH","25","Ponte Alta","-50.1325","-27.275",NA,NA,"2008","09","22","1135","1135","-50.1325000","-27.2750000",NA,NA,NA,NA
