"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","typeStatus","recordNumber","year","month","county","minimumElevationInMeters","maximumElevationInMeters","imagecode","class","identifiedBy","day","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber","yearIdentified","monthIdentified","dayIdentified"
"1","2020-09-23 10:36:45-03","E","E","298908","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides","Gillies, John","Temperate South America","AR","Provincia de Mendoza","Mendoza","herbarium specimen of unspecif","BGBASE:325139","<a href=http://data.rbge.org.uk/herb/E00298908 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00298908",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","329213","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides tafiensis","R. Schreiter","South America","Argentina","Tucumán","Managua (Colalao del Valle)","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=251553' target='other'> <mi>dwc_moreinfo</mi></a>","NY00329213","Magnoliophyta","Poales","tafiensis","L.B.Sm.","isotype","7176","1931","12","Tafi del Valle","2000","2000","NY00329213_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-01-17 11:22:58-02","PUCRS","MPUC","15159","S","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides",NA,"South America","Brasil","RS","Colômia de São Pedro, Gruta Nossa Senhora de Lourdes",NA,NA,NA,NA,NA,"Poales",NA,"Ker Gawl.",NA,NA,"1979","11","Torres",NA,NA,NA,"Liliopsida","N.I. Matzenbacher","02","-49.7266667","-29.3352778","-49.7266667000","-29.3352778000","1",NA,NA,NA,NA
"4","2019-08-16 08:38:53-03","UTFPR","HCF","19820","S","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides","A.T. Hunziker",NA,"Argentina",NA,"Sierra Grande (Falda E): a orillas del",NA,NA,"color blanca, muy fragante. Epífita sobre roca. Alt: 1650/1700 m.",NA,NA,NA,NA,"Ker Gawl.",NA,NA,"1950","11","Córdoba - Província de Punilla",NA,NA,NA,NA,NA,"26",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:19:32-03","MBM","MBM","38944","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides","Krapovickas, A.; Cristóbal, C.L.; Cristóbal, C.L.","Southern America","Argentina",NA,"Prov. Tucumán, Dep. Tafi",NA,NA,NA,"MBM038944",NA,NA,NA,"Ker-Gawl.",NA,"24511","1974","01",NA,NA,NA,"MBM038944",NA,NA,"01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-09-03 21:19:04-03","MNHN","RECOLNAT_MNHN_P","P01641468","PreservedSpecimen",NA,"Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides","S.N.",NA,"Argentina",NA,". Argentina, América do Sul","hb",NA,". s.d. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01641468' target='other'> <mi>dwc_moreinfo</mi></a>","P01641468",NA,NA,NA,"Ker Gawl.",NA,NA,NA,NA,NA,NA,NA,"P01641468_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-09-03 21:19:04-03","MNHN","RECOLNAT_MNHN_P","P01641467","PreservedSpecimen",NA,"Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides","Hieronymus, G.",NA,"Argentina",NA,"Argentina, en el districto fluvial del Rio Primero cerca de las Caleras; Sierra chica; Prov. de Córdoba. Argentina, América do Sul","hb",NA,"Flora Argentina. . Donné par M. Varela, Comissaire de la Repúblique argentine à l´Exposition universelle de 1878 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01641467' target='other'> <mi>dwc_moreinfo</mi></a>","P01641467",NA,NA,NA,"Ker Gawl.",NA,NA,"1874","9",NA,NA,NA,"P01641467_01",NA,NA,"24",NA,NA,NA,NA,NA,"110",NA,NA,NA
"8","2015-09-03 21:19:58-03","MNHN","RECOLNAT_MNHN_P","P01641469","PreservedSpecimen",NA,"Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides","Hieronymus, G.",NA,"Argentina",NA,"Córdoba, en la cercania de la ciudad. Argentina, América do Sul","hb",NA,". . Donné par M. Varela, Commissaire de la République argentine à l´Exposition universelle de 1878 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01641469' target='other'> <mi>dwc_moreinfo</mi></a>","P01641469",NA,NA,NA,"Ker Gawl.",NA,NA,"1877","11",NA,NA,NA,"P01641469_01",NA,NA,"1",NA,NA,NA,NA,NA,"109",NA,NA,NA
"9","2020-12-11 11:43:34-03","UFMG","BHCB","58105","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides","Rodrigues","Southern America","Argentina",NA,"Cafayata",NA,NA,NA,NA,"Monocotyledon",NA,NA,NA,NA,"1252",NA,NA,"Salta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2014-11-17 15:36:00-02","MO","MOBOT","100266974","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides","E. Haene","South America","Argentina","San Luis","Sierra de las Quijadas, Potrero de la Aguada, 8 km al Oeste de Hualtarán.",NA,NA,NA,NA,NA,NA,NA,"Ker Gawl.",NA,"Haene 1008","1990","9","Belgrano",NA,NA,NA,NA,"E. J. Gouda (U)","6",NA,NA,NA,NA,"1",NA,NA,NA,NA
