"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","locality","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","sex","infraspecificEpithet","class","typeStatus","relatedCatalogItem","relationshipType","fieldNumber","individualCount"
"1","2021-04-05 14:25:06-03","UNESC","CRI","8156","PreservedSpecimen","Plantae","Cannabaceae","Celtis","iguanaea","Celtis iguanaea","(Jacq.) Sarg.","M. Sobral","M. Verdi; B. Grosch & G. Klemz","1536","2009","01","30","Brasil","Santa Catarina","Celso Ramos","-51.432778","-27.586944","51º25'58''W","27º35'13''S","Ecótono Floresta Estacional Decidual/Floresta Ombrófila Mista","CRI001981","CRI001981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:06-03","UNESC","CRI","14575","PreservedSpecimen","Plantae","Cannabaceae","Celtis","iguanaea","Celtis iguanaea","(Jacq.) Sarg.","Aline Votri Guislon & Amanda Matiola","Aline Votri Guislon; Renato Colares & Iara Zanoni",NA,"2018","06","19","Brasil","Santa Catarina","Criciúma","-49.377778","-28.765556","49º22'40''W","28º45'56''S","Flor laranja. Habito: Arbustivo","CRI013880","CRI013880","2019","04","16","APA Morro Albino e Esteves (L1)","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:22-03","UNESC","CRI","10342","PreservedSpecimen","Plantae","Cannabaceae","Celtis","iguanaea","Celtis iguanaea","(Jacq.) Sarg.",NA,"Robson dos Santos; Alecsandro S. Klein & Vanilde C. Zanete",NA,"2001","08","14","Brasil","Santa Catarina","Praia Grande","-49.950556","-29.197222","49º57'2''W","29º11'50''S",NA,"CRI007775","CRI007775",NA,NA,NA,"Aparados da Serra - Trilha do Faxinalzinho.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:06-03","UNESC","CRI","14146","PreservedSpecimen","Plantae","Cannabaceae","Celtis","iguanaea","Celtis iguanaea","(Jacq.) Sarg.","Amanda Matiola & Caleb Borges","V.C. Zanette & Robson dos Santos",NA,"1999","11","20","Brasil","Santa Catarina","Tubarão","-49.0075","-28.467222","49º0'27''W","28º28'2''S","Habitat: Terrestre Habito: Arbustivo","CRI012797",NA,"2018","11","08","Bairro São Cristovão",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:22-03","UNESC","CRI","8160","PreservedSpecimen","Plantae","Cannabaceae","Celtis","iguanaea","Celtis iguanaea","(Jacq.) Sarg.","M. Verdi","G. Klemz; M. Verdi",NA,"2008","11","18","Brasil","Santa Catarina","Lacerdópolis","-51.556111","-27.260556","51º33'22''W","27º15'38''S",NA,"CRI001980","CRI001980","2008","11","18","Canela Funda - Santa Bárbara.","495","495",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:37:01-03","E","E","135509","PreservedSpecimen","Plantae","Cannabaceae","Celtis","iguanaea","Celtis iguanaea",NA,NA,"Ratter, J.A.; Bertolda, J.; de Castro, R.A.; de Santos, R.R. & Souza, R.",NA,"1968","04","17","BR",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00135509 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00135509",NA,NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:143381",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:37:01-03","E","E","135510","PreservedSpecimen","Plantae","Cannabaceae","Celtis","iguanaea","Celtis iguanaea",NA,NA,"Ratter, J.A.; De Santos, R.R.; Souza, R.; De Castro, R.A. & Andrelinho",NA,"1968","06","22","BR",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00135510 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00135510",NA,NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:143380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:37:01-03","E","E","135511","PreservedSpecimen","Plantae","Cannabaceae","Celtis","iguanaea","Celtis iguanaea",NA,NA,"Ratter, J.A. & Filho, J. Fonsêca",NA,"1976","07","17","BR",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00135511 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00135511",NA,NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:143379",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:37:01-03","E","E","35977","PreservedSpecimen","Plantae","Cannabaceae","Celtis","iguanaea","Celtis iguanaea",NA,NA,"Ratter, J.A.; Bridgewater, S.; de Souza Lima, Edson; Cardoso, Edson & Dalponte, Julio C.",NA,"1996","04","24","BR",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00035977 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00035977",NA,NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:46531",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:37:01-03","E","E","50200","PreservedSpecimen","Plantae","Cannabaceae","Celtis","iguanaea","Celtis iguanaea",NA,NA,"Dubs, B.","1564","1994","07","24","BR",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00050200 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00050200",NA,NA,NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:56799",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-09-23 10:37:01-03","E","E","212416","PreservedSpecimen","Plantae","Cannabaceae","Celtis","iguanaea","Celtis iguanaea",NA,NA,"Spruce, R.","4236",NA,NA,NA,"PE",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00212416 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00212416",NA,NA,NA,NA,"Prope Tarapoto.",NA,NA,"W. Tropical South America","herbarium specimen of unspecif","BGBASE:226798",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","03060700","PreservedSpecimen","Plantae","Cannabaceae","Celtis","aculeata","Celtis aculeata","Sw.",NA,"M. G. Bovini","3457","2011","03","25","Brazil","Acre","Cruzeiro do Sul","-72.5769445","-7.7788889",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3286090' target='other'> <mi>dwc_moreinfo</mi></a>","NY03060700","NY03060700_01",NA,NA,NA,"margem do rio Croa.",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","02226514","PreservedSpecimen","Plantae","Cannabaceae","Celtis","ehrenbergiana","Celtis ehrenbergiana","(Klotzsch) Liebm.",NA,"A. M. V. de Carvalho","3839",NA,NA,NA,"Brazil","Bahia","Tucano","-38.7867","-10.9633",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2381010' target='other'> <mi>dwc_moreinfo</mi></a>","NY02226514","NY02226514_01",NA,NA,NA,"Ca. 7 km na estrada de Tucano para Araci",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","441081","PreservedSpecimen","Plantae","Cannabaceae","Celtis","ehrenbergiana","Celtis ehrenbergiana","(Klotzsch) Liebm.","M. H. Nee","F. Sellow","256",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=194694' target='other'> <mi>dwc_moreinfo</mi></a>","NY00441081","NY00441081_01",NA,NA,NA,"Brasilia",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","441086","PreservedSpecimen","Plantae","Cannabaceae","Celtis","ehrenbergiana","Celtis ehrenbergiana","(Klotzsch) Liebm.","M. H. Nee","E. M. Zardini","17278","1989","12","23","Paraguay","Cordillera",NA,"-57.3","-25.13",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=194704' target='other'> <mi>dwc_moreinfo</mi></a>","NY00441086",NA,NA,NA,NA,"Western side of Río Piribebuy basin, 27 km W of Arroyos y Esteros",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","777749","PreservedSpecimen","Plantae","Cannabaceae","Celtis","ehrenbergiana","Celtis ehrenbergiana","(Klotzsch) Liebm.",NA,"O. Handro","s.n.","1942","09",NA,"Brazil","São Paulo",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=194705' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777749","NY00777749_01",NA,NA,NA,"Cultivado no Jardim Botânico de Sao Paulo",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
