"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","scientificNameAuthorship","minimumElevationInMeters","yearIdentified","monthIdentified","coordinatePrecision","maximumElevationInMeters","geoFlag","class","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","infraspecificEpithet"
"1","2016-09-29 21:36:00-03","NY","NYBG","883791","PreservedSpecimen","Plantae","Pteridophyta","Ophioglossales","Ophioglossaceae","Botrychium","virginianum","Botrychium virginianum","A. C. Brade","Collector unspecified","20982","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983470' target='other'> <mi>dwc_moreinfo</mi></a>","NY00883791","NY00883791_01 NY00883791_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-29 21:36:00-03","NY","NYBG","883790","PreservedSpecimen","Plantae","Pteridophyta","Ophioglossales","Ophioglossaceae","Botrychium","virginianum","Botrychium virginianum","L. C. N. Melo","L. C. N. Melo","52","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983468' target='other'> <mi>dwc_moreinfo</mi></a>","NY00883790","NY00883790_01","2000","12","09","Minas Gerais","Camanducaia","Pinheirão","-46.1444","-22.7556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02696872","PreservedSpecimen","Plantae","Pteridophyta","Ophioglossales","Ophioglossaceae","Botrypus","virginianus","Botrypus virginianus",NA,"F. B. Matos","2219","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2974398' target='other'> <mi>dwc_moreinfo</mi></a>","NY02696872","NY02696872_01","2013","02","13","Minas Gerais","Caldas","Pocinhos do Rio Verde, Pico da Pedra Branca.","-46.3692","-21.9644","(L.) Michx.","1522",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:31:46-03","UFRJ","RFA","23574","PreservedSpecimen","Plantae",NA,NA,"Ophioglossaceae","Botrychium","virginianum","Botrychium virginianum",NA,"Hagenah, D.J.","897",NA,"E.U.A.",NA,NA,"RFA41741",NA,"1949","06","26","Michigan","Michigan","Solon Township. Kent County",NA,NA,"(L.) Sw.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:20:27-03","UFRJ","RFA","23575","PreservedSpecimen","Plantae",NA,NA,"Ophioglossaceae","Botrychium","virginianum","Botrychium virginianum",NA,"F. Segadas-Vianna",NA,NA,"E.U.A.",NA,NA,"RFA41742",NA,"1949","05","10","Michigan","Michigan","Lost forty, 4 miles NE of Oxford. Oakland County",NA,NA,"(L.) Sw.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 11:31:46-03","UFRJ","RFA","23576","PreservedSpecimen","Plantae",NA,NA,"Ophioglossaceae","Botrychium","virginianum","Botrychium virginianum",NA,"Hagenah, D.J.","345",NA,"Canadá",NA,NA,"RFA41744",NA,"1949","07","07","Ontário","Ontário","Oliphant. Bruce County",NA,NA,"(L.) Sw.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-30 12:50:59-03","EAO","IAN","53185","PreservedSpecimen","Plantae","Fern",NA,"Ophioglossaceae","Botrychium","virginianum","Botrychium virginianum",NA,"Smith, SG; Leuchs, AV","1181",NA,"Estados Unidos",NA,NA,"IAN053185",NA,"1939","06","26",NA,NA,"Dryish woods, South Hill, Cortland C. New York.",NA,NA,"(L.) Sw.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-27 21:09:29-03","PUCPR","HUCP","50","S","Plantae","Monilofita",NA,"Ophioglossaceae","Botrypus","virginianus","Botrypus virginianus","Torres, M","Tessmann, G.;","440",NA,"Brasil",NA,"No barranco e na linha ferrea de vez em quando. IBPT Nº 440.","HUCP00001252","HUCP00001252","1951","01","25","Paraná","Morretes","Estrada Marumbi, Estrada de ferro Curitiba/Paranaguá.","-48.834400177002","-25.476900100708","(Bittencourt) Michx.","483","2011","08","30514","483","auto",NA,NA,NA,NA,NA,NA,NA
"9","2019-12-04 15:26:16-03","PUCPR","HUCP","17","S","Plantae","Monilofita",NA,"Ophioglossaceae","Botrypus","virginianus","Botrypus virginianus",NA,"Mattos, A; Labouriau. L.","s.n.",NA,"Brasil",NA,NA,"HUCP00016189","HUCP00016189",NA,NA,NA,"Rio Grande do Sul","São Francisco de Paula","Estrada Rio Grande do Sul, RB-63384, I.d.B.135.","-50.5835990905762","-29.4480991363525","(L) Michx.",NA,NA,NA,"76715",NA,"auto",NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 10:42:11-03","NBC","NL-BOTANY","U.1023273","PreservedSpecimen","Plantae",NA,"Ophioglossales","Ophioglossaceae","Botrychium","cicutarium","Botrychium cicutarium",NA,"Bruijn J de",NA,"Southern America","Venezuela",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1023273 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1023273","NL-U1023273","1967","05","30",NA,NA,"State of Merida. La Mucuy, 15 km N.E. of Mérida. Very moist site along brook.",NA,NA,"(Savigny) Sw.",NA,NA,NA,NA,NA,NA,"Pteropsida",NA,NA,NA,NA,NA,NA
