"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","phylum","order","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","previousCatalogNumber"
"1","2008-05-27 22:02:00-03","MO","MOBOT","1801101","PreservedSpecimen","Plantae","Annonaceae","Annona","annonoides","Annona annonoides","(R.E. Fr.) Maas & Westra","P.J.M. Maas, L.Y.Th. Westra, & Utrecht","Holotype","Boris A. Krukoff","Krukoff 6856","1934","10","12","South America","Brazil","Amazonas","Basin of Rio Madeira. State of Amazonas. Municipality Humanyta, near Livramento, on Rio Livramento. On terra firma.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-08-31 09:11:56-03","INPA","INPA","52528","S","Plantae","Annonaceae","Annona","annonoides","Annona annonoides","(R.E.Fr.) Maas & Westra","Rainer, H",NA,"Mota, CDA da","53","1975","09","05","Southern America","Brasil","Rondônia","Estrada Belmonte.","Dicotyledon Magnoliids","Magnoliales","1996","09","Porto Velho","-63.9039001464844","-8.76194000244141","333357","INPA0052528","INPA0052528 INPA0052528_e","auto",NA,NA,NA,NA,NA
"3","2020-08-31 09:11:56-03","INPA","INPA","236677","S","Plantae","Annonaceae","Annona","annonoides","Annona annonoides","(R.E.Fr.) Maas & Westra","Lobão, AQ",NA,"Junqueira, AB","468","2007","10","16","Southern America","Brasil","Rondônia","Rio Atininga, afluente da margem direita do Rio Madeira. Comunidade Terra Preta do Atininga.","Dicotyledon Magnoliids","Magnoliales","2013","12","Manicoré","-61.041583","-5.635556",NA,"INPA0236677","INPA0236677 INPA0236677_e INPA0236677_nd1",NA,"-61.041583","-5.635556","35","35",NA
"4","2016-08-23 11:12:12-03","NHMLondon","NHM-LONDON-BOT","BM000546818","S","Plantae","Annonaceae","Annona","annonoides","Annona annonoides","(R.E.Fr.) P.J.M. Maas & L.Y.Th. Westra",NA,"Isotype","Boris Alexander Krukoff; b.1898; d.1983; Krukoff","6856",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"-53.08982","-10.773109",NA,NA,NA,NA,"-53.08982","-10.773109",NA,NA,"NHMUK:ecatalogue:4977680"
