"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","infraspecificEpithet","typeStatus","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:41:18-03","E","E","274329","PreservedSpecimen","Plantae","Malpighiaceae","Mascagnia","chlorocarpa","Mascagnia chlorocarpa","Pott, A.; Ker, J.; Carvalho, W.; Pereira, N.","4908","1989","05","29","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:285141","<a href=http://data.rbge.org.uk/herb/E00274329 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00274329",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","476050","PreservedSpecimen","Plantae","Malpighiaceae","Carolus","chlorocarpus","Carolus chlorocarpus","M. Saldías Paz","4718","1996","08","03","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=505190' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476050","Magnoliophyta","Malpighiales","(A.Juss.) W.R.Anderson","W. R. Anderson","Santa Cruz","Florida","Loc. El Sillar, cerca de 10 km S de Bermejo","-63.58","-18.13","1420","1420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1145461","PreservedSpecimen","Plantae","Malpighiaceae","Carolus","chlorocarpus","Carolus chlorocarpus","E. P. Heringer","16775","1978","01","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1317273' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145461","Magnoliophyta","Malpighiales","(A.Juss.) W.R.Anderson","W. R. Anderson","Goiás","Goiânia","Coletada na mata primitiva do jardim botânico de Goiânia.","-49.2539","-16.6786",NA,NA,"NY01145461_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","787054","PreservedSpecimen","Plantae","Malpighiaceae","Carolus","chlorocarpus","Carolus chlorocarpus","M. H. Nee","48098","1998","01","22","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=298702' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787054","Magnoliophyta","Malpighiales","(A.Juss.) W.R.Anderson","W. R. Anderson","Santa Cruz","Andrés Ibáñez","Along valley of Río Salado [also Quebrada Salada], 7.4-8 km NW of turnoff at Tarumá from highway from Santa Cruz to Samaipata.","-63.52","-18.1","900","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 23:57:00-03","NY","NYBG","1043202","PreservedSpecimen","Plantae","Malpighiaceae","Mascagnia","chlorocarpa","Mascagnia chlorocarpa cristata","M. Bang","1192","1891",NA,NA,"South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190024' target='other'> <mi>dwc_moreinfo</mi></a>","NY01043202","Magnoliophyta","Malpighiales","Nied.",NA,NA,NA,"Vic. Cochabamba: Espiritu Santo","-65.633377","-17.084783",NA,NA,"NY01043202_01","cristata","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-13 09:20:09-03","UFRJ","RFA","100947","PreservedSpecimen","Plantae","Malpighiaceae","Carolus","chlorocarpus","Carolus chlorocarpus","Flávio Brito Pereira","34/24","2000","08","01",NA,"Brasil",NA,NA,"Trepadeira, flores brancas, comum no local","RFA41028",NA,NA,"(A.Juss.) W.R.Anderson","R. F. Almeida","Rio de Janeiro","São José do Vale do Rio Preto","1º Distrito, Fazenda Belém","-42.9","-22.103611","700","700",NA,NA,NA,"2015","42º54'W","22º6'13''S",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-13 09:20:09-03","UFRJ","RFA","26466","PreservedSpecimen","Plantae","Malpighiaceae","Carolus","chlorocarpus","Carolus chlorocarpus","Flavio Britto Pereira","15/63","2001","01","11",NA,"Brasil",NA,NA,"Trepadeira, flores amarelas, exudato rosa com odor suave, comum no local","RFA41029",NA,NA,"(A.Juss.) W.R.Anderson","R, F. Almeida","Rio de Janeiro","São José do Vale do Rio Preto","Sítio Serra do Capim","-42.8725","-22.151944","786","786",NA,NA,NA,"2015","42º52'21''W","22º9'7''S",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-24 17:10:47-03","UTFPR","DVPR","4315","PreservedSpecimen","Plantae","Malpighiaceae","Carolus","chlorocarpus","Carolus chlorocarpus","Caxambu, MG; et al.","3434","2011","09","09",NA,"Brasil",NA,NA,"Trepadeira escandente, semi-ciófila, frutos alados esverdeados.; Relevo: suave-ondulado-Vegetação: Florestal Estacional semidecidual Submontana","DVPR004315","Magnoliophyta",NA,"(A. Juss.) W.R. Anderson","Almeida, RF","Paraná","Tuneiras do Oeste","Reserva Biológica da Perobas-estrada interna","-52.46119","-23.50027","498","498",NA,NA,NA,"2013","-52.46119","-23.50027","06","10",NA,NA,NA,NA,NA,NA
"9","2021-04-08 17:42:26-03","EAO","IAN","40220","PreservedSpecimen","Plantae","Malpighiaceae","Hiraea","chlorocarpa","Hiraea chlorocarpa","Vauthier","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,"IAN040220","Dicotiledônea",NA,"A.Juss.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:43:37-03","EAO","IAN","89753","PreservedSpecimen","Plantae","Malpighiaceae","Mascagnia","chlorocarpa","Mascagnia chlorocarpa","Black, GA","17958","1954","12","31","Southern America","Brasil",NA,NA,"Cipozinho comum, flor amarela.","IAN089753","Dicotiledônea",NA,"(A.Juss.) Griseb.","Anderson, WR","Bahia","Barreiras","Grameal de Baixa Verde, a 10 Km de Barreiras.","-44.9900016784668","-12.1527996063232",NA,NA,NA,NA,"paratipo","1979",NA,NA,NA,NA,"152720","auto",NA,NA,NA,NA
"11","2020-11-26 18:08:40-03","CPAN-UFMS","COR","11090","PreservedSpecimen","Plantae","Malpighiaceae","Carolus","chlorocarpus","Carolus chlorocarpus","Damasceno Júnior,G.A.;Velasques,J.S.","2428","2001","06","12",NA,"Brasil",NA,NA,"Com fruto:verde Habito: trepadeira volúvel",NA,NA,NA,"(A.Juss.) W.R.Anderson","A. Francener","Mato Grosso do Sul","Ladário","Fazenda São João. Mata decídua; litólico; Morro.","-57.528611","-19.189167","200","200",NA,NA,NA,NA,"57º31'43''W","19º11'21''S",NA,NA,NA,NA,NA,NA,NA,NA
