"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","locality","imagecode","recordNumber","coordinatePrecision","geoFlag","continentOcean","preparationType","previousCatalogNumber","typeStatus","phylum","order","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","infraspecificEpithet","sex"
"1","2021-04-05 14:24:56-03","UNESC","CRI","15142","PreservedSpecimen","Plantae","Asteraceae","Eclipta","prostrata","Eclipta prostrata","(L.) L.","Suelane C. Fenali","2019","01","16","Suelane C. Fenali","2019","01","16","Brasil","Santa Catarina","Siderópolis","-49.434722","-28.597222","49º26'5''W","28º35'50''S","100","100","Habito: Arbustivo","CRI014556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:56-03","UNESC","CRI","760","PreservedSpecimen","Plantae","Asteraceae","Eclipta","prostrata","Eclipta prostrata","(L.) L.","O. Guimarães","1991","07","02","V. Citadini-Zanette; C. M. Martinello","1991","07","02","Brasil","Santa Catarina","Criciúma","-49.370278","-28.678333","49º22'13''W","28º40'42''S","46","46",NA,"CRI001044","Av. Humberto de Campos.","CRI001044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:24:56-03","UNESC","CRI","14424","PreservedSpecimen","Plantae","Asteraceae","Eclipta","prostrata","Eclipta prostrata","(L.) L.","Farias, D.M.","2018","02","15","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.","2018","01","24","Brasil","Santa Catarina","Ituporanga","-49.41","-27.54","49º24'36''W","27º32'24''S","915","915",NA,"CRI013466",NA,"CRI013466","1698",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-08 15:16:31-03","UNESC","CRI","15409","PreservedSpecimen","Plantae","Asteraceae","Eclipta","prostrata","Eclipta prostrata","(L.) L.","Vanilde Citadini-Zanette; Jadna R. Coral","2021","03","11","Jadna Rosso Coral","2021","03","11","Brasil","Santa Catarina","Criciúma","-49.369701385498","-28.6774997711182",NA,NA,"34","34","Corola branco Habito: Erva ereto","CRI014826","Horto medicinal da Unesc",NA,"6","18248","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:37:33-03","E","E","173870","PreservedSpecimen","Plantae","Compositae","Eclipta","alba","Eclipta alba",NA,NA,NA,NA,NA,"Reineck, E.M. & Czermak, J.",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00173870 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00173870",NA,NA,"154",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:179818",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:37:33-03","E","E","173872","PreservedSpecimen","Plantae","Compositae","Eclipta","alba","Eclipta alba",NA,NA,NA,NA,NA,"Reineck, E.M. & Czermak, J.",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00173872 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00173872",NA,NA,"258",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:179816",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:37:33-03","E","E","173873","PreservedSpecimen","Plantae","Compositae","Eclipta","alba","Eclipta alba",NA,NA,NA,NA,NA,"Reineck, E.M.",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00173873 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00173873",NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:179815",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:37:33-03","E","E","173871","PreservedSpecimen","Plantae","Compositae","Eclipta","alba","Eclipta alba",NA,NA,NA,NA,NA,"Reineck, E.M.",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00173871 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00173871",NA,NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:179817",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:37:33-03","E","E","322556","PreservedSpecimen","Plantae","Compositae","Eclipta","prostrata","Eclipta prostrata",NA,NA,NA,NA,NA,"Tweedie, John",NA,NA,NA,"AR",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00322556 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00322556","Within the tide mark on La Plata",NA,NA,NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:337575","holotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-09-23 10:37:33-03","E","E","433237","PreservedSpecimen","Plantae","Compositae","Eclipta","prostrata","Eclipta prostrata",NA,NA,NA,NA,NA,"Cruckshanks, Alexander","1905","01","03","PE",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00433237 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00433237","Lurin, near Lima",NA,NA,NA,NA,"W. Tropical South America","herbarium specimen of unspecif","BGBASE:460039","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA
