"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","phylum","order","scientificNameAuthorship","identifiedBy","imagecode","county","typeStatus","infraspecificEpithet","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","relationshipType","sex"
"1","2020-09-23 10:43:27-03","E","E","134645","PreservedSpecimen","Plantae","Siparunaceae","Siparuna","guianensis","Siparuna guianensis","Dubs, Balthasar","2199","1996","09","13","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:143082","<a href=http://data.rbge.org.uk/herb/E00134645 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00134645",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:27-03","E","E","421553","PreservedSpecimen","Plantae","Siparunaceae","Siparuna","guianensis","Siparuna guianensis","Ramos, José & Sousa, R.","25",NA,NA,NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:470123","<a href=http://data.rbge.org.uk/herb/E00421553 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00421553","Mato Grosso","Collected near the Base camp of the expedition, Xavantina - Cachimbo Expedition, c. 270 km N of Xavantina.","-51.866667","-12.9","-51.866667","-12.900000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:27-03","E","E","421552","PreservedSpecimen","Plantae","Siparunaceae","Siparuna","guianensis","Siparuna guianensis","Davis, Peter Hadland & Coelho, Dionizio F.",NA,"1976","08","27","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:470120","<a href=http://data.rbge.org.uk/herb/E00421552 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00421552","Amazonas","Rio Tatuma, W. of Manaus.",NA,NA,NA,NA,"40","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1550017","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","camporum","Siparuna camporum","C. C. Berg","BG525","1977","10","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1807223' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550017","Pará","Serra dos Carajás, Serra Norte. Near water fall, near AMZA Exploration Camp.","-50.25","-6",NA,NA,NA,NA,"Magnoliophyta","Laurales","(Tul.) A.DC.","J. A. Kallunki","NY01550017_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1550226","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","camporum","Siparuna camporum","H. S. Irwin","12755","1966","02","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1810164' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550226","Goiás","Chapada dos Veadeiros, ca. 1 km W. of Veadeiros","-47.52596","-14.1167",NA,NA,"900","900","Magnoliophyta","Laurales","(Tul.) A.DC.","S. R. Hill","NY01550226_01","Alto Paraíso de Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1550234","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","camporum","Siparuna camporum","H. S. Irwin","21588","1968","03","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1810173' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550234","Tocantins","Ca. 12 km S. of Guará.","-48.52","-8.97",NA,NA,"550","550","Magnoliophyta","Laurales","(Tul.) A.DC.","S. R. Hill","NY01550234_01","Fortaleza do Tabocão",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1550225","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","camporum","Siparuna camporum","H. S. Irwin","12755","1966","02","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1810163' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550225","Goiás","Chapada dos Veadeiros, ca. 1 km W. of Veadeiros","-47.52596","-14.1167",NA,NA,"900","900","Magnoliophyta","Laurales","(Tul.) A.DC.","S. R. Hill","NY01550225_01","Alto Paraíso de Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1550235","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","camporum","Siparuna camporum","H. S. Irwin","21588","1968","03","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1810174' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550235","Tocantins","Ca. 12 km S. of Guará.","-48.52","-8.97",NA,NA,"550","550","Magnoliophyta","Laurales","(Tul.) A.DC.","S. R. Hill","NY01550235_01","Fortaleza do Tabocão",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1550227","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","camporum","Siparuna camporum","H. S. Irwin","13813","1966","03","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1810165' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550227","Goiás","Serra dos Cristais, ca. 25 km S. of Cristalina","-47.6","-16.9759",NA,NA,"1150",NA,"Magnoliophyta","Laurales","(Tul.) A.DC.","S. R. Hill","NY01550227_01","Ipameri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1550161","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","camporum","Siparuna camporum","J. M. Pires","16507","1978","08","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1807655' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550161","Mato Grosso","Sararé, Radambrasil, folha SC 21-VA; ponto 13. Serra Aguapei.","-59.5","-16.03",NA,NA,"700","700","Magnoliophyta","Laurales","(Tul.) A.DC.","J. Jangoux","NY01550161_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
