"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","infraspecificEpithet","monthIdentified","dayIdentified","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"1","2020-09-23 10:43:50-03","E","E","324046","PreservedSpecimen","Plantae","Styracaceae","Styrax","martii","Styrax martii","Hind, D.J.N.; Nic Lughadha, E.; Souza, V.C.; Sakuragui, C.M.","1991","12","23","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:326581","<a href=http://data.rbge.org.uk/herb/E00324046 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00324046",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:43:50-03","E","E","295921","PreservedSpecimen","Plantae","Styracaceae","Styrax","martii","Styrax martii","Atkins, S.; Sakuragui, C.M.; Harley, R.M.; Sano, P.T. & Souza, V.C.","1994","02","24","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:312835","<a href=http://data.rbge.org.uk/herb/E00295921 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00295921","14489",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:50-03","E","E","221582","PreservedSpecimen","Plantae","Styracaceae","Styrax","martii","Styrax martii","Glaziou, M.A.",NA,NA,NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:232040","<a href=http://data.rbge.org.uk/herb/E00221582 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00221582","16247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:43:50-03","E","E","105910","PreservedSpecimen","Plantae","Styracaceae","Styrax","martii","Styrax martii","Harley, R.M.","1977","03","02","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:115532","<a href=http://data.rbge.org.uk/herb/E00105910 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00105910","19270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1182311","PreservedSpecimen","Plantae","Styracaceae","Styrax","martii","Styrax martii","G. G. Hatschbach","1969","01","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399676' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182311","20942","Magnoliophyta","Ericales","Seub.","P. W. Fritsch","Paraná","Bocaiúva do Sul","Sesmaria, Rio Capivari, 2 km ao Oeste","-49.115","-25.2061","NY01182311_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","778257","PreservedSpecimen","Plantae","Styracaceae","Styrax","martii","Styrax martii","R. M. Harley","1992","01","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=516011' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778257","51212","Magnoliophyta","Ericales","Seub.","D. C. Zappi","Bahia","Abaíra","Tijuquinho","-41.9","-13.27","NY00778257_01","1650","1800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","644012","PreservedSpecimen","Plantae","Styracaceae","Styrax","martii","Styrax martii","R. M. Harley","1991","12","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=516008' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644012","50293","Magnoliophyta","Ericales","Seub.","D. C. Zappi","Bahia","Abaíra","Subida da Forquilha da Serra","-41.88","-13.28","NY00644012_01","1400","1600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","495990","PreservedSpecimen","Plantae","Styracaceae","Styrax","martii","Styrax martii","J. G. Jardim","1993","02","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=516014' target='other'> <mi>dwc_moreinfo</mi></a>","NY00495990","59","Magnoliophyta","Ericales","Seub.",NA,"Bahia","Morro do Chapéu","Ca. de 10 km, no Morrao do Chapéu, ao SW da cidade","-41.1558","-11.5503","NY00495990_01","1150","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","644013","PreservedSpecimen","Plantae","Styracaceae","Styrax","martii","Styrax martii","W. Ganev","1994","03","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=516009' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644013","2993","Magnoliophyta","Ericales","Seub.","D. C. Zappi","Bahia","Abaíra","Morro do Cuscus - Agua Limpa","-41.87","-13.32","NY00644013_01","1400","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1144346","PreservedSpecimen","Plantae","Styracaceae","Styrax","martii","Styrax martii","T. S. Nunes","2000","11","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1289483' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144346","253","Magnoliophyta","Ericales","Seub.",NA,"Bahia","Rio de Contas","Campo do Queiroz","-41.9067","-13.5181","NY01144346_01","1262","1262",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
