"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","yearIdentified","county","fieldNumber","monthIdentified","coordinatePrecision","individualCount","geoFlag","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00102977","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Paepalanthus","uncinatus","rectus","Paepalanthus uncinatus rectus","Hensold","N. Hensold","type","N. Hensold","425","1982","01","13","South America","Brazil","Minas Gerais","Mpio. Itambé do Mato Dentro: 4 km from town on road to Cabeça de Boi","-43.35","-19.4111","650","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=761364' target='other'> <mi>dwc_moreinfo</mi></a>","NY00102977","NY00102977_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:15:29-03","NBC","NL-BOTANY","U 0001807","PreservedSpecimen","Plantae",NA,"Poales","Eriocaulaceae","Paepalanthus","uncinatus","rectus","Paepalanthus uncinatus rectus","Hensold","Hensold N","type","Hensold N",NA,"1982","01","13","Southern America","Brazil","Minas Gerais","Serra do Espinhaço, Minas GeraisMpio. Itambé do Mato Dentro: 4 km from town on road to Cabeça de Boi","-43.35","-19.416667",NA,NA,NA,"campo on quartz gravel.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200001807 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0001807","NL-U0001807","Magnoliopsidae","-43.35","-19.416667","528879 B",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:23:40-03","MBM","MBM","108833","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","uncinatus","rectus","Paepalanthus uncinatus rectus","Hensold","Hensold, N.","ISOTYPE","Hensold, N.","425","1982","01","13","Southern America","Brazil","Minas Gerais","4 km from town on road to Cabeça de Boi","-43.35","-19.411111","650","750",NA,"Locally abundant; receptacular bracts and perianth tips maroon; involucral bracts green, leaflike. Campo on quartz gravel; Receptacular bracts and perianth tips maroon; involucral bracts green, leaflike.; Campo on quartz gravel.","MBM108833","MBM108833",NA,"-43.35","-19.411111",NA,"1986","Itambé do Mato Dentro",NA,NA,NA,NA,NA,NA,NA
"4","2015-09-04 19:17:20-03","MNHN","RECOLNAT_MNHN_P","P00570056","PreservedSpecimen",NA,NA,NA,"Eriocaulaceae","Paepalanthus","uncinatus","rectus","Paepalanthus uncinatus rectus","Hensold","Hensold","isotype","Hensold",NA,"1982","1","13",NA,"Brésil",NA,"Mun. Itambé do Mato Dentro, 4 km de la ville sur la route de Cabeça de Boi, Minas Geraes","-43.35","-19.41111","650","750","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00570056' target='other'> <mi>dwc_moreinfo</mi></a>","P00570056","P00570056_01 P00570056_02 P00570056_03 P00570056_04 P00570056_05 P00570056_06 P00570056_07 P00570056_08 P00570056_09 P00570056_10 P00570056_11 P00570056_12 P00570056_13 P00570056_14 P00570056_15 P00570056_16 P00570056_17 P00570056_18 P00570056_19 P00570056_20 P00570056_21 P00570056_22 P00570056_23 P00570056_24 P00570056_25 P00570056_26 P00570056_27 P00570056_28 P00570056_29 P00570056_30 P00570056_31 P00570056_32 P00570056_33 P00570056_34 P00570056_35 P00570056_36 P00570056_37 P00570056_38 P00570056_39 P00570056_40 P00570056_41 P00570056_42 P00570056_43 P00570056_44 P00570056_45 P00570056_46 P00570056_47 P00570056_48 P00570056_49 P00570056_50 P00570056_51 P00570056_52 P00570056_53 P00570056_54 P00570056_55 P00570056_56 P00570056_57",NA,NA,NA,NA,NA,NA,"425",NA,NA,NA,NA,NA,NA
"5","2020-12-11 11:44:07-03","UFMG","BHCB","197302","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Paepalanthus","uncinatus",NA,"Paepalanthus uncinatus","Gardner",NA,NA,"Vidal, CV","s.n.","2018","11","07","Southern America","Brasil","Minas Gerais",NA,"-43.499278","-20.151611","1174","1174",NA,"Herbácea; Campo rupestre ferruginoso","BHCB197302",NA,NA,"-43.499278","-20.151611",NA,"2019","Mariana",NA,"02",NA,NA,NA,NA,NA
"6","2010-01-25 11:07:00-02","MO","MOBOT","1785855","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","uncinatus","rectus","Paepalanthus uncinatus rectus","Hensold","N. Hensold","Type","Nancy Hensold","Hensold 425","1982","1","13","South America","Brazil","Minas Gerais","Serra do Espinhaco, Minas Gerais, Brazil. Mpio. Itambé do Mato Dentro. 4 km. from town on road to Cabeca de Boi. Campo on quartz gravel.","-43.35","-19.41111","650.00000000","750.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-12 05:00:02-03","US","US","3090894","PreservedSpecimen","Plantae",NA,"Eriocaulales","Eriocaulaceae","Paepalanthus","uncinatus","rectus","Paepalanthus uncinatus rectus","Hensold",NA,"Isotype","N. Hensold","425","1982","1","13","South America - Neotropics","Brazil","Minas Gerais","4 km from town on road to Cabeca de Boi.","-43.3210983276367","-19.414400100708","650","750",NA,NA,"US00170369","US00170369_01","Monocotyledonae",NA,NA,NA,NA,"Itambe do Mato Dentro",NA,NA,"22479","1","auto",NA,NA
"8","2019-01-23 11:08:04-02","F","FMNH-SEEDPLANTS","V0045821F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Eriocaulaceae","Paepalanthus","uncinatus","rectus","Paepalanthus uncinatus rectus","Hensold",NA,"Isotype","N. Hensold","425","1982","1","13","South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0045821F","V0045821F_01","Monocotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-02-26 09:29:14-03","NHMLondon","NHM-LONDON-BOT","BM000885096","S","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","uncinatus",NA,"Paepalanthus uncinatus","Gardner",NA,"Holotype","George Gardner; b.1812; d.1849; Gardner","5266",NA,NA,NA,NA,"Brasil",NA,NA,"-53.08982","-10.773109",NA,NA,NA,NA,NA,NA,NA,"-53.08982","-10.773109",NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4994704",NA
"10","2017-09-11 17:09:34-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","uncinatus",NA,"Paepalanthus uncinatus","Gardner",NA,NA,"Gardner, G","5266",NA,NA,NA,"Southern America","Brazil","Minas Gerais","districtu adamantino, in Serro Frio.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
