"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00485173","PreservedSpecimen","Plantae","Magnoliophyta","Brassicales","Capparaceae","Capparidastrum","frondosum","Capparidastrum frondosum","(Jacq.) Cornejo & Iltis","X. Cornejo","W. W. Thomas","8885","1992","01","22","South America","Brazil","Sergipe","Socorro. 1 km N and 0.5 km E of junction road to Laranjeiras BR 235, 11 km W of junction BR 235 & BR 101","-37.2","-10.63","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=675878' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485173","NY00485173_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02636851","PreservedSpecimen","Plantae","Magnoliophyta","Brassicales","Capparaceae","Capparidastrum","frondosum","Capparidastrum frondosum","(Jacq.) Cornejo & Iltis",NA,"P. da C. Gadelha Neto","3757","2014","01","22","South America","Brazil","Paraíba","Cachoeira do Ouricuri","-35.585833","-6.891667","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2952432' target='other'> <mi>dwc_moreinfo</mi></a>","NY02636851","NY02636851_01","Pilões",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-28 08:58:00-03","NY","NYBG","01095727","PreservedSpecimen","Plantae","Magnoliophyta","Brassicales","Capparaceae","Capparidastrum","frondosum","Capparidastrum frondosum",NA,NA,"X. Cornejo","8110","2009","01","29","South America","Ecuador","Manabí","Cerro Pata de Pájaro, entering from Nalpe","-79.973533","0.043917","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1218256' target='other'> <mi>dwc_moreinfo</mi></a>","NY01095727",NA,NA,"147","147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00985780","PreservedSpecimen","Plantae","Magnoliophyta","Brassicales","Capparaceae","Capparidastrum","frondosum","Capparidastrum frondosum","(Jacq.) Cornejo & Iltis","X. Cornejo","O. L. Haught","1540","1935","01","24","South America","Colombia","Santander","vicinity, between Sogamoso and Colorado Rivers","-73.8642","7.070983","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1205921' target='other'> <mi>dwc_moreinfo</mi></a>","NY00985780",NA,NA,"100","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00985785","PreservedSpecimen","Plantae","Magnoliophyta","Brassicales","Capparaceae","Capparidastrum","frondosum","Capparidastrum frondosum","(Jacq.) Cornejo & Iltis","X. Cornejo","L. Aristeguieta","7015","1969","03",NA,"South America","Venezuela","Anzoátegui","Fundo Lagunitas de Flores, cerca del caserio de Curatachique. Cerca de los bajos del Rio Caricuao","-64.674208","10.131756","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1205954' target='other'> <mi>dwc_moreinfo</mi></a>","NY00985785",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00985791","PreservedSpecimen","Plantae","Magnoliophyta","Brassicales","Capparaceae","Capparidastrum","frondosum","Capparidastrum frondosum","(Jacq.) Cornejo & Iltis","X. Cornejo","R. Callejas Posada","5502","1987","11","09","South America","Colombia","Antioquia","Corregimiento el 12, 210 kms NE de Medellin, via El 12-Barroblanco, km 3","-75.33","7.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1205989' target='other'> <mi>dwc_moreinfo</mi></a>","NY00985791",NA,"Tarazá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00985788","PreservedSpecimen","Plantae","Magnoliophyta","Brassicales","Capparaceae","Capparidastrum","frondosum","Capparidastrum frondosum","(Jacq.) Cornejo & Iltis","X. Cornejo","A. H. Gentry","41161","1983","05","09","South America","Venezuela","Zulia","Headwaters of Rio Guasare, Serrania de Perija","-72.48","10.87","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1205977' target='other'> <mi>dwc_moreinfo</mi></a>","NY00985788",NA,NA,"280","570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00985790","PreservedSpecimen","Plantae","Magnoliophyta","Brassicales","Capparaceae","Capparidastrum","frondosum","Capparidastrum frondosum","(Jacq.) Cornejo & Iltis","X. Cornejo","A. M. W. Mennega","229","1954","10","04","South America","Suriname",NA,"Paulus creek, vicinity of the Suriname R. 50 km S of Paramaribo","-55.1","5.75","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1205988' target='other'> <mi>dwc_moreinfo</mi></a>","NY00985790",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00485171","PreservedSpecimen","Plantae","Magnoliophyta","Brassicales","Capparaceae","Capparidastrum","frondosum","Capparidastrum frondosum","(Jacq.) Cornejo & Iltis","X. Cornejo","L. P. de Queiroz","2913","1992","12","07","South America","Brazil","Bahia","Fazenda Manoino.","-39.32","-12.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=675879' target='other'> <mi>dwc_moreinfo</mi></a>","NY00485171","NY00485171_01","Serra Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00985778","PreservedSpecimen","Plantae","Magnoliophyta","Brassicales","Capparaceae","Capparidastrum","frondosum","Capparidastrum frondosum","(Jacq.) Cornejo & Iltis","X. Cornejo","Fr. Elias","575","1928","10",NA,"South America","Colombia","Atlántico","and vicinity","-74.797897","10.948792","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1205804' target='other'> <mi>dwc_moreinfo</mi></a>","NY00985778",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
