"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","monthIdentified","dayIdentified","phylum","order","typeStatus","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","eventTime","sex"
"1","2021-04-05 14:25:39-03","UNESC","CRI","9057","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","aethusa","Myrcia aethusa","(O.Berg) N.Silveira","Marcos Sobral","2011","M. Verdi; A.L. Tomazi & G. Klemz","5971","2009","11","05","Brasil","Santa Catarina","Siderópolis","Barragem do Rio São Bento.","-49.59","-28.62","49º35'24''W","28º37'12''S","479","479","Floresta Ombrófila Densa","CRI005273","CRI005273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:40-03","UNESC","CRI","14493","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","oligantha","Myrcia oligantha","O.Berg","Sobral, M","2010","Korte, A.; Kniess, A.","4447","2010","09","17","Brasil","Santa Catarina","Monte Castelo","Serra da Garganta. Serra da Garganta.","-50.223333","-26.8175","50º13'24''W","26º49'3''S","1195","1195","Florística IFFSC 737 (Arbusto). Habitat: Floresta Ombrófila Mista Alto Montana; Estágio Avançado; interior do fragmento Habito: arbustiva; flor roxo","CRI013635","CRI013635","10","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:47-03","UNESC","CRI","8362","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","richardiana","Myrcia richardiana","O.Berg","Marcos Sobral","2007","Aline Brum Fiqueiró Leandro; Rosimar Tertuliano da Silva",NA,"2006",NA,NA,"Brasil","Santa Catarina","Criciúma",NA,"-49.37","-28.678056","49º22'12''W","28º40'41''S",NA,NA,NA,"CRI005558","CRI005558",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:40-03","UNESC","CRI","3174","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","richardiana","Myrcia richardiana","O.Berg","Vanilde Citadini- Zanette","1994","Vanilde Citadini-Zanette; Aurélio José de Aguiar","1825","1993","12","29","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","300","300","Habitat: mata atlântica secundária de encosta Habito: árvore","CRI005556","CRI005556","01","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:47-03","UNESC","CRI","8033","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","richardiana","Myrcia richardiana","O.Berg","Rafael Martins","2008","Beatriz Wessler; Bruna Alberton",NA,"2008","06","25","Brasil","Santa Catarina","Içara","SANTEC Resíduos.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","52","52",NA,"CRI005555","CRI005555","06","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","386662","PreservedSpecimen","Plantae","Myrtaceae","Aulomyrcia","fenzliana","Aulomyrcia fenzliana","O.Berg",NA,NA,"G. Gardner","s.n.","1836",NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=41071' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386662","NY00386662_01",NA,NA,"Magnoliophyta","Myrtales","possible type","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","616100","PreservedSpecimen","Plantae","Myrtaceae","Aulomyrcia","fenzliana","Aulomyrcia fenzliana","O.Berg",NA,NA,"G. Gardner","473",NA,NA,NA,"Brazil","Rio de Janeiro",NA,"Organ Mountains (Serra dos Orgaos)","-43.073169","-22.496706",NA,NA,NA,NA,"The collection number of this specimen is most likely to be a copying error. The number (type) should be George Gardner 313. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=720777' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616100","NY00616100_01",NA,NA,"Magnoliophyta","Myrtales","isotype","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","386661","PreservedSpecimen","Plantae","Myrtaceae","Aulomyrcia","fenzliana","Aulomyrcia fenzliana","O.Berg",NA,NA,"G. Gardner","413","1837","02",NA,"Brazil","Rio de Janeiro",NA,"Serra dos Orgaos. Brasil. trop.","-43.073169","-22.496706",NA,NA,NA,NA,"Comm. am. Shuttleworth 1838 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=41070' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386661","NY00386661_01",NA,NA,"Magnoliophyta","Myrtales","isotype","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1522694","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","aethusa","Myrcia aethusa","(O.Berg) Mattos",NA,NA,"G. G. Hatschbach","14577","1966","08","12","Brazil","Paraná","Sao José dos Pinhais","Col. S. Andrade","-49.2064","-25.5347",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1776600' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522694","NY01522694_01",NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","616139","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","grandiglandulosa","Myrcia grandiglandulosa","Kiaersk.","G. M. Barroso",NA,"D. Martins","101","1983","07","13","Brazil","Rio de Janeiro","Rio de Janeiro","Rio de Janeiro. Alto da Boa Vista, Estr. da Vista Chinesa, km 2.5, próximo à guarita","-43.268036","-22.970282",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=591171' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616139","NY00616139_01",NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
